context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.157481594642136	1
CHG	none	-100	mean	upstream	0.0970106126809366	1
CHH	none	-100	mean	upstream	0.0545092402743559	1
CG	none	-200	mean	upstream	0.169682953130045	1
CHG	none	-200	mean	upstream	0.112544056513293	1
CHH	none	-200	mean	upstream	0.0627422363247549	1
CG	none	-300	mean	upstream	0.210138065231894	1
CHG	none	-300	mean	upstream	0.136491572208789	1
CHH	none	-300	mean	upstream	0.0768586558696943	1
CG	none	-400	mean	upstream	0.253170295174497	1
CHG	none	-400	mean	upstream	0.158742694952881	1
CHH	none	-400	mean	upstream	0.0915221663843707	1
CG	none	-500	mean	upstream	0.293135599497807	1
CHG	none	-500	mean	upstream	0.173972106799916	1
CHH	none	-500	mean	upstream	0.0996442558375194	1
CG	none	500	mean	downstream	0.272574918488477	1
CHG	none	500	mean	downstream	0.0991781736648146	1
CHH	none	500	mean	downstream	0.0538088257617731	1
CG	none	600	mean	downstream	0.259644201632691	1
CHG	none	600	mean	downstream	0.110240289632876	1
CHH	none	600	mean	downstream	0.0626177399959899	1
CG	none	700	mean	downstream	0.288086846430105	1
CHG	none	700	mean	downstream	0.12232728286127	1
CHH	none	700	mean	downstream	0.0722111457995519	1
CG	none	800	mean	downstream	0.317613912269506	1
CHG	none	800	mean	downstream	0.132495753600492	1
CHH	none	800	mean	downstream	0.0803367296125149	1
CG	none	900	mean	downstream	0.34450969239904	1
CHG	none	900	mean	downstream	0.138749124238761	1
CHH	none	900	mean	downstream	0.0854928955607262	1
CG	none	0	mean	inside	0.12774170561355	1
CHG	none	0	mean	inside	0.0708265159821158	1
CHH	none	0	mean	inside	0.0484671088750652	1
CG	none	25	mean	inside	0.164348185496132	1
CHG	none	25	mean	inside	0.0720930941968788	1
CHH	none	25	mean	inside	0.04977358265676	1
CG	none	50	mean	inside	0.211847077931708	1
CHG	none	50	mean	inside	0.0756428383007975	1
CHH	none	50	mean	inside	0.0514836284116515	1
CG	none	75	mean	inside	0.265307024614809	1
CHG	none	75	mean	inside	0.0775277248283654	1
CHH	none	75	mean	inside	0.0533486591015541	1
CG	none	100	mean	inside	0.313457319247582	1
CHG	none	100	mean	inside	0.079605524254834	1
CHH	none	100	mean	inside	0.0536480903673838	1
CG	none	125	mean	inside	0.352281651168949	1
CHG	none	125	mean	inside	0.0803093799770767	1
CHH	none	125	mean	inside	0.0541555388857097	1
CG	none	150	mean	inside	0.388584725437958	1
CHG	none	150	mean	inside	0.0805768167506496	1
CHH	none	150	mean	inside	0.0539435144333687	1
CG	none	175	mean	inside	0.415419599789164	1
CHG	none	175	mean	inside	0.0799417793351821	1
CHH	none	175	mean	inside	0.0542685375445879	1
CG	none	200	mean	inside	0.4330121576316	1
CHG	none	200	mean	inside	0.0801928069318632	1
CHH	none	200	mean	inside	0.0540843181367177	1
CG	none	225	mean	inside	0.452364293613474	1
CHG	none	225	mean	inside	0.0804034684800032	1
CHH	none	225	mean	inside	0.0542579611251733	1
CG	none	250	mean	inside	0.466170663875136	1
CHG	none	250	mean	inside	0.0804608010670341	1
CHH	none	250	mean	inside	0.0537676005847596	1
CG	none	275	mean	inside	0.478502286618508	1
CHG	none	275	mean	inside	0.0810959456473795	1
CHH	none	275	mean	inside	0.0537736135806144	1
CG	none	300	mean	inside	0.490148435665484	1
CHG	none	300	mean	inside	0.0806647438567115	1
CHH	none	300	mean	inside	0.0536123560215203	1
CG	none	325	mean	inside	0.490602227698826	1
CHG	none	325	mean	inside	0.0815498044064902	1
CHH	none	325	mean	inside	0.0535144001119561	1
CG	none	350	mean	inside	0.497120508411395	1
CHG	none	350	mean	inside	0.0789640308949787	1
CHH	none	350	mean	inside	0.0526627607038638	1
CG	none	375	mean	inside	0.502558370259535	1
CHG	none	375	mean	inside	0.0790606430613307	1
CHH	none	375	mean	inside	0.0521175619089877	1
CG	none	400	mean	inside	0.495789898113864	1
CHG	none	400	mean	inside	0.0780550533340874	1
CHH	none	400	mean	inside	0.0512078547359012	1
CG	none	425	mean	inside	0.484598443466215	1
CHG	none	425	mean	inside	0.075862734275999	1
CHH	none	425	mean	inside	0.049715967238762	1
CG	none	450	mean	inside	0.463728316112643	1
CHG	none	450	mean	inside	0.0746358891787902	1
CHH	none	450	mean	inside	0.0486554847206485	1
CG	none	475	mean	inside	0.401542377950521	1
CHG	none	475	mean	inside	0.0718218814630748	1
CHH	none	475	mean	inside	0.047067853142474	1
