context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.143073625740572	1
CHG	none	-100	mean	upstream	0.0811693139935313	1
CHH	none	-100	mean	upstream	0.0320955836393443	1
CG	none	-200	mean	upstream	0.156502132913765	1
CHG	none	-200	mean	upstream	0.0920606477369385	1
CHH	none	-200	mean	upstream	0.0386356672330903	1
CG	none	-300	mean	upstream	0.201524408725905	1
CHG	none	-300	mean	upstream	0.115065026966365	1
CHH	none	-300	mean	upstream	0.0488484750886516	1
CG	none	-400	mean	upstream	0.24681553285391	1
CHG	none	-400	mean	upstream	0.135309441916494	1
CHH	none	-400	mean	upstream	0.0578084028710389	1
CG	none	-500	mean	upstream	0.280458629106498	1
CHG	none	-500	mean	upstream	0.149179824320967	1
CHH	none	-500	mean	upstream	0.0642439155301661	1
CG	none	500	mean	downstream	0.245760917438579	1
CHG	none	500	mean	downstream	0.0799257765732726	1
CHH	none	500	mean	downstream	0.0316899814747037	1
CG	none	600	mean	downstream	0.239225104021287	1
CHG	none	600	mean	downstream	0.0886077020949341	1
CHH	none	600	mean	downstream	0.0377404028844857	1
CG	none	700	mean	downstream	0.265147054316568	1
CHG	none	700	mean	downstream	0.0979955549475114	1
CHH	none	700	mean	downstream	0.0435400438997079	1
CG	none	800	mean	downstream	0.290931411876082	1
CHG	none	800	mean	downstream	0.106542048649198	1
CHH	none	800	mean	downstream	0.0490343932609991	1
CG	none	900	mean	downstream	0.319104907054467	1
CHG	none	900	mean	downstream	0.113909964830896	1
CHH	none	900	mean	downstream	0.0525449498137478	1
CG	none	0	mean	inside	0.124187785796658	1
CHG	none	0	mean	inside	0.0638156327789549	1
CHH	none	0	mean	inside	0.0307088860907929	1
CG	none	25	mean	inside	0.159168935727595	1
CHG	none	25	mean	inside	0.0666611720443372	1
CHH	none	25	mean	inside	0.0315383564427421	1
CG	none	50	mean	inside	0.207108420432119	1
CHG	none	50	mean	inside	0.0686550190892618	1
CHH	none	50	mean	inside	0.0322877418623072	1
CG	none	75	mean	inside	0.256111721090238	1
CHG	none	75	mean	inside	0.0710544783144993	1
CHH	none	75	mean	inside	0.0325203466841252	1
CG	none	100	mean	inside	0.299841583507501	1
CHG	none	100	mean	inside	0.0707624054683339	1
CHH	none	100	mean	inside	0.0332972261705602	1
CG	none	125	mean	inside	0.33588964011321	1
CHG	none	125	mean	inside	0.0708044939096669	1
CHH	none	125	mean	inside	0.0337193073867824	1
CG	none	150	mean	inside	0.363151941567227	1
CHG	none	150	mean	inside	0.071145436081345	1
CHH	none	150	mean	inside	0.0338611346127843	1
CG	none	175	mean	inside	0.385989872510388	1
CHG	none	175	mean	inside	0.0693499466258896	1
CHH	none	175	mean	inside	0.0339818638037871	1
CG	none	200	mean	inside	0.403464437864274	1
CHG	none	200	mean	inside	0.0706084336660799	1
CHH	none	200	mean	inside	0.0333550465277921	1
CG	none	225	mean	inside	0.414696558185879	1
CHG	none	225	mean	inside	0.0688693083298453	1
CHH	none	225	mean	inside	0.0333232215404213	1
CG	none	250	mean	inside	0.426188330511876	1
CHG	none	250	mean	inside	0.0695443701171593	1
CHH	none	250	mean	inside	0.0337680326310065	1
CG	none	275	mean	inside	0.434362347757141	1
CHG	none	275	mean	inside	0.0696083583594968	1
CHH	none	275	mean	inside	0.0336640687304753	1
CG	none	300	mean	inside	0.44111768969048	1
CHG	none	300	mean	inside	0.067744295828318	1
CHH	none	300	mean	inside	0.0331800909061797	1
CG	none	325	mean	inside	0.446626705319165	1
CHG	none	325	mean	inside	0.0673121932438112	1
CHH	none	325	mean	inside	0.032350718861058	1
CG	none	350	mean	inside	0.455825165313598	1
CHG	none	350	mean	inside	0.0663924854619594	1
CHH	none	350	mean	inside	0.0321070392708202	1
CG	none	375	mean	inside	0.455411250896114	1
CHG	none	375	mean	inside	0.0656049847170981	1
CHH	none	375	mean	inside	0.0316973355905484	1
CG	none	400	mean	inside	0.452443778634174	1
CHG	none	400	mean	inside	0.0643766267916896	1
CHH	none	400	mean	inside	0.0312323600806877	1
CG	none	425	mean	inside	0.445122701565253	1
CHG	none	425	mean	inside	0.0644189536167893	1
CHH	none	425	mean	inside	0.030893340232519	1
CG	none	450	mean	inside	0.425971460579498	1
CHG	none	450	mean	inside	0.0645459404279393	1
CHH	none	450	mean	inside	0.0300922751423694	1
CG	none	475	mean	inside	0.36791167536132	1
CHG	none	475	mean	inside	0.0624821277805094	1
CHH	none	475	mean	inside	0.0292542082726265	1
