context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.150285225928096	1
CHG	none	-100	mean	upstream	0.0891361492924733	1
CHH	none	-100	mean	upstream	0.0460873123126741	1
CG	none	-200	mean	upstream	0.161400775425781	1
CHG	none	-200	mean	upstream	0.104132910242972	1
CHH	none	-200	mean	upstream	0.0544288018322511	1
CG	none	-300	mean	upstream	0.201090933694977	1
CHG	none	-300	mean	upstream	0.128109911644153	1
CHH	none	-300	mean	upstream	0.0685956493988489	1
CG	none	-400	mean	upstream	0.244898613881662	1
CHG	none	-400	mean	upstream	0.151263148566517	1
CHH	none	-400	mean	upstream	0.0830445977170524	1
CG	none	-500	mean	upstream	0.282982736214965	1
CHG	none	-500	mean	upstream	0.165993276737298	1
CHH	none	-500	mean	upstream	0.0909242361740492	1
CG	none	500	mean	downstream	0.266739826312549	1
CHG	none	500	mean	downstream	0.0905500455852652	1
CHH	none	500	mean	downstream	0.0450512877919522	1
CG	none	600	mean	downstream	0.252958666294336	1
CHG	none	600	mean	downstream	0.102397457278002	1
CHH	none	600	mean	downstream	0.0541262421258784	1
CG	none	700	mean	downstream	0.280921258285796	1
CHG	none	700	mean	downstream	0.114151773297435	1
CHH	none	700	mean	downstream	0.0636122131912652	1
CG	none	800	mean	downstream	0.3097187928571	1
CHG	none	800	mean	downstream	0.122871161610076	1
CHH	none	800	mean	downstream	0.0709557643933858	1
CG	none	900	mean	downstream	0.336222302249622	1
CHG	none	900	mean	downstream	0.129524783602811	1
CHH	none	900	mean	downstream	0.0765502814256135	1
CG	none	0	mean	inside	0.121799152205816	1
CHG	none	0	mean	inside	0.0633823039765928	1
CHH	none	0	mean	inside	0.0390932465765518	1
CG	none	25	mean	inside	0.158103338864888	1
CHG	none	25	mean	inside	0.0649466835449571	1
CHH	none	25	mean	inside	0.0404732687321259	1
CG	none	50	mean	inside	0.206699306289116	1
CHG	none	50	mean	inside	0.068054675006818	1
CHH	none	50	mean	inside	0.0424042409151081	1
CG	none	75	mean	inside	0.259752077690146	1
CHG	none	75	mean	inside	0.0708593969801226	1
CHH	none	75	mean	inside	0.0441082062264234	1
CG	none	100	mean	inside	0.308803328436884	1
CHG	none	100	mean	inside	0.0717715160108863	1
CHH	none	100	mean	inside	0.0443897817445331	1
CG	none	125	mean	inside	0.347506533599775	1
CHG	none	125	mean	inside	0.0734065866552392	1
CHH	none	125	mean	inside	0.0449647446976211	1
CG	none	150	mean	inside	0.383128441597737	1
CHG	none	150	mean	inside	0.0732745255294908	1
CHH	none	150	mean	inside	0.0446234541307542	1
CG	none	175	mean	inside	0.408625179329596	1
CHG	none	175	mean	inside	0.0723977387791745	1
CHH	none	175	mean	inside	0.0451430544694281	1
CG	none	200	mean	inside	0.426998320737606	1
CHG	none	200	mean	inside	0.0734255588412371	1
CHH	none	200	mean	inside	0.0449080476568975	1
CG	none	225	mean	inside	0.447589251166258	1
CHG	none	225	mean	inside	0.073211166796233	1
CHH	none	225	mean	inside	0.0451671738325647	1
CG	none	250	mean	inside	0.460482773267286	1
CHG	none	250	mean	inside	0.0729982218070228	1
CHH	none	250	mean	inside	0.0447974887593966	1
CG	none	275	mean	inside	0.470384768821708	1
CHG	none	275	mean	inside	0.0739975870559104	1
CHH	none	275	mean	inside	0.04476456483004	1
CG	none	300	mean	inside	0.483227201653498	1
CHG	none	300	mean	inside	0.0735470160247044	1
CHH	none	300	mean	inside	0.044760523772392	1
CG	none	325	mean	inside	0.486525338205989	1
CHG	none	325	mean	inside	0.0743746356696625	1
CHH	none	325	mean	inside	0.044486812399219	1
CG	none	350	mean	inside	0.490890819073323	1
CHG	none	350	mean	inside	0.0714699456282362	1
CHH	none	350	mean	inside	0.0435911985397988	1
CG	none	375	mean	inside	0.495812836865181	1
CHG	none	375	mean	inside	0.0711075586089744	1
CHH	none	375	mean	inside	0.0427613640459149	1
CG	none	400	mean	inside	0.491138876941742	1
CHG	none	400	mean	inside	0.0708068284289853	1
CHH	none	400	mean	inside	0.0421967512569745	1
CG	none	425	mean	inside	0.479055833238049	1
CHG	none	425	mean	inside	0.0687093306828622	1
CHH	none	425	mean	inside	0.0406418319799702	1
CG	none	450	mean	inside	0.460619879688598	1
CHG	none	450	mean	inside	0.06810472815448	1
CHH	none	450	mean	inside	0.0395480220268283	1
CG	none	475	mean	inside	0.399228136766629	1
CHG	none	475	mean	inside	0.0643564669992781	1
CHH	none	475	mean	inside	0.0378692153040635	1
