context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.148575711526973	1
CHG	none	-100	mean	upstream	0.0856055890246651	1
CHH	none	-100	mean	upstream	0.0373814504763808	1
CG	none	-200	mean	upstream	0.16461571104677	1
CHG	none	-200	mean	upstream	0.098557537597659	1
CHH	none	-200	mean	upstream	0.0425745163217167	1
CG	none	-300	mean	upstream	0.197519538524272	1
CHG	none	-300	mean	upstream	0.11494417715538	1
CHH	none	-300	mean	upstream	0.0502523688790398	1
CG	none	-400	mean	upstream	0.235021390414216	1
CHG	none	-400	mean	upstream	0.132018895680567	1
CHH	none	-400	mean	upstream	0.0588035339930425	1
CG	none	-500	mean	upstream	0.268630647392911	1
CHG	none	-500	mean	upstream	0.141111159556836	1
CHH	none	-500	mean	upstream	0.0655521603537476	1
CG	none	500	mean	downstream	0.283744207870915	1
CHG	none	500	mean	downstream	0.0832006761075598	1
CHH	none	500	mean	downstream	0.0365268605041419	1
CG	none	600	mean	downstream	0.262523501721625	1
CHG	none	600	mean	downstream	0.094008534531457	1
CHH	none	600	mean	downstream	0.042494375573848	1
CG	none	700	mean	downstream	0.286389195133666	1
CHG	none	700	mean	downstream	0.103192830238594	1
CHH	none	700	mean	downstream	0.0486511657704479	1
CG	none	800	mean	downstream	0.304400592738442	1
CHG	none	800	mean	downstream	0.107630623058027	1
CHH	none	800	mean	downstream	0.0529208613668207	1
CG	none	900	mean	downstream	0.329478998536067	1
CHG	none	900	mean	downstream	0.111673395177903	1
CHH	none	900	mean	downstream	0.0566468238574786	1
CG	none	0	mean	inside	0.12958610786055	1
CHG	none	0	mean	inside	0.0623250843858434	1
CHH	none	0	mean	inside	0.0321022637473172	1
CG	none	25	mean	inside	0.167723463837651	1
CHG	none	25	mean	inside	0.0611363987664714	1
CHH	none	25	mean	inside	0.0326384307542685	1
CG	none	50	mean	inside	0.22521417192583	1
CHG	none	50	mean	inside	0.0649782197219249	1
CHH	none	50	mean	inside	0.0337795656722328	1
CG	none	75	mean	inside	0.281695100943762	1
CHG	none	75	mean	inside	0.0664688715059678	1
CHH	none	75	mean	inside	0.0343263423151326	1
CG	none	100	mean	inside	0.331446286006038	1
CHG	none	100	mean	inside	0.0693835451858319	1
CHH	none	100	mean	inside	0.034955923129701	1
CG	none	125	mean	inside	0.371574454451512	1
CHG	none	125	mean	inside	0.068154398310509	1
CHH	none	125	mean	inside	0.0353053741780275	1
CG	none	150	mean	inside	0.406235157679077	1
CHG	none	150	mean	inside	0.0689445879840285	1
CHH	none	150	mean	inside	0.0359187433371389	1
CG	none	175	mean	inside	0.433173461462132	1
CHG	none	175	mean	inside	0.0683862339070539	1
CHH	none	175	mean	inside	0.0355377347812166	1
CG	none	200	mean	inside	0.453240051168374	1
CHG	none	200	mean	inside	0.0683228213793471	1
CHH	none	200	mean	inside	0.0353398191339269	1
CG	none	225	mean	inside	0.468332127770012	1
CHG	none	225	mean	inside	0.0684499834427877	1
CHH	none	225	mean	inside	0.0354524355035001	1
CG	none	250	mean	inside	0.481071431393924	1
CHG	none	250	mean	inside	0.0687101523565512	1
CHH	none	250	mean	inside	0.036145566164826	1
CG	none	275	mean	inside	0.48839742533544	1
CHG	none	275	mean	inside	0.0679120277845597	1
CHH	none	275	mean	inside	0.0359656844813615	1
CG	none	300	mean	inside	0.497074831585244	1
CHG	none	300	mean	inside	0.0664619698350796	1
CHH	none	300	mean	inside	0.0352032728018055	1
CG	none	325	mean	inside	0.500493295205361	1
CHG	none	325	mean	inside	0.0655341178350242	1
CHH	none	325	mean	inside	0.034298032572033	1
CG	none	350	mean	inside	0.50424472915196	1
CHG	none	350	mean	inside	0.0656314018945059	1
CHH	none	350	mean	inside	0.0339991274882652	1
CG	none	375	mean	inside	0.510087442537382	1
CHG	none	375	mean	inside	0.0648840198206998	1
CHH	none	375	mean	inside	0.033784565331777	1
CG	none	400	mean	inside	0.50922664248603	1
CHG	none	400	mean	inside	0.0639534696488961	1
CHH	none	400	mean	inside	0.0333729178240252	1
CG	none	425	mean	inside	0.504171747535993	1
CHG	none	425	mean	inside	0.0633584251484461	1
CHH	none	425	mean	inside	0.0333612099268884	1
CG	none	450	mean	inside	0.479926151399553	1
CHG	none	450	mean	inside	0.0638166682470677	1
CHH	none	450	mean	inside	0.0329605526931794	1
CG	none	475	mean	inside	0.433680516935194	1
CHG	none	475	mean	inside	0.0609525866612909	1
CHH	none	475	mean	inside	0.0315229062225534	1
