context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.237846265063949	1
CHG	none	-100	mean	upstream	0.144098804464239	1
CHH	none	-100	mean	upstream	0.0526480551537676	1
CG	none	-200	mean	upstream	0.275344723817568	1
CHG	none	-200	mean	upstream	0.161752207279785	1
CHH	none	-200	mean	upstream	0.0636671697975814	1
CG	none	-300	mean	upstream	0.314422407739883	1
CHG	none	-300	mean	upstream	0.181726425014777	1
CHH	none	-300	mean	upstream	0.0736139815512076	1
CG	none	-400	mean	upstream	0.349654219861925	1
CHG	none	-400	mean	upstream	0.192865330587515	1
CHH	none	-400	mean	upstream	0.0803551905024103	1
CG	none	-500	mean	upstream	0.371507120160956	1
CHG	none	-500	mean	upstream	0.198238594581003	1
CHH	none	-500	mean	upstream	0.0831868673335689	1
CG	none	500	mean	downstream	0.305843189787546	1
CHG	none	500	mean	downstream	0.141623448602212	1
CHH	none	500	mean	downstream	0.0549919672113588	1
CG	none	600	mean	downstream	0.322367864955779	1
CHG	none	600	mean	downstream	0.148981060204988	1
CHH	none	600	mean	downstream	0.062338008778193	1
CG	none	700	mean	downstream	0.34694076765705	1
CHG	none	700	mean	downstream	0.154770329009773	1
CHH	none	700	mean	downstream	0.0659480054083305	1
CG	none	800	mean	downstream	0.363291707708389	1
CHG	none	800	mean	downstream	0.160338932607179	1
CHH	none	800	mean	downstream	0.0684976098031105	1
CG	none	900	mean	downstream	0.376799596153898	1
CHG	none	900	mean	downstream	0.161463045793456	1
CHH	none	900	mean	downstream	0.0697902339299975	1
CG	none	0	mean	inside	0.196199817629992	1
CHG	none	0	mean	inside	0.117034859933279	1
CHH	none	0	mean	inside	0.0466822913881867	1
CG	none	25	mean	inside	0.212073930148229	1
CHG	none	25	mean	inside	0.115914240166615	1
CHH	none	25	mean	inside	0.0475864920498095	1
CG	none	50	mean	inside	0.24220756413858	1
CHG	none	50	mean	inside	0.117448487808233	1
CHH	none	50	mean	inside	0.0483566152894687	1
CG	none	75	mean	inside	0.283044305517165	1
CHG	none	75	mean	inside	0.11915335594588	1
CHH	none	75	mean	inside	0.0487762990909968	1
CG	none	100	mean	inside	0.323131710993932	1
CHG	none	100	mean	inside	0.120324528800585	1
CHH	none	100	mean	inside	0.0495033900682307	1
CG	none	125	mean	inside	0.358429594318527	1
CHG	none	125	mean	inside	0.12043299534875	1
CHH	none	125	mean	inside	0.0501524937889473	1
CG	none	150	mean	inside	0.391244389098902	1
CHG	none	150	mean	inside	0.121697894231924	1
CHH	none	150	mean	inside	0.0503252210730356	1
CG	none	175	mean	inside	0.416001429800904	1
CHG	none	175	mean	inside	0.121638577534501	1
CHH	none	175	mean	inside	0.0507219887294605	1
CG	none	200	mean	inside	0.433601788961261	1
CHG	none	200	mean	inside	0.122873945179457	1
CHH	none	200	mean	inside	0.0505761620227145	1
CG	none	225	mean	inside	0.449889708416573	1
CHG	none	225	mean	inside	0.122634142653642	1
CHH	none	225	mean	inside	0.0512164032472216	1
CG	none	250	mean	inside	0.461608271771389	1
CHG	none	250	mean	inside	0.12334358194757	1
CHH	none	250	mean	inside	0.0508613254552558	1
CG	none	275	mean	inside	0.469954423769508	1
CHG	none	275	mean	inside	0.122347799293609	1
CHH	none	275	mean	inside	0.0508594668389197	1
CG	none	300	mean	inside	0.46973340787575	1
CHG	none	300	mean	inside	0.120905637547386	1
CHH	none	300	mean	inside	0.0502611671119716	1
CG	none	325	mean	inside	0.468786708066353	1
CHG	none	325	mean	inside	0.118291956708281	1
CHH	none	325	mean	inside	0.0493432635793414	1
CG	none	350	mean	inside	0.467287355977148	1
CHG	none	350	mean	inside	0.116981928908464	1
CHH	none	350	mean	inside	0.048697270712071	1
CG	none	375	mean	inside	0.462268685204986	1
CHG	none	375	mean	inside	0.116099385472022	1
CHH	none	375	mean	inside	0.0477203616619051	1
CG	none	400	mean	inside	0.450522800196779	1
CHG	none	400	mean	inside	0.114640546959499	1
CHH	none	400	mean	inside	0.0472480512205903	1
CG	none	425	mean	inside	0.420903156805125	1
CHG	none	425	mean	inside	0.115355431824331	1
CHH	none	425	mean	inside	0.0473965206119673	1
CG	none	450	mean	inside	0.378762506330366	1
CHG	none	450	mean	inside	0.117212504748338	1
CHH	none	450	mean	inside	0.0471630898885971	1
CG	none	475	mean	inside	0.324310372595082	1
CHG	none	475	mean	inside	0.122775570012768	1
CHH	none	475	mean	inside	0.0481550332995111	1
