context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.173531970873283	1
CHG	none	-100	mean	upstream	0.105110798427525	1
CHH	none	-100	mean	upstream	0.0400077980953224	1
CG	none	-200	mean	upstream	0.211862696325147	1
CHG	none	-200	mean	upstream	0.123065405284294	1
CHH	none	-200	mean	upstream	0.0486202540139828	1
CG	none	-300	mean	upstream	0.253453604636503	1
CHG	none	-300	mean	upstream	0.142007516660283	1
CHH	none	-300	mean	upstream	0.0560211301013823	1
CG	none	-400	mean	upstream	0.288457959201679	1
CHG	none	-400	mean	upstream	0.152299706515433	1
CHH	none	-400	mean	upstream	0.0628214419356237	1
CG	none	-500	mean	upstream	0.317164259215037	1
CHG	none	-500	mean	upstream	0.155064016249281	1
CHH	none	-500	mean	upstream	0.0657011420074686	1
CG	none	500	mean	downstream	0.269017656747672	1
CHG	none	500	mean	downstream	0.101097326672908	1
CHH	none	500	mean	downstream	0.0419594213610223	1
CG	none	600	mean	downstream	0.290894028225527	1
CHG	none	600	mean	downstream	0.10979996756684	1
CHH	none	600	mean	downstream	0.0480051429149946	1
CG	none	700	mean	downstream	0.318966988184476	1
CHG	none	700	mean	downstream	0.114552873948662	1
CHH	none	700	mean	downstream	0.0517602010115594	1
CG	none	800	mean	downstream	0.334484942229134	1
CHG	none	800	mean	downstream	0.117752718083408	1
CHH	none	800	mean	downstream	0.0531942978329368	1
CG	none	900	mean	downstream	0.349768979686081	1
CHG	none	900	mean	downstream	0.118674118443535	1
CHH	none	900	mean	downstream	0.0552378967166657	1
CG	none	0	mean	inside	0.128852201258831	1
CHG	none	0	mean	inside	0.0738381183247695	1
CHH	none	0	mean	inside	0.033370763245731	1
CG	none	25	mean	inside	0.143296601607929	1
CHG	none	25	mean	inside	0.0664327043769055	1
CHH	none	25	mean	inside	0.0320805757557967	1
CG	none	50	mean	inside	0.188080720340563	1
CHG	none	50	mean	inside	0.0668612270453573	1
CHH	none	50	mean	inside	0.0331577854152334	1
CG	none	75	mean	inside	0.245531295105659	1
CHG	none	75	mean	inside	0.0684265294012767	1
CHH	none	75	mean	inside	0.0338567928563	1
CG	none	100	mean	inside	0.303600693636806	1
CHG	none	100	mean	inside	0.0703723743890597	1
CHH	none	100	mean	inside	0.0341234183092688	1
CG	none	125	mean	inside	0.358696277298565	1
CHG	none	125	mean	inside	0.0705894775159071	1
CHH	none	125	mean	inside	0.0350092478901184	1
CG	none	150	mean	inside	0.401488682355524	1
CHG	none	150	mean	inside	0.0716959727641071	1
CHH	none	150	mean	inside	0.0353616534586678	1
CG	none	175	mean	inside	0.436208549272011	1
CHG	none	175	mean	inside	0.0716371267946877	1
CHH	none	175	mean	inside	0.0354229096990123	1
CG	none	200	mean	inside	0.457851316427711	1
CHG	none	200	mean	inside	0.0724112969904117	1
CHH	none	200	mean	inside	0.0354187499375241	1
CG	none	225	mean	inside	0.476828887765788	1
CHG	none	225	mean	inside	0.0719292269696429	1
CHH	none	225	mean	inside	0.035517687519508	1
CG	none	250	mean	inside	0.493285880351081	1
CHG	none	250	mean	inside	0.0728578758936286	1
CHH	none	250	mean	inside	0.0356843082477703	1
CG	none	275	mean	inside	0.500249262635137	1
CHG	none	275	mean	inside	0.0715832545749572	1
CHH	none	275	mean	inside	0.0353856244397031	1
CG	none	300	mean	inside	0.507456585742861	1
CHG	none	300	mean	inside	0.0696139591669714	1
CHH	none	300	mean	inside	0.0347618248674405	1
CG	none	325	mean	inside	0.508625898953183	1
CHG	none	325	mean	inside	0.0689388000657876	1
CHH	none	325	mean	inside	0.0341145566685957	1
CG	none	350	mean	inside	0.507130811051892	1
CHG	none	350	mean	inside	0.0672081901803889	1
CHH	none	350	mean	inside	0.0333461551930813	1
CG	none	375	mean	inside	0.504408784882201	1
CHG	none	375	mean	inside	0.0658905688767115	1
CHH	none	375	mean	inside	0.0322642299749115	1
CG	none	400	mean	inside	0.488145601835855	1
CHG	none	400	mean	inside	0.0653011008860564	1
CHH	none	400	mean	inside	0.0320599341554307	1
CG	none	425	mean	inside	0.453730577028731	1
CHG	none	425	mean	inside	0.0660644649622907	1
CHH	none	425	mean	inside	0.0325076117926056	1
CG	none	450	mean	inside	0.39494251428228	1
CHG	none	450	mean	inside	0.069846656666	1
CHH	none	450	mean	inside	0.0327572963156927	1
CG	none	475	mean	inside	0.315931060369858	1
CHG	none	475	mean	inside	0.0767316487519221	1
CHH	none	475	mean	inside	0.0339235768212395	1
