context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.207411645371899	1
CHG	none	-100	mean	upstream	0.130265189753372	1
CHH	none	-100	mean	upstream	0.0563618244335665	1
CG	none	-200	mean	upstream	0.266311493361304	1
CHG	none	-200	mean	upstream	0.161780744876982	1
CHH	none	-200	mean	upstream	0.0760455070905301	1
CG	none	-300	mean	upstream	0.31925007128285	1
CHG	none	-300	mean	upstream	0.192050713635199	1
CHH	none	-300	mean	upstream	0.0922292768286407	1
CG	none	-400	mean	upstream	0.365794138570028	1
CHG	none	-400	mean	upstream	0.207229374158948	1
CHH	none	-400	mean	upstream	0.102824077478007	1
CG	none	-500	mean	upstream	0.39840540792125	1
CHG	none	-500	mean	upstream	0.218488788372819	1
CHH	none	-500	mean	upstream	0.106594776985222	1
CG	none	500	mean	downstream	0.31421433260144	1
CHG	none	500	mean	downstream	0.131511314620129	1
CHH	none	500	mean	downstream	0.0604228230857515	1
CG	none	600	mean	downstream	0.344854115070881	1
CHG	none	600	mean	downstream	0.145263230048867	1
CHH	none	600	mean	downstream	0.0717783027164351	1
CG	none	700	mean	downstream	0.376688154477262	1
CHG	none	700	mean	downstream	0.151488983317916	1
CHH	none	700	mean	downstream	0.0786359085248295	1
CG	none	800	mean	downstream	0.395248273645567	1
CHG	none	800	mean	downstream	0.156643402416215	1
CHH	none	800	mean	downstream	0.0824751800346452	1
CG	none	900	mean	downstream	0.414820192926836	1
CHG	none	900	mean	downstream	0.163212600703615	1
CHH	none	900	mean	downstream	0.0846152459268317	1
CG	none	0	mean	inside	0.133568910218521	1
CHG	none	0	mean	inside	0.0784452102280816	1
CHH	none	0	mean	inside	0.0425661865234153	1
CG	none	25	mean	inside	0.159873201787435	1
CHG	none	25	mean	inside	0.079106303937638	1
CHH	none	25	mean	inside	0.044471563108621	1
CG	none	50	mean	inside	0.212674876879082	1
CHG	none	50	mean	inside	0.0828100493533388	1
CHH	none	50	mean	inside	0.0476225248584773	1
CG	none	75	mean	inside	0.271115596697043	1
CHG	none	75	mean	inside	0.0895051137571191	1
CHH	none	75	mean	inside	0.0502724246167231	1
CG	none	100	mean	inside	0.333175424497073	1
CHG	none	100	mean	inside	0.0926243439179213	1
CHH	none	100	mean	inside	0.0502117815714135	1
CG	none	125	mean	inside	0.384588555858512	1
CHG	none	125	mean	inside	0.0937515640109972	1
CHH	none	125	mean	inside	0.0518451857678739	1
CG	none	150	mean	inside	0.430200069653154	1
CHG	none	150	mean	inside	0.0959071236491848	1
CHH	none	150	mean	inside	0.0524663627404558	1
CG	none	175	mean	inside	0.464900485610978	1
CHG	none	175	mean	inside	0.0933693852706631	1
CHH	none	175	mean	inside	0.0522346456387605	1
CG	none	200	mean	inside	0.486628393127408	1
CHG	none	200	mean	inside	0.0939177254247699	1
CHH	none	200	mean	inside	0.0524828429154828	1
CG	none	225	mean	inside	0.507073796141214	1
CHG	none	225	mean	inside	0.0942858310535813	1
CHH	none	225	mean	inside	0.0520143100926477	1
CG	none	250	mean	inside	0.522464273046254	1
CHG	none	250	mean	inside	0.0941420224147864	1
CHH	none	250	mean	inside	0.0507182854702177	1
CG	none	275	mean	inside	0.532955528247689	1
CHG	none	275	mean	inside	0.0938125933086098	1
CHH	none	275	mean	inside	0.0506911328149501	1
CG	none	300	mean	inside	0.542326713175805	1
CHG	none	300	mean	inside	0.0932910961577727	1
CHH	none	300	mean	inside	0.0497966544360708	1
CG	none	325	mean	inside	0.545764401372971	1
CHG	none	325	mean	inside	0.0895536646080833	1
CHH	none	325	mean	inside	0.0498332563076841	1
CG	none	350	mean	inside	0.546658435472505	1
CHG	none	350	mean	inside	0.0886649385826401	1
CHH	none	350	mean	inside	0.049360109765415	1
CG	none	375	mean	inside	0.537362711866252	1
CHG	none	375	mean	inside	0.0868945007991034	1
CHH	none	375	mean	inside	0.0484248509330574	1
CG	none	400	mean	inside	0.516095272332098	1
CHG	none	400	mean	inside	0.0868894804632028	1
CHH	none	400	mean	inside	0.0474605763488161	1
CG	none	425	mean	inside	0.478169975289609	1
CHG	none	425	mean	inside	0.0848736393952357	1
CHH	none	425	mean	inside	0.0464759367081017	1
CG	none	450	mean	inside	0.41565562077431	1
CHG	none	450	mean	inside	0.0894492890810179	1
CHH	none	450	mean	inside	0.0461049912418361	1
CG	none	475	mean	inside	0.341838156810431	1
CHG	none	475	mean	inside	0.093284335495409	1
CHH	none	475	mean	inside	0.0475770631262301	1
