context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.148561518644497	1
CHG	none	-100	mean	upstream	0.0916740426074367	1
CHH	none	-100	mean	upstream	0.0530798823085902	1
CG	none	-200	mean	upstream	0.164953764159238	1
CHG	none	-200	mean	upstream	0.105183809559758	1
CHH	none	-200	mean	upstream	0.0583721203956593	1
CG	none	-300	mean	upstream	0.200542921011089	1
CHG	none	-300	mean	upstream	0.126005468567699	1
CHH	none	-300	mean	upstream	0.0675316017914854	1
CG	none	-400	mean	upstream	0.23551794298031	1
CHG	none	-400	mean	upstream	0.144475700849945	1
CHH	none	-400	mean	upstream	0.078651779932559	1
CG	none	-500	mean	upstream	0.271468006227606	1
CHG	none	-500	mean	upstream	0.156858256114944	1
CHH	none	-500	mean	upstream	0.0860726233453032	1
CG	none	500	mean	downstream	0.262678168862146	1
CHG	none	500	mean	downstream	0.0879245615209747	1
CHH	none	500	mean	downstream	0.0505870834217968	1
CG	none	600	mean	downstream	0.249761853946794	1
CHG	none	600	mean	downstream	0.100792477382629	1
CHH	none	600	mean	downstream	0.0569857713585407	1
CG	none	700	mean	downstream	0.272916289561174	1
CHG	none	700	mean	downstream	0.110055707256873	1
CHH	none	700	mean	downstream	0.0643057754418135	1
CG	none	800	mean	downstream	0.295897901860834	1
CHG	none	800	mean	downstream	0.117350998870333	1
CHH	none	800	mean	downstream	0.0710517164778309	1
CG	none	900	mean	downstream	0.323767059768431	1
CHG	none	900	mean	downstream	0.12553878920025	1
CHH	none	900	mean	downstream	0.0754160543434021	1
CG	none	0	mean	inside	0.126134123862507	1
CHG	none	0	mean	inside	0.0702625648520019	1
CHH	none	0	mean	inside	0.0475055703941257	1
CG	none	25	mean	inside	0.157194530241391	1
CHG	none	25	mean	inside	0.0700261780063412	1
CHH	none	25	mean	inside	0.0480762937317803	1
CG	none	50	mean	inside	0.211568983897277	1
CHG	none	50	mean	inside	0.0723936111803999	1
CHH	none	50	mean	inside	0.0485131086741874	1
CG	none	75	mean	inside	0.262121584618008	1
CHG	none	75	mean	inside	0.0719387318540722	1
CHH	none	75	mean	inside	0.048943126910186	1
CG	none	100	mean	inside	0.312806768708497	1
CHG	none	100	mean	inside	0.0739608195571106	1
CHH	none	100	mean	inside	0.0500940152852891	1
CG	none	125	mean	inside	0.350240775148465	1
CHG	none	125	mean	inside	0.0745423281986998	1
CHH	none	125	mean	inside	0.0510260499075237	1
CG	none	150	mean	inside	0.38312549097734	1
CHG	none	150	mean	inside	0.0761913682932412	1
CHH	none	150	mean	inside	0.0511596216441295	1
CG	none	175	mean	inside	0.404918488815092	1
CHG	none	175	mean	inside	0.075063164715504	1
CHH	none	175	mean	inside	0.0508552366841715	1
CG	none	200	mean	inside	0.424244714874173	1
CHG	none	200	mean	inside	0.0747790150173798	1
CHH	none	200	mean	inside	0.0506050000701736	1
CG	none	225	mean	inside	0.439376962062924	1
CHG	none	225	mean	inside	0.0747127155930671	1
CHH	none	225	mean	inside	0.0505341038490959	1
CG	none	250	mean	inside	0.453345557087208	1
CHG	none	250	mean	inside	0.075508382379683	1
CHH	none	250	mean	inside	0.0511491207596937	1
CG	none	275	mean	inside	0.464491282818883	1
CHG	none	275	mean	inside	0.0739817366091429	1
CHH	none	275	mean	inside	0.0509402867566224	1
CG	none	300	mean	inside	0.474978250121726	1
CHG	none	300	mean	inside	0.073608395426759	1
CHH	none	300	mean	inside	0.0502965557938106	1
CG	none	325	mean	inside	0.477964838400435	1
CHG	none	325	mean	inside	0.0732543699464768	1
CHH	none	325	mean	inside	0.049858026528792	1
CG	none	350	mean	inside	0.487787369309499	1
CHG	none	350	mean	inside	0.0706419986808789	1
CHH	none	350	mean	inside	0.0493568421625845	1
CG	none	375	mean	inside	0.48997596170603	1
CHG	none	375	mean	inside	0.0701295106650651	1
CHH	none	375	mean	inside	0.0481800167265742	1
CG	none	400	mean	inside	0.485620130514619	1
CHG	none	400	mean	inside	0.0698943173654828	1
CHH	none	400	mean	inside	0.0477366450409435	1
CG	none	425	mean	inside	0.477127988799099	1
CHG	none	425	mean	inside	0.0695582107013654	1
CHH	none	425	mean	inside	0.0479921342457715	1
CG	none	450	mean	inside	0.456583905701664	1
CHG	none	450	mean	inside	0.0701636581534477	1
CHH	none	450	mean	inside	0.0470347699788159	1
CG	none	475	mean	inside	0.397930217908768	1
CHG	none	475	mean	inside	0.0666044407889125	1
CHH	none	475	mean	inside	0.0451830175541787	1
