context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.123083617643276	1
CHG	none	-100	mean	upstream	0.0707006427767863	1
CHH	none	-100	mean	upstream	0.0376320042671804	1
CG	none	-200	mean	upstream	0.138159457392304	1
CHG	none	-200	mean	upstream	0.0829575210252232	1
CHH	none	-200	mean	upstream	0.0448720055221073	1
CG	none	-300	mean	upstream	0.18205200625959	1
CHG	none	-300	mean	upstream	0.107084595305251	1
CHH	none	-300	mean	upstream	0.0579943108088943	1
CG	none	-400	mean	upstream	0.228258394403451	1
CHG	none	-400	mean	upstream	0.129396453383075	1
CHH	none	-400	mean	upstream	0.0700894377360336	1
CG	none	-500	mean	upstream	0.265794570082677	1
CHG	none	-500	mean	upstream	0.143911579395954	1
CHH	none	-500	mean	upstream	0.0784094215424219	1
CG	none	500	mean	downstream	0.226785771174965	1
CHG	none	500	mean	downstream	0.0696132654607286	1
CHH	none	500	mean	downstream	0.0365076570405896	1
CG	none	600	mean	downstream	0.219400602707938	1
CHG	none	600	mean	downstream	0.0795174887764129	1
CHH	none	600	mean	downstream	0.0449156405043409	1
CG	none	700	mean	downstream	0.246658398199326	1
CHG	none	700	mean	downstream	0.0876726141443973	1
CHH	none	700	mean	downstream	0.0512194800553818	1
CG	none	800	mean	downstream	0.272968422047439	1
CHG	none	800	mean	downstream	0.0976876306030403	1
CHH	none	800	mean	downstream	0.0591802680374474	1
CG	none	900	mean	downstream	0.300795309286847	1
CHG	none	900	mean	downstream	0.106247299195571	1
CHH	none	900	mean	downstream	0.06398985262239	1
CG	none	0	mean	inside	0.101909478656165	1
CHG	none	0	mean	inside	0.0525931765664795	1
CHH	none	0	mean	inside	0.0368852495221128	1
CG	none	25	mean	inside	0.137472485342975	1
CHG	none	25	mean	inside	0.055440165123894	1
CHH	none	25	mean	inside	0.0385072656816151	1
CG	none	50	mean	inside	0.185087262018704	1
CHG	none	50	mean	inside	0.0574306043902491	1
CHH	none	50	mean	inside	0.0390397486483666	1
CG	none	75	mean	inside	0.235066433001464	1
CHG	none	75	mean	inside	0.0597164023151355	1
CHH	none	75	mean	inside	0.0391126309039961	1
CG	none	100	mean	inside	0.280782267672533	1
CHG	none	100	mean	inside	0.0599296384793263	1
CHH	none	100	mean	inside	0.0395456961107876	1
CG	none	125	mean	inside	0.318305935293107	1
CHG	none	125	mean	inside	0.0601571492428939	1
CHH	none	125	mean	inside	0.0399174224276716	1
CG	none	150	mean	inside	0.349019648596325	1
CHG	none	150	mean	inside	0.0607700439748622	1
CHH	none	150	mean	inside	0.0398918918922894	1
CG	none	175	mean	inside	0.370982074309931	1
CHG	none	175	mean	inside	0.0595396407569048	1
CHH	none	175	mean	inside	0.0401801641709919	1
CG	none	200	mean	inside	0.38816881169935	1
CHG	none	200	mean	inside	0.0601835884187072	1
CHH	none	200	mean	inside	0.0397617574635345	1
CG	none	225	mean	inside	0.400174193816382	1
CHG	none	225	mean	inside	0.059500826855516	1
CHH	none	225	mean	inside	0.0394356723303971	1
CG	none	250	mean	inside	0.41267871963989	1
CHG	none	250	mean	inside	0.0602299031047462	1
CHH	none	250	mean	inside	0.0398114053710201	1
CG	none	275	mean	inside	0.422543873827864	1
CHG	none	275	mean	inside	0.0589862117852069	1
CHH	none	275	mean	inside	0.0397726818346369	1
CG	none	300	mean	inside	0.428273566065929	1
CHG	none	300	mean	inside	0.0575412182773623	1
CHH	none	300	mean	inside	0.0384870458328816	1
CG	none	325	mean	inside	0.432531424622159	1
CHG	none	325	mean	inside	0.0575205602490439	1
CHH	none	325	mean	inside	0.0379145651202303	1
CG	none	350	mean	inside	0.442944262729218	1
CHG	none	350	mean	inside	0.0559588159501734	1
CHH	none	350	mean	inside	0.0376683064639855	1
CG	none	375	mean	inside	0.444785420303034	1
CHG	none	375	mean	inside	0.0563526724900899	1
CHH	none	375	mean	inside	0.0371621849206639	1
CG	none	400	mean	inside	0.44053661922389	1
CHG	none	400	mean	inside	0.0550682592448538	1
CHH	none	400	mean	inside	0.0365122801936193	1
CG	none	425	mean	inside	0.431501148676861	1
CHG	none	425	mean	inside	0.0539638886738623	1
CHH	none	425	mean	inside	0.0360235918867463	1
CG	none	450	mean	inside	0.412642395443944	1
CHG	none	450	mean	inside	0.0540447386279539	1
CHH	none	450	mean	inside	0.0350118571867552	1
CG	none	475	mean	inside	0.351441837751796	1
CHG	none	475	mean	inside	0.0506479971060244	1
CHH	none	475	mean	inside	0.0329848226414046	1
