context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.162051170450731	1
CHG	none	-100	mean	upstream	0.0891219093825353	1
CHH	none	-100	mean	upstream	0.0403470126384369	1
CG	none	-200	mean	upstream	0.173727272288505	1
CHG	none	-200	mean	upstream	0.10383240877517	1
CHH	none	-200	mean	upstream	0.0505779865048718	1
CG	none	-300	mean	upstream	0.217725104136253	1
CHG	none	-300	mean	upstream	0.129684266253216	1
CHH	none	-300	mean	upstream	0.0669545123780414	1
CG	none	-400	mean	upstream	0.269405257078177	1
CHG	none	-400	mean	upstream	0.154855422351684	1
CHH	none	-400	mean	upstream	0.083474391626949	1
CG	none	-500	mean	upstream	0.314778298804447	1
CHG	none	-500	mean	upstream	0.173172663734508	1
CHH	none	-500	mean	upstream	0.0922034632566248	1
CG	none	500	mean	downstream	0.286894856186236	1
CHG	none	500	mean	downstream	0.0904174457126672	1
CHH	none	500	mean	downstream	0.0409292295891085	1
CG	none	600	mean	downstream	0.279386216554755	1
CHG	none	600	mean	downstream	0.102933201016028	1
CHH	none	600	mean	downstream	0.0513636986066825	1
CG	none	700	mean	downstream	0.307787329907397	1
CHG	none	700	mean	downstream	0.114138484609228	1
CHH	none	700	mean	downstream	0.0615862426022983	1
CG	none	800	mean	downstream	0.338884240189185	1
CHG	none	800	mean	downstream	0.124135226864032	1
CHH	none	800	mean	downstream	0.0705089710357995	1
CG	none	900	mean	downstream	0.368875461020765	1
CHG	none	900	mean	downstream	0.132909174420373	1
CHH	none	900	mean	downstream	0.0763442486583791	1
CG	none	0	mean	inside	0.133721188313683	1
CHG	none	0	mean	inside	0.060817999953186	1
CHH	none	0	mean	inside	0.0350175898448953	1
CG	none	25	mean	inside	0.179616724916219	1
CHG	none	25	mean	inside	0.0640498848927789	1
CHH	none	25	mean	inside	0.0367535039215775	1
CG	none	50	mean	inside	0.238184495044398	1
CHG	none	50	mean	inside	0.0672286245577137	1
CHH	none	50	mean	inside	0.0388311632723305	1
CG	none	75	mean	inside	0.294590921446889	1
CHG	none	75	mean	inside	0.0709158354576051	1
CHH	none	75	mean	inside	0.0410005190209801	1
CG	none	100	mean	inside	0.348352730348909	1
CHG	none	100	mean	inside	0.0720521938720224	1
CHH	none	100	mean	inside	0.0414387551542206	1
CG	none	125	mean	inside	0.391352353133386	1
CHG	none	125	mean	inside	0.0728844697822269	1
CHH	none	125	mean	inside	0.0420754893108294	1
CG	none	150	mean	inside	0.427262777139084	1
CHG	none	150	mean	inside	0.074156950115622	1
CHH	none	150	mean	inside	0.042397158681176	1
CG	none	175	mean	inside	0.452257572106866	1
CHG	none	175	mean	inside	0.0721432268473985	1
CHH	none	175	mean	inside	0.0422580679670261	1
CG	none	200	mean	inside	0.472256679960434	1
CHG	none	200	mean	inside	0.0732330517846514	1
CHH	none	200	mean	inside	0.0425542553416164	1
CG	none	225	mean	inside	0.490506691460457	1
CHG	none	225	mean	inside	0.0722498888597573	1
CHH	none	225	mean	inside	0.0419489065149754	1
CG	none	250	mean	inside	0.501304976901225	1
CHG	none	250	mean	inside	0.0724369365219625	1
CHH	none	250	mean	inside	0.0418005973583748	1
CG	none	275	mean	inside	0.515293002488161	1
CHG	none	275	mean	inside	0.0727646756364074	1
CHH	none	275	mean	inside	0.0416159457077576	1
CG	none	300	mean	inside	0.52580202806421	1
CHG	none	300	mean	inside	0.0718768002174055	1
CHH	none	300	mean	inside	0.0409894184163644	1
CG	none	325	mean	inside	0.526167575673587	1
CHG	none	325	mean	inside	0.0715099499700248	1
CHH	none	325	mean	inside	0.0407356262912668	1
CG	none	350	mean	inside	0.53496032018231	1
CHG	none	350	mean	inside	0.0701152005513205	1
CHH	none	350	mean	inside	0.0403247039937502	1
CG	none	375	mean	inside	0.536870567050239	1
CHG	none	375	mean	inside	0.0700669422991074	1
CHH	none	375	mean	inside	0.039890145545259	1
CG	none	400	mean	inside	0.531325178061461	1
CHG	none	400	mean	inside	0.0696206001925132	1
CHH	none	400	mean	inside	0.0384498466155843	1
CG	none	425	mean	inside	0.519322283904374	1
CHG	none	425	mean	inside	0.0672421443107694	1
CHH	none	425	mean	inside	0.0372434108638523	1
CG	none	450	mean	inside	0.493924286810787	1
CHG	none	450	mean	inside	0.0674874026535423	1
CHH	none	450	mean	inside	0.0365664698665444	1
CG	none	475	mean	inside	0.425176846141955	1
CHG	none	475	mean	inside	0.0631705540406928	1
CHH	none	475	mean	inside	0.0343435329168495	1
