context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.187401618884457	1
CHG	none	-100	mean	upstream	0.107172374999206	1
CHH	none	-100	mean	upstream	0.0369540161542883	1
CG	none	-200	mean	upstream	0.197915106368976	1
CHG	none	-200	mean	upstream	0.119801777222501	1
CHH	none	-200	mean	upstream	0.0445460926800766	1
CG	none	-300	mean	upstream	0.239249966764206	1
CHG	none	-300	mean	upstream	0.143009727035743	1
CHH	none	-300	mean	upstream	0.0562964733205977	1
CG	none	-400	mean	upstream	0.289289060530812	1
CHG	none	-400	mean	upstream	0.164429035479868	1
CHH	none	-400	mean	upstream	0.0683862060773943	1
CG	none	-500	mean	upstream	0.331575514694224	1
CHG	none	-500	mean	upstream	0.182506493786874	1
CHH	none	-500	mean	upstream	0.0744822774089372	1
CG	none	500	mean	downstream	0.306458780646484	1
CHG	none	500	mean	downstream	0.108222626116774	1
CHH	none	500	mean	downstream	0.0375790557120178	1
CG	none	600	mean	downstream	0.299978283675521	1
CHG	none	600	mean	downstream	0.120549926902792	1
CHH	none	600	mean	downstream	0.0450108629741365	1
CG	none	700	mean	downstream	0.32472923468209	1
CHG	none	700	mean	downstream	0.127831910131202	1
CHH	none	700	mean	downstream	0.0521495009112515	1
CG	none	800	mean	downstream	0.35500882927733	1
CHG	none	800	mean	downstream	0.137480168130552	1
CHH	none	800	mean	downstream	0.058282711377409	1
CG	none	900	mean	downstream	0.38396094241161	1
CHG	none	900	mean	downstream	0.145848205614492	1
CHH	none	900	mean	downstream	0.0625153755068943	1
CG	none	0	mean	inside	0.159800006907854	1
CHG	none	0	mean	inside	0.081176546652787	1
CHH	none	0	mean	inside	0.0339456204126502	1
CG	none	25	mean	inside	0.2039134952809	1
CHG	none	25	mean	inside	0.0836975612397064	1
CHH	none	25	mean	inside	0.0350298657195925	1
CG	none	50	mean	inside	0.258820379596536	1
CHG	none	50	mean	inside	0.0874339773114068	1
CHH	none	50	mean	inside	0.0367049247729534	1
CG	none	75	mean	inside	0.311130212781936	1
CHG	none	75	mean	inside	0.0904273289183683	1
CHH	none	75	mean	inside	0.0382213740653661	1
CG	none	100	mean	inside	0.361416276711981	1
CHG	none	100	mean	inside	0.0913242814196724	1
CHH	none	100	mean	inside	0.0387478564742298	1
CG	none	125	mean	inside	0.400493428181486	1
CHG	none	125	mean	inside	0.0916306182736569	1
CHH	none	125	mean	inside	0.0392424558551579	1
CG	none	150	mean	inside	0.436123296688541	1
CHG	none	150	mean	inside	0.093409863249402	1
CHH	none	150	mean	inside	0.0391589281975013	1
CG	none	175	mean	inside	0.458999512908725	1
CHG	none	175	mean	inside	0.0918812331531641	1
CHH	none	175	mean	inside	0.0394272413236344	1
CG	none	200	mean	inside	0.476672433983566	1
CHG	none	200	mean	inside	0.0930229040005247	1
CHH	none	200	mean	inside	0.0393637784104363	1
CG	none	225	mean	inside	0.49520810491719	1
CHG	none	225	mean	inside	0.0915753592951151	1
CHH	none	225	mean	inside	0.0393344811305261	1
CG	none	250	mean	inside	0.504603618274975	1
CHG	none	250	mean	inside	0.0923756523317583	1
CHH	none	250	mean	inside	0.0389390927358147	1
CG	none	275	mean	inside	0.516757027941953	1
CHG	none	275	mean	inside	0.0919000799210334	1
CHH	none	275	mean	inside	0.0388750123632504	1
CG	none	300	mean	inside	0.525369321222325	1
CHG	none	300	mean	inside	0.0917786295233037	1
CHH	none	300	mean	inside	0.0382540641598871	1
CG	none	325	mean	inside	0.52729372735208	1
CHG	none	325	mean	inside	0.0902998173811493	1
CHH	none	325	mean	inside	0.0382717336106174	1
CG	none	350	mean	inside	0.534596843823029	1
CHG	none	350	mean	inside	0.0891929356488754	1
CHH	none	350	mean	inside	0.0377294984669762	1
CG	none	375	mean	inside	0.536318993803039	1
CHG	none	375	mean	inside	0.0894857133458771	1
CHH	none	375	mean	inside	0.0376311837866791	1
CG	none	400	mean	inside	0.532401771775453	1
CHG	none	400	mean	inside	0.0886464746028695	1
CHH	none	400	mean	inside	0.036634175865652	1
CG	none	425	mean	inside	0.520824464633543	1
CHG	none	425	mean	inside	0.0865229692730217	1
CHH	none	425	mean	inside	0.035475659050376	1
CG	none	450	mean	inside	0.498262854932193	1
CHG	none	450	mean	inside	0.0869282376122661	1
CHH	none	450	mean	inside	0.0349015115880225	1
CG	none	475	mean	inside	0.433747131372421	1
CHG	none	475	mean	inside	0.0826831936299379	1
CHH	none	475	mean	inside	0.0334279527325691	1
