context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.166602027483229	1
CHG	none	-100	mean	upstream	0.0965446174012501	1
CHH	none	-100	mean	upstream	0.0539964364426397	1
CG	none	-200	mean	upstream	0.17781091716048	1
CHG	none	-200	mean	upstream	0.111137320949459	1
CHH	none	-200	mean	upstream	0.06217058399467	1
CG	none	-300	mean	upstream	0.221505583001105	1
CHG	none	-300	mean	upstream	0.134875105659648	1
CHH	none	-300	mean	upstream	0.0766683514673711	1
CG	none	-400	mean	upstream	0.269049156536317	1
CHG	none	-400	mean	upstream	0.158151370027058	1
CHH	none	-400	mean	upstream	0.0921124400929904	1
CG	none	-500	mean	upstream	0.308695249034622	1
CHG	none	-500	mean	upstream	0.172040197302866	1
CHH	none	-500	mean	upstream	0.099831500361689	1
CG	none	500	mean	downstream	0.308744831478839	1
CHG	none	500	mean	downstream	0.0972453838863373	1
CHH	none	500	mean	downstream	0.0535354609121237	1
CG	none	600	mean	downstream	0.292867277299336	1
CHG	none	600	mean	downstream	0.109451356809346	1
CHH	none	600	mean	downstream	0.0633665452826402	1
CG	none	700	mean	downstream	0.316334774423131	1
CHG	none	700	mean	downstream	0.122916929880054	1
CHH	none	700	mean	downstream	0.0733134482632251	1
CG	none	800	mean	downstream	0.344960719996584	1
CHG	none	800	mean	downstream	0.130517564843356	1
CHH	none	800	mean	downstream	0.0800731624121798	1
CG	none	900	mean	downstream	0.373872996079255	1
CHG	none	900	mean	downstream	0.137358106799061	1
CHH	none	900	mean	downstream	0.0856855498259413	1
CG	none	0	mean	inside	0.143783370949778	1
CHG	none	0	mean	inside	0.0719956691177542	1
CHH	none	0	mean	inside	0.0477002020268195	1
CG	none	25	mean	inside	0.190178710962207	1
CHG	none	25	mean	inside	0.0744930399042777	1
CHH	none	25	mean	inside	0.0489751680535914	1
CG	none	50	mean	inside	0.246072678646894	1
CHG	none	50	mean	inside	0.0780683233859035	1
CHH	none	50	mean	inside	0.0509420736501401	1
CG	none	75	mean	inside	0.305245883824702	1
CHG	none	75	mean	inside	0.08061687246016	1
CHH	none	75	mean	inside	0.0528762319462324	1
CG	none	100	mean	inside	0.357666889261211	1
CHG	none	100	mean	inside	0.0817634955088419	1
CHH	none	100	mean	inside	0.0536995714202765	1
CG	none	125	mean	inside	0.396291894316561	1
CHG	none	125	mean	inside	0.0812639251732969	1
CHH	none	125	mean	inside	0.0540229486580262	1
CG	none	150	mean	inside	0.433749455644338	1
CHG	none	150	mean	inside	0.0819152979534311	1
CHH	none	150	mean	inside	0.0536147658323195	1
CG	none	175	mean	inside	0.459984001059118	1
CHG	none	175	mean	inside	0.0806822260418658	1
CHH	none	175	mean	inside	0.0538203052716997	1
CG	none	200	mean	inside	0.478349126122269	1
CHG	none	200	mean	inside	0.0808908527856691	1
CHH	none	200	mean	inside	0.053428979348583	1
CG	none	225	mean	inside	0.496300693025393	1
CHG	none	225	mean	inside	0.0815149484693517	1
CHH	none	225	mean	inside	0.0541819018154424	1
CG	none	250	mean	inside	0.506354058180879	1
CHG	none	250	mean	inside	0.0821075867974852	1
CHH	none	250	mean	inside	0.0535611672675488	1
CG	none	275	mean	inside	0.521088860895117	1
CHG	none	275	mean	inside	0.0820654092757025	1
CHH	none	275	mean	inside	0.0536857125321127	1
CG	none	300	mean	inside	0.527116646978994	1
CHG	none	300	mean	inside	0.0819696127109456	1
CHH	none	300	mean	inside	0.0532803097839577	1
CG	none	325	mean	inside	0.529213201995365	1
CHG	none	325	mean	inside	0.0813223432883093	1
CHH	none	325	mean	inside	0.0528589108790988	1
CG	none	350	mean	inside	0.534678813973067	1
CHG	none	350	mean	inside	0.0800134115808895	1
CHH	none	350	mean	inside	0.051793046223406	1
CG	none	375	mean	inside	0.540815931095154	1
CHG	none	375	mean	inside	0.0800581421498276	1
CHH	none	375	mean	inside	0.0516613567869555	1
CG	none	400	mean	inside	0.53471753773914	1
CHG	none	400	mean	inside	0.0779720036947417	1
CHH	none	400	mean	inside	0.0507186870788668	1
CG	none	425	mean	inside	0.526315059229827	1
CHG	none	425	mean	inside	0.076466476873089	1
CHH	none	425	mean	inside	0.0493399939934248	1
CG	none	450	mean	inside	0.506298159407834	1
CHG	none	450	mean	inside	0.0749444237264169	1
CHH	none	450	mean	inside	0.0486280650716118	1
CG	none	475	mean	inside	0.451121431443031	1
CHG	none	475	mean	inside	0.0721866189521766	1
CHH	none	475	mean	inside	0.0468709680517726	1
