context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.160799196274552	1
CHG	none	-100	mean	upstream	0.0942543244001392	1
CHH	none	-100	mean	upstream	0.0375006332697906	1
CG	none	-200	mean	upstream	0.176304978363879	1
CHG	none	-200	mean	upstream	0.106505925485235	1
CHH	none	-200	mean	upstream	0.0422905276740504	1
CG	none	-300	mean	upstream	0.210203495939723	1
CHG	none	-300	mean	upstream	0.123070976434483	1
CHH	none	-300	mean	upstream	0.049534459109548	1
CG	none	-400	mean	upstream	0.244407999152541	1
CHG	none	-400	mean	upstream	0.138681948233847	1
CHH	none	-400	mean	upstream	0.0568288754811737	1
CG	none	-500	mean	upstream	0.27967961793943	1
CHG	none	-500	mean	upstream	0.147960411515088	1
CHH	none	-500	mean	upstream	0.0629168873374016	1
CG	none	500	mean	downstream	0.293148930026192	1
CHG	none	500	mean	downstream	0.0896713707124201	1
CHH	none	500	mean	downstream	0.0361525668343127	1
CG	none	600	mean	downstream	0.271667750551365	1
CHG	none	600	mean	downstream	0.10033792929856	1
CHH	none	600	mean	downstream	0.0411607121911521	1
CG	none	700	mean	downstream	0.29441099854992	1
CHG	none	700	mean	downstream	0.10812510733548	1
CHH	none	700	mean	downstream	0.0466898267368589	1
CG	none	800	mean	downstream	0.314629931982647	1
CHG	none	800	mean	downstream	0.114993831832429	1
CHH	none	800	mean	downstream	0.0518793570187813	1
CG	none	900	mean	downstream	0.342723679445455	1
CHG	none	900	mean	downstream	0.119816445178092	1
CHH	none	900	mean	downstream	0.0552209683309351	1
CG	none	0	mean	inside	0.14134072783508	1
CHG	none	0	mean	inside	0.0705396930895753	1
CHH	none	0	mean	inside	0.0327348779103967	1
CG	none	25	mean	inside	0.180587477624552	1
CHG	none	25	mean	inside	0.0705042219883208	1
CHH	none	25	mean	inside	0.0330572750423475	1
CG	none	50	mean	inside	0.237186115323206	1
CHG	none	50	mean	inside	0.0730343744242284	1
CHH	none	50	mean	inside	0.0334954126139559	1
CG	none	75	mean	inside	0.295203330082754	1
CHG	none	75	mean	inside	0.0741777863563052	1
CHH	none	75	mean	inside	0.0344155355314115	1
CG	none	100	mean	inside	0.344492106792497	1
CHG	none	100	mean	inside	0.0752693156926258	1
CHH	none	100	mean	inside	0.034833500272713	1
CG	none	125	mean	inside	0.383039343045837	1
CHG	none	125	mean	inside	0.0749225273451462	1
CHH	none	125	mean	inside	0.0353914268444534	1
CG	none	150	mean	inside	0.417511165549385	1
CHG	none	150	mean	inside	0.0769972182709991	1
CHH	none	150	mean	inside	0.035971895580906	1
CG	none	175	mean	inside	0.444384568970429	1
CHG	none	175	mean	inside	0.0772170014457617	1
CHH	none	175	mean	inside	0.0358449277065107	1
CG	none	200	mean	inside	0.464132569381258	1
CHG	none	200	mean	inside	0.0765292026339128	1
CHH	none	200	mean	inside	0.0355427288037893	1
CG	none	225	mean	inside	0.475684664051259	1
CHG	none	225	mean	inside	0.0765531784527767	1
CHH	none	225	mean	inside	0.0359436304599806	1
CG	none	250	mean	inside	0.49168057126545	1
CHG	none	250	mean	inside	0.0762210105727289	1
CHH	none	250	mean	inside	0.0359091164896372	1
CG	none	275	mean	inside	0.497926556546873	1
CHG	none	275	mean	inside	0.0751932714077577	1
CHH	none	275	mean	inside	0.0358017152397245	1
CG	none	300	mean	inside	0.505304343201723	1
CHG	none	300	mean	inside	0.0740992484341985	1
CHH	none	300	mean	inside	0.0352095560324746	1
CG	none	325	mean	inside	0.508921490665421	1
CHG	none	325	mean	inside	0.0737804303051849	1
CHH	none	325	mean	inside	0.0345088673115152	1
CG	none	350	mean	inside	0.516861297381639	1
CHG	none	350	mean	inside	0.0732114298175833	1
CHH	none	350	mean	inside	0.0347531660989703	1
CG	none	375	mean	inside	0.522380280569519	1
CHG	none	375	mean	inside	0.0721228548486989	1
CHH	none	375	mean	inside	0.0338877925200647	1
CG	none	400	mean	inside	0.517617918584387	1
CHG	none	400	mean	inside	0.0721057357613462	1
CHH	none	400	mean	inside	0.0333563730586151	1
CG	none	425	mean	inside	0.509972087925067	1
CHG	none	425	mean	inside	0.0711226248032787	1
CHH	none	425	mean	inside	0.0331728131736756	1
CG	none	450	mean	inside	0.486543552247438	1
CHG	none	450	mean	inside	0.0710602016056328	1
CHH	none	450	mean	inside	0.0327785964583848	1
CG	none	475	mean	inside	0.437515092752953	1
CHG	none	475	mean	inside	0.0672239278079998	1
CHH	none	475	mean	inside	0.031398184010675	1
