context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.168233874767745	1
CHG	none	-100	mean	upstream	0.100591258494824	1
CHH	none	-100	mean	upstream	0.0502737175721425	1
CG	none	-200	mean	upstream	0.181841838349392	1
CHG	none	-200	mean	upstream	0.115926445899915	1
CHH	none	-200	mean	upstream	0.060480667615237	1
CG	none	-300	mean	upstream	0.225188784017433	1
CHG	none	-300	mean	upstream	0.142757001345418	1
CHH	none	-300	mean	upstream	0.077022894953724	1
CG	none	-400	mean	upstream	0.275984364431421	1
CHG	none	-400	mean	upstream	0.16838269882151	1
CHH	none	-400	mean	upstream	0.0930662281740207	1
CG	none	-500	mean	upstream	0.322195499706074	1
CHG	none	-500	mean	upstream	0.187311884923463	1
CHH	none	-500	mean	upstream	0.102388101909581	1
CG	none	500	mean	downstream	0.290707885255033	1
CHG	none	500	mean	downstream	0.102315483413948	1
CHH	none	500	mean	downstream	0.0505377312801235	1
CG	none	600	mean	downstream	0.285532389332047	1
CHG	none	600	mean	downstream	0.116064948074668	1
CHH	none	600	mean	downstream	0.0607194666074033	1
CG	none	700	mean	downstream	0.313796641433252	1
CHG	none	700	mean	downstream	0.127018656749383	1
CHH	none	700	mean	downstream	0.0708892986303937	1
CG	none	800	mean	downstream	0.345312832082011	1
CHG	none	800	mean	downstream	0.136814760057149	1
CHH	none	800	mean	downstream	0.0797713396157473	1
CG	none	900	mean	downstream	0.374796021451822	1
CHG	none	900	mean	downstream	0.145612087917961	1
CHH	none	900	mean	downstream	0.086647241581902	1
CG	none	0	mean	inside	0.137237452724914	1
CHG	none	0	mean	inside	0.0710425819844732	1
CHH	none	0	mean	inside	0.0464544357029456	1
CG	none	25	mean	inside	0.181637036505548	1
CHG	none	25	mean	inside	0.0744852057621883	1
CHH	none	25	mean	inside	0.0485503905062614	1
CG	none	50	mean	inside	0.24002870669083	1
CHG	none	50	mean	inside	0.0778409845826704	1
CHH	none	50	mean	inside	0.050003306171633	1
CG	none	75	mean	inside	0.295715833964821	1
CHG	none	75	mean	inside	0.0810787029643741	1
CHH	none	75	mean	inside	0.0520544885363269	1
CG	none	100	mean	inside	0.348018005489566	1
CHG	none	100	mean	inside	0.0824241834642456	1
CHH	none	100	mean	inside	0.0519409234945373	1
CG	none	125	mean	inside	0.39165186020762	1
CHG	none	125	mean	inside	0.0831486875440403	1
CHH	none	125	mean	inside	0.052533544738431	1
CG	none	150	mean	inside	0.42845924359487	1
CHG	none	150	mean	inside	0.0841861846184264	1
CHH	none	150	mean	inside	0.0524178488903789	1
CG	none	175	mean	inside	0.45398990250885	1
CHG	none	175	mean	inside	0.0824939216333812	1
CHH	none	175	mean	inside	0.0526028093493405	1
CG	none	200	mean	inside	0.474700158303204	1
CHG	none	200	mean	inside	0.0835506378929384	1
CHH	none	200	mean	inside	0.0525559124006532	1
CG	none	225	mean	inside	0.493119849693072	1
CHG	none	225	mean	inside	0.0820785323417279	1
CHH	none	225	mean	inside	0.0526545367635919	1
CG	none	250	mean	inside	0.505077855329936	1
CHG	none	250	mean	inside	0.0834141804894322	1
CHH	none	250	mean	inside	0.0519590712828363	1
CG	none	275	mean	inside	0.517977527608144	1
CHG	none	275	mean	inside	0.0832107017783752	1
CHH	none	275	mean	inside	0.0522454141488016	1
CG	none	300	mean	inside	0.528994869672093	1
CHG	none	300	mean	inside	0.0836168992556946	1
CHH	none	300	mean	inside	0.0514310146238308	1
CG	none	325	mean	inside	0.531019607907606	1
CHG	none	325	mean	inside	0.0826406842426073	1
CHH	none	325	mean	inside	0.0510522106585699	1
CG	none	350	mean	inside	0.538618883829845	1
CHG	none	350	mean	inside	0.0803445199111784	1
CHH	none	350	mean	inside	0.0504767629127883	1
CG	none	375	mean	inside	0.540561496791328	1
CHG	none	375	mean	inside	0.0806646214613749	1
CHH	none	375	mean	inside	0.0499287387983004	1
CG	none	400	mean	inside	0.535523489384874	1
CHG	none	400	mean	inside	0.0799341791320815	1
CHH	none	400	mean	inside	0.0485668350894377	1
CG	none	425	mean	inside	0.523777958532139	1
CHG	none	425	mean	inside	0.0788351730265829	1
CHH	none	425	mean	inside	0.0477287815626728	1
CG	none	450	mean	inside	0.498486913260626	1
CHG	none	450	mean	inside	0.0792033152549734	1
CHH	none	450	mean	inside	0.0468107490679771	1
CG	none	475	mean	inside	0.430768687312914	1
CHG	none	475	mean	inside	0.0737431524745424	1
CHH	none	475	mean	inside	0.044648836793432	1
