context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.111130897352502	1
CHG	none	-100	mean	upstream	0.060657738820923	1
CHH	none	-100	mean	upstream	0.0370814396720993	1
CG	none	-200	mean	upstream	0.12780715551878	1
CHG	none	-200	mean	upstream	0.0742427113141998	1
CHH	none	-200	mean	upstream	0.0466207985310051	1
CG	none	-300	mean	upstream	0.174288123178458	1
CHG	none	-300	mean	upstream	0.0992834681078074	1
CHH	none	-300	mean	upstream	0.0616368246833257	1
CG	none	-400	mean	upstream	0.223380176120384	1
CHG	none	-400	mean	upstream	0.121217801834134	1
CHH	none	-400	mean	upstream	0.0758857164465159	1
CG	none	-500	mean	upstream	0.260238129202333	1
CHG	none	-500	mean	upstream	0.134895373951567	1
CHH	none	-500	mean	upstream	0.0853554219880027	1
CG	none	500	mean	downstream	0.21866160343182	1
CHG	none	500	mean	downstream	0.0607295094630929	1
CHH	none	500	mean	downstream	0.0380175309930399	1
CG	none	600	mean	downstream	0.212239797144734	1
CHG	none	600	mean	downstream	0.0703692744576995	1
CHH	none	600	mean	downstream	0.047116909274883	1
CG	none	700	mean	downstream	0.240891220291486	1
CHG	none	700	mean	downstream	0.0801077336357071	1
CHH	none	700	mean	downstream	0.0552123064101829	1
CG	none	800	mean	downstream	0.267261117636607	1
CHG	none	800	mean	downstream	0.0901497842049065	1
CHH	none	800	mean	downstream	0.0636804785875087	1
CG	none	900	mean	downstream	0.297622286067523	1
CHG	none	900	mean	downstream	0.0969026462779342	1
CHH	none	900	mean	downstream	0.0688755998874656	1
CG	none	0	mean	inside	0.0918764607035793	1
CHG	none	0	mean	inside	0.0437843054471116	1
CHH	none	0	mean	inside	0.0338626532881914	1
CG	none	25	mean	inside	0.126226989544574	1
CHG	none	25	mean	inside	0.0458796088373575	1
CHH	none	25	mean	inside	0.0353981544019083	1
CG	none	50	mean	inside	0.176735402606881	1
CHG	none	50	mean	inside	0.0477402244190588	1
CHH	none	50	mean	inside	0.036582094804571	1
CG	none	75	mean	inside	0.226131371211184	1
CHG	none	75	mean	inside	0.0491291132322913	1
CHH	none	75	mean	inside	0.036969639989402	1
CG	none	100	mean	inside	0.27357657608504	1
CHG	none	100	mean	inside	0.049597116136479	1
CHH	none	100	mean	inside	0.0379932265898175	1
CG	none	125	mean	inside	0.31161881083927	1
CHG	none	125	mean	inside	0.0501887814543247	1
CHH	none	125	mean	inside	0.0385156835537893	1
CG	none	150	mean	inside	0.34384046862489	1
CHG	none	150	mean	inside	0.0506903454480468	1
CHH	none	150	mean	inside	0.0390366636276696	1
CG	none	175	mean	inside	0.366762638945382	1
CHG	none	175	mean	inside	0.0489277572670227	1
CHH	none	175	mean	inside	0.0389279197827075	1
CG	none	200	mean	inside	0.38489547889251	1
CHG	none	200	mean	inside	0.0493608605626376	1
CHH	none	200	mean	inside	0.0383260515306929	1
CG	none	225	mean	inside	0.396021416613685	1
CHG	none	225	mean	inside	0.048348590299587	1
CHH	none	225	mean	inside	0.0381864646442464	1
CG	none	250	mean	inside	0.410454513017464	1
CHG	none	250	mean	inside	0.0493957979742823	1
CHH	none	250	mean	inside	0.0387416839322065	1
CG	none	275	mean	inside	0.420799838196838	1
CHG	none	275	mean	inside	0.0494016908410314	1
CHH	none	275	mean	inside	0.0390169017032039	1
CG	none	300	mean	inside	0.427301781293597	1
CHG	none	300	mean	inside	0.0476383589135806	1
CHH	none	300	mean	inside	0.0381029141877593	1
CG	none	325	mean	inside	0.432722773100526	1
CHG	none	325	mean	inside	0.0470188490316484	1
CHH	none	325	mean	inside	0.0364762199122287	1
CG	none	350	mean	inside	0.440970726202882	1
CHG	none	350	mean	inside	0.046178295250164	1
CHH	none	350	mean	inside	0.0365888113249463	1
CG	none	375	mean	inside	0.441167185965249	1
CHG	none	375	mean	inside	0.0462964405751758	1
CHH	none	375	mean	inside	0.0358577709876343	1
CG	none	400	mean	inside	0.436970264807856	1
CHG	none	400	mean	inside	0.0446390049333855	1
CHH	none	400	mean	inside	0.0352335567358068	1
CG	none	425	mean	inside	0.42876326514668	1
CHG	none	425	mean	inside	0.0435573676982321	1
CHH	none	425	mean	inside	0.0346296597030925	1
CG	none	450	mean	inside	0.409829804119201	1
CHG	none	450	mean	inside	0.0443719614339291	1
CHH	none	450	mean	inside	0.033870183605074	1
CG	none	475	mean	inside	0.34704423537172	1
CHG	none	475	mean	inside	0.0420794965676185	1
CHH	none	475	mean	inside	0.0327559611028447	1
