context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.129271277730431	1
CHG	none	-100	mean	upstream	0.0790145604646247	1
CHH	none	-100	mean	upstream	0.0396603586697983	1
CG	none	-200	mean	upstream	0.144590928428256	1
CHG	none	-200	mean	upstream	0.0928944263110861	1
CHH	none	-200	mean	upstream	0.0453323241265515	1
CG	none	-300	mean	upstream	0.179116597077943	1
CHG	none	-300	mean	upstream	0.113737051311345	1
CHH	none	-300	mean	upstream	0.0553033695936114	1
CG	none	-400	mean	upstream	0.215126308678114	1
CHG	none	-400	mean	upstream	0.130401157683149	1
CHH	none	-400	mean	upstream	0.0660640424181659	1
CG	none	-500	mean	upstream	0.250310125556653	1
CHG	none	-500	mean	upstream	0.142960128987311	1
CHH	none	-500	mean	upstream	0.074537706339685	1
CG	none	500	mean	downstream	0.244758976510646	1
CHG	none	500	mean	downstream	0.0776849622475368	1
CHH	none	500	mean	downstream	0.0383377250743708	1
CG	none	600	mean	downstream	0.23141765156708	1
CHG	none	600	mean	downstream	0.0908606679149783	1
CHH	none	600	mean	downstream	0.045352909995915	1
CG	none	700	mean	downstream	0.255138630348829	1
CHG	none	700	mean	downstream	0.099451017485137	1
CHH	none	700	mean	downstream	0.0520911778483229	1
CG	none	800	mean	downstream	0.275441719627588	1
CHG	none	800	mean	downstream	0.106789577748923	1
CHH	none	800	mean	downstream	0.0586513628585291	1
CG	none	900	mean	downstream	0.299993955153307	1
CHG	none	900	mean	downstream	0.111813127452867	1
CHH	none	900	mean	downstream	0.062656069390988	1
CG	none	0	mean	inside	0.109576198430022	1
CHG	none	0	mean	inside	0.0575504887724557	1
CHH	none	0	mean	inside	0.0341398109801803	1
CG	none	25	mean	inside	0.142042193987723	1
CHG	none	25	mean	inside	0.0574228982835107	1
CHH	none	25	mean	inside	0.0343948323969334	1
CG	none	50	mean	inside	0.192427351383252	1
CHG	none	50	mean	inside	0.0594345002743446	1
CHH	none	50	mean	inside	0.0351316530709219	1
CG	none	75	mean	inside	0.245469113417343	1
CHG	none	75	mean	inside	0.060397178012994	1
CHH	none	75	mean	inside	0.0356027969711064	1
CG	none	100	mean	inside	0.294915557366313	1
CHG	none	100	mean	inside	0.0632481659786626	1
CHH	none	100	mean	inside	0.0368857230541279	1
CG	none	125	mean	inside	0.334887151040915	1
CHG	none	125	mean	inside	0.062536782668846	1
CHH	none	125	mean	inside	0.0373618995576412	1
CG	none	150	mean	inside	0.364690297241923	1
CHG	none	150	mean	inside	0.0633487838837569	1
CHH	none	150	mean	inside	0.0375588703156087	1
CG	none	175	mean	inside	0.388663591354733	1
CHG	none	175	mean	inside	0.0632589383729324	1
CHH	none	175	mean	inside	0.0369025530984188	1
CG	none	200	mean	inside	0.408475178440112	1
CHG	none	200	mean	inside	0.0631133447967126	1
CHH	none	200	mean	inside	0.0368996493521104	1
CG	none	225	mean	inside	0.425766473206536	1
CHG	none	225	mean	inside	0.0632726050175363	1
CHH	none	225	mean	inside	0.0373343707352548	1
CG	none	250	mean	inside	0.438060631346487	1
CHG	none	250	mean	inside	0.064231243024453	1
CHH	none	250	mean	inside	0.0379816454611819	1
CG	none	275	mean	inside	0.447776288258724	1
CHG	none	275	mean	inside	0.0625746373546417	1
CHH	none	275	mean	inside	0.03801565325074	1
CG	none	300	mean	inside	0.458005371486105	1
CHG	none	300	mean	inside	0.0615955128026202	1
CHH	none	300	mean	inside	0.0374411777631935	1
CG	none	325	mean	inside	0.46224052732831	1
CHG	none	325	mean	inside	0.0615803315453215	1
CHH	none	325	mean	inside	0.0364438053536283	1
CG	none	350	mean	inside	0.469615003225292	1
CHG	none	350	mean	inside	0.0592487613468963	1
CHH	none	350	mean	inside	0.03583949162353	1
CG	none	375	mean	inside	0.473311550063948	1
CHG	none	375	mean	inside	0.0593947697086653	1
CHH	none	375	mean	inside	0.0353059024667522	1
CG	none	400	mean	inside	0.470463522540189	1
CHG	none	400	mean	inside	0.0589773267542558	1
CHH	none	400	mean	inside	0.0346129519183616	1
CG	none	425	mean	inside	0.467371256949104	1
CHG	none	425	mean	inside	0.0581347775915165	1
CHH	none	425	mean	inside	0.0347920473594109	1
CG	none	450	mean	inside	0.445516625923334	1
CHG	none	450	mean	inside	0.0589563008501168	1
CHH	none	450	mean	inside	0.0341954902002879	1
CG	none	475	mean	inside	0.389260762735087	1
CHG	none	475	mean	inside	0.055991725491757	1
CHH	none	475	mean	inside	0.0326886433259262	1
