context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.160953289697636	1
CHG	none	-100	mean	upstream	0.0825326117978212	1
CHH	none	-100	mean	upstream	0.0379242535746129	1
CG	none	-200	mean	upstream	0.172585584675707	1
CHG	none	-200	mean	upstream	0.0968240993057396	1
CHH	none	-200	mean	upstream	0.0488107620262238	1
CG	none	-300	mean	upstream	0.21671149639111	1
CHG	none	-300	mean	upstream	0.121362972204079	1
CHH	none	-300	mean	upstream	0.0650020056070465	1
CG	none	-400	mean	upstream	0.267460597206782	1
CHG	none	-400	mean	upstream	0.14466288278279	1
CHH	none	-400	mean	upstream	0.0815908894811076	1
CG	none	-500	mean	upstream	0.312987502308782	1
CHG	none	-500	mean	upstream	0.161576620750169	1
CHH	none	-500	mean	upstream	0.0905788169898887	1
CG	none	500	mean	downstream	0.285685270805005	1
CHG	none	500	mean	downstream	0.0840229315106159	1
CHH	none	500	mean	downstream	0.0393874964267126	1
CG	none	600	mean	downstream	0.278183809466972	1
CHG	none	600	mean	downstream	0.0959430572092007	1
CHH	none	600	mean	downstream	0.0497313139423182	1
CG	none	700	mean	downstream	0.305974266869112	1
CHG	none	700	mean	downstream	0.106207007296567	1
CHH	none	700	mean	downstream	0.060038649354521	1
CG	none	800	mean	downstream	0.337560592769125	1
CHG	none	800	mean	downstream	0.114919775319657	1
CHH	none	800	mean	downstream	0.0685301581881289	1
CG	none	900	mean	downstream	0.367876806657835	1
CHG	none	900	mean	downstream	0.12300235728512	1
CHH	none	900	mean	downstream	0.0743304445312983	1
CG	none	0	mean	inside	0.133995196617395	1
CHG	none	0	mean	inside	0.0573430459820769	1
CHH	none	0	mean	inside	0.0327449867174382	1
CG	none	25	mean	inside	0.181335527926013	1
CHG	none	25	mean	inside	0.0604494237221442	1
CHH	none	25	mean	inside	0.0344118877123194	1
CG	none	50	mean	inside	0.240392313850503	1
CHG	none	50	mean	inside	0.0634826881495047	1
CHH	none	50	mean	inside	0.0367976579868101	1
CG	none	75	mean	inside	0.2969171179752	1
CHG	none	75	mean	inside	0.0674598480005418	1
CHH	none	75	mean	inside	0.0392871437459627	1
CG	none	100	mean	inside	0.349885179987453	1
CHG	none	100	mean	inside	0.0680974532821212	1
CHH	none	100	mean	inside	0.0401179071925994	1
CG	none	125	mean	inside	0.392833917634091	1
CHG	none	125	mean	inside	0.0689927989161766	1
CHH	none	125	mean	inside	0.040115205979788	1
CG	none	150	mean	inside	0.428515811419055	1
CHG	none	150	mean	inside	0.0696307080957823	1
CHH	none	150	mean	inside	0.0404421384511437	1
CG	none	175	mean	inside	0.452334554987838	1
CHG	none	175	mean	inside	0.068383085471932	1
CHH	none	175	mean	inside	0.0408029530809323	1
CG	none	200	mean	inside	0.474131489439178	1
CHG	none	200	mean	inside	0.0702816220372841	1
CHH	none	200	mean	inside	0.0410071162643816	1
CG	none	225	mean	inside	0.492957561034835	1
CHG	none	225	mean	inside	0.0691467741441571	1
CHH	none	225	mean	inside	0.0406597526045863	1
CG	none	250	mean	inside	0.503052039748092	1
CHG	none	250	mean	inside	0.0690162157411335	1
CHH	none	250	mean	inside	0.0402850984648417	1
CG	none	275	mean	inside	0.51470760190891	1
CHG	none	275	mean	inside	0.0691013306561943	1
CHH	none	275	mean	inside	0.0401739547483761	1
CG	none	300	mean	inside	0.525763117706524	1
CHG	none	300	mean	inside	0.0691481258379412	1
CHH	none	300	mean	inside	0.0393446333487233	1
CG	none	325	mean	inside	0.527196878165858	1
CHG	none	325	mean	inside	0.0679591186398602	1
CHH	none	325	mean	inside	0.0394847373336828	1
CG	none	350	mean	inside	0.53530111717616	1
CHG	none	350	mean	inside	0.0663474450263489	1
CHH	none	350	mean	inside	0.0387372661013579	1
CG	none	375	mean	inside	0.537353109378304	1
CHG	none	375	mean	inside	0.0656963563791331	1
CHH	none	375	mean	inside	0.038025489013689	1
CG	none	400	mean	inside	0.533515219580553	1
CHG	none	400	mean	inside	0.0658401679307001	1
CHH	none	400	mean	inside	0.037092020421688	1
CG	none	425	mean	inside	0.51959494701424	1
CHG	none	425	mean	inside	0.0639837118669645	1
CHH	none	425	mean	inside	0.0357751115928141	1
CG	none	450	mean	inside	0.496041125200101	1
CHG	none	450	mean	inside	0.0644198662707768	1
CHH	none	450	mean	inside	0.0347946705572764	1
CG	none	475	mean	inside	0.427014402400352	1
CHG	none	475	mean	inside	0.0596190154255611	1
CHH	none	475	mean	inside	0.033109001738838	1
