context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.123904559313371	1
CHG	none	-100	mean	upstream	0.0687449353147009	1
CHH	none	-100	mean	upstream	0.0319506007941249	1
CG	none	-200	mean	upstream	0.136818491298851	1
CHG	none	-200	mean	upstream	0.0807772915312664	1
CHH	none	-200	mean	upstream	0.0386501800643129	1
CG	none	-300	mean	upstream	0.177051054218828	1
CHG	none	-300	mean	upstream	0.101533008056136	1
CHH	none	-300	mean	upstream	0.0492194495705656	1
CG	none	-400	mean	upstream	0.219946640914912	1
CHG	none	-400	mean	upstream	0.118916876116466	1
CHH	none	-400	mean	upstream	0.0605371260905747	1
CG	none	-500	mean	upstream	0.257680991082547	1
CHG	none	-500	mean	upstream	0.132029636207148	1
CHH	none	-500	mean	upstream	0.0687040740673568	1
CG	none	500	mean	downstream	0.223671481930149	1
CHG	none	500	mean	downstream	0.0688619689323702	1
CHH	none	500	mean	downstream	0.0318453134968982	1
CG	none	600	mean	downstream	0.214925919818551	1
CHG	none	600	mean	downstream	0.0775945722193148	1
CHH	none	600	mean	downstream	0.0383891433237082	1
CG	none	700	mean	downstream	0.24150792462387	1
CHG	none	700	mean	downstream	0.0858363086453257	1
CHH	none	700	mean	downstream	0.0454056337331654	1
CG	none	800	mean	downstream	0.268549281633466	1
CHG	none	800	mean	downstream	0.09218890432867	1
CHH	none	800	mean	downstream	0.0518504101191381	1
CG	none	900	mean	downstream	0.289014904332737	1
CHG	none	900	mean	downstream	0.0982956663653873	1
CHH	none	900	mean	downstream	0.0560069173287608	1
CG	none	0	mean	inside	0.103340762282741	1
CHG	none	0	mean	inside	0.0530428081428637	1
CHH	none	0	mean	inside	0.0302005358861253	1
CG	none	25	mean	inside	0.137074514481883	1
CHG	none	25	mean	inside	0.0548563006385569	1
CHH	none	25	mean	inside	0.0313585599901524	1
CG	none	50	mean	inside	0.184027080788506	1
CHG	none	50	mean	inside	0.0566406492879892	1
CHH	none	50	mean	inside	0.0322360381614639	1
CG	none	75	mean	inside	0.231914765060647	1
CHG	none	75	mean	inside	0.0577380869265091	1
CHH	none	75	mean	inside	0.0323648941837366	1
CG	none	100	mean	inside	0.273869555856184	1
CHG	none	100	mean	inside	0.0597788114779217	1
CHH	none	100	mean	inside	0.0329222508478651	1
CG	none	125	mean	inside	0.313805530537718	1
CHG	none	125	mean	inside	0.0591392499716895	1
CHH	none	125	mean	inside	0.0329553807520791	1
CG	none	150	mean	inside	0.339822072418396	1
CHG	none	150	mean	inside	0.058572815514457	1
CHH	none	150	mean	inside	0.0334083788563062	1
CG	none	175	mean	inside	0.362108453659866	1
CHG	none	175	mean	inside	0.0573810935848502	1
CHH	none	175	mean	inside	0.0333219301015782	1
CG	none	200	mean	inside	0.380259578824927	1
CHG	none	200	mean	inside	0.0590995827527992	1
CHH	none	200	mean	inside	0.03272819478589	1
CG	none	225	mean	inside	0.394076608490252	1
CHG	none	225	mean	inside	0.0582225573207191	1
CHH	none	225	mean	inside	0.0330808314544186	1
CG	none	250	mean	inside	0.404311755417208	1
CHG	none	250	mean	inside	0.0588394851506844	1
CHH	none	250	mean	inside	0.0334838557309459	1
CG	none	275	mean	inside	0.411616221707061	1
CHG	none	275	mean	inside	0.0585186579544504	1
CHH	none	275	mean	inside	0.0334382249580225	1
CG	none	300	mean	inside	0.418280492370448	1
CHG	none	300	mean	inside	0.0558803739816625	1
CHH	none	300	mean	inside	0.0329311966861313	1
CG	none	325	mean	inside	0.424704372063061	1
CHG	none	325	mean	inside	0.0568864756492957	1
CHH	none	325	mean	inside	0.0319697186208256	1
CG	none	350	mean	inside	0.430960465821593	1
CHG	none	350	mean	inside	0.0561184087814667	1
CHH	none	350	mean	inside	0.0317758198856496	1
CG	none	375	mean	inside	0.432652548562729	1
CHG	none	375	mean	inside	0.0555138446096776	1
CHH	none	375	mean	inside	0.0311361471991192	1
CG	none	400	mean	inside	0.434361614833111	1
CHG	none	400	mean	inside	0.0550731517959586	1
CHH	none	400	mean	inside	0.0310490079292723	1
CG	none	425	mean	inside	0.427430628666444	1
CHG	none	425	mean	inside	0.0545454607736477	1
CHH	none	425	mean	inside	0.0308571921338498	1
CG	none	450	mean	inside	0.405083789888454	1
CHG	none	450	mean	inside	0.0551433726215056	1
CHH	none	450	mean	inside	0.0300899254806991	1
CG	none	475	mean	inside	0.347648367677601	1
CHG	none	475	mean	inside	0.0515234716940289	1
CHH	none	475	mean	inside	0.0284222478064402	1
