context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.163345791830052	1
CHG	none	-100	mean	upstream	0.0938161191661343	1
CHH	none	-100	mean	upstream	0.0435257733344029	1
CG	none	-200	mean	upstream	0.174179436301553	1
CHG	none	-200	mean	upstream	0.107822919245723	1
CHH	none	-200	mean	upstream	0.0502028058015064	1
CG	none	-300	mean	upstream	0.217442335468702	1
CHG	none	-300	mean	upstream	0.128087153196219	1
CHH	none	-300	mean	upstream	0.0612765409669704	1
CG	none	-400	mean	upstream	0.264770125163161	1
CHG	none	-400	mean	upstream	0.151548997989563	1
CHH	none	-400	mean	upstream	0.0736665575238843	1
CG	none	-500	mean	upstream	0.304118215248283	1
CHG	none	-500	mean	upstream	0.163599988200488	1
CHH	none	-500	mean	upstream	0.0797525176305147	1
CG	none	500	mean	downstream	0.304773753546698	1
CHG	none	500	mean	downstream	0.094181112113017	1
CHH	none	500	mean	downstream	0.0426647610449115	1
CG	none	600	mean	downstream	0.289940664273728	1
CHG	none	600	mean	downstream	0.10478089597677	1
CHH	none	600	mean	downstream	0.0506730627527063	1
CG	none	700	mean	downstream	0.313419327332774	1
CHG	none	700	mean	downstream	0.116687060958512	1
CHH	none	700	mean	downstream	0.0582014302288259	1
CG	none	800	mean	downstream	0.341213459754171	1
CHG	none	800	mean	downstream	0.123258179886803	1
CHH	none	800	mean	downstream	0.0639740123569533	1
CG	none	900	mean	downstream	0.370901820989617	1
CHG	none	900	mean	downstream	0.130279796358217	1
CHH	none	900	mean	downstream	0.0685898029980159	1
CG	none	0	mean	inside	0.140720119180218	1
CHG	none	0	mean	inside	0.0705360113655061	1
CHH	none	0	mean	inside	0.0389939424969348	1
CG	none	25	mean	inside	0.185510570963171	1
CHG	none	25	mean	inside	0.0729426535150861	1
CHH	none	25	mean	inside	0.0402019341820488	1
CG	none	50	mean	inside	0.240984702655138	1
CHG	none	50	mean	inside	0.0765879679127216	1
CHH	none	50	mean	inside	0.0417605575603914	1
CG	none	75	mean	inside	0.301090071068669	1
CHG	none	75	mean	inside	0.0796852238994603	1
CHH	none	75	mean	inside	0.0430935681395366	1
CG	none	100	mean	inside	0.352198851595609	1
CHG	none	100	mean	inside	0.0803826569194235	1
CHH	none	100	mean	inside	0.0433103405056508	1
CG	none	125	mean	inside	0.392245479321289	1
CHG	none	125	mean	inside	0.0798352533275462	1
CHH	none	125	mean	inside	0.0433612220966259	1
CG	none	150	mean	inside	0.429298237723337	1
CHG	none	150	mean	inside	0.0801953851695749	1
CHH	none	150	mean	inside	0.0434919854196157	1
CG	none	175	mean	inside	0.454699806337108	1
CHG	none	175	mean	inside	0.0788611723051514	1
CHH	none	175	mean	inside	0.0434150952368523	1
CG	none	200	mean	inside	0.472985419975313	1
CHG	none	200	mean	inside	0.0799598010643696	1
CHH	none	200	mean	inside	0.0432279413552521	1
CG	none	225	mean	inside	0.491911044171846	1
CHG	none	225	mean	inside	0.0802295887893009	1
CHH	none	225	mean	inside	0.0436004527392534	1
CG	none	250	mean	inside	0.502920249244219	1
CHG	none	250	mean	inside	0.0812507614217375	1
CHH	none	250	mean	inside	0.0431484815571959	1
CG	none	275	mean	inside	0.513714368103319	1
CHG	none	275	mean	inside	0.0814739033438017	1
CHH	none	275	mean	inside	0.0436872249590299	1
CG	none	300	mean	inside	0.521536264681568	1
CHG	none	300	mean	inside	0.0805204734001105	1
CHH	none	300	mean	inside	0.0429582264800019	1
CG	none	325	mean	inside	0.526142417200584	1
CHG	none	325	mean	inside	0.0802065415846107	1
CHH	none	325	mean	inside	0.0426426900397225	1
CG	none	350	mean	inside	0.531483084604177	1
CHG	none	350	mean	inside	0.0787237288218462	1
CHH	none	350	mean	inside	0.0420312774123162	1
CG	none	375	mean	inside	0.53658144031474	1
CHG	none	375	mean	inside	0.0786584985736479	1
CHH	none	375	mean	inside	0.0418621645064755	1
CG	none	400	mean	inside	0.531497989475878	1
CHG	none	400	mean	inside	0.0766350975197291	1
CHH	none	400	mean	inside	0.0408143707025226	1
CG	none	425	mean	inside	0.521461253467106	1
CHG	none	425	mean	inside	0.0750304516416985	1
CHH	none	425	mean	inside	0.0399669353581041	1
CG	none	450	mean	inside	0.503087860850134	1
CHG	none	450	mean	inside	0.0736795656037382	1
CHH	none	450	mean	inside	0.0390533657519507	1
CG	none	475	mean	inside	0.448960823545845	1
CHG	none	475	mean	inside	0.0704060662776946	1
CHH	none	475	mean	inside	0.0376481165142617	1
