context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.16485853330731	1
CHG	none	-100	mean	upstream	0.0967901165762967	1
CHH	none	-100	mean	upstream	0.0503655104180782	1
CG	none	-200	mean	upstream	0.177687684706348	1
CHG	none	-200	mean	upstream	0.11258104269671	1
CHH	none	-200	mean	upstream	0.0619419662669779	1
CG	none	-300	mean	upstream	0.223014504626483	1
CHG	none	-300	mean	upstream	0.14126014815936	1
CHH	none	-300	mean	upstream	0.079822356411871	1
CG	none	-400	mean	upstream	0.274381423457921	1
CHG	none	-400	mean	upstream	0.167142749006904	1
CHH	none	-400	mean	upstream	0.0978513218622297	1
CG	none	-500	mean	upstream	0.318989786417508	1
CHG	none	-500	mean	upstream	0.18564537359019	1
CHH	none	-500	mean	upstream	0.10794030794217	1
CG	none	500	mean	downstream	0.286411910546987	1
CHG	none	500	mean	downstream	0.099550186980544	1
CHH	none	500	mean	downstream	0.0513383891895107	1
CG	none	600	mean	downstream	0.280807763442314	1
CHG	none	600	mean	downstream	0.112087256126193	1
CHH	none	600	mean	downstream	0.062750968941797	1
CG	none	700	mean	downstream	0.309502519485425	1
CHG	none	700	mean	downstream	0.124085511888625	1
CHH	none	700	mean	downstream	0.0737419504913953	1
CG	none	800	mean	downstream	0.341478196000817	1
CHG	none	800	mean	downstream	0.133770391060729	1
CHH	none	800	mean	downstream	0.0833223351978076	1
CG	none	900	mean	downstream	0.37152652524522	1
CHG	none	900	mean	downstream	0.142681164365563	1
CHH	none	900	mean	downstream	0.0900839457554214	1
CG	none	0	mean	inside	0.133588409650615	1
CHG	none	0	mean	inside	0.0682985856949656	1
CHH	none	0	mean	inside	0.0452124413558001	1
CG	none	25	mean	inside	0.177452404271914	1
CHG	none	25	mean	inside	0.0722687264315022	1
CHH	none	25	mean	inside	0.046867842996856	1
CG	none	50	mean	inside	0.23654945526745	1
CHG	none	50	mean	inside	0.0753784310904774	1
CHH	none	50	mean	inside	0.0493040909784033	1
CG	none	75	mean	inside	0.292395656659925	1
CHG	none	75	mean	inside	0.0795151209423638	1
CHH	none	75	mean	inside	0.051867338516232	1
CG	none	100	mean	inside	0.34360584985144	1
CHG	none	100	mean	inside	0.0802428323902068	1
CHH	none	100	mean	inside	0.0518208453504362	1
CG	none	125	mean	inside	0.386930199417144	1
CHG	none	125	mean	inside	0.081240429521299	1
CHH	none	125	mean	inside	0.0523580159531449	1
CG	none	150	mean	inside	0.424467689813948	1
CHG	none	150	mean	inside	0.0815440689848449	1
CHH	none	150	mean	inside	0.0525716879554144	1
CG	none	175	mean	inside	0.449394288225804	1
CHG	none	175	mean	inside	0.0798135145498091	1
CHH	none	175	mean	inside	0.0525450385597402	1
CG	none	200	mean	inside	0.471992515196948	1
CHG	none	200	mean	inside	0.0818730333317887	1
CHH	none	200	mean	inside	0.0530094794893629	1
CG	none	225	mean	inside	0.492331701910336	1
CHG	none	225	mean	inside	0.0808774365110462	1
CHH	none	225	mean	inside	0.0527006073848738	1
CG	none	250	mean	inside	0.501826496596685	1
CHG	none	250	mean	inside	0.0810279757339601	1
CHH	none	250	mean	inside	0.0523599983928546	1
CG	none	275	mean	inside	0.514241236057005	1
CHG	none	275	mean	inside	0.0810403030966984	1
CHH	none	275	mean	inside	0.0519472772625629	1
CG	none	300	mean	inside	0.52593302566455	1
CHG	none	300	mean	inside	0.0809017881751635	1
CHH	none	300	mean	inside	0.0510572421162496	1
CG	none	325	mean	inside	0.528503243508936	1
CHG	none	325	mean	inside	0.0805479244843394	1
CHH	none	325	mean	inside	0.0511625807400936	1
CG	none	350	mean	inside	0.535651747444094	1
CHG	none	350	mean	inside	0.0780477991417328	1
CHH	none	350	mean	inside	0.0505033993197155	1
CG	none	375	mean	inside	0.536488598992736	1
CHG	none	375	mean	inside	0.0777985427644957	1
CHH	none	375	mean	inside	0.0498513912529256	1
CG	none	400	mean	inside	0.533539346658411	1
CHG	none	400	mean	inside	0.0781437522395671	1
CHH	none	400	mean	inside	0.0485300308789856	1
CG	none	425	mean	inside	0.519372057401074	1
CHG	none	425	mean	inside	0.0753931066668842	1
CHH	none	425	mean	inside	0.0468279979049297	1
CG	none	450	mean	inside	0.495436388122267	1
CHG	none	450	mean	inside	0.0761443816847277	1
CHH	none	450	mean	inside	0.0463512374799184	1
CG	none	475	mean	inside	0.42745223349494	1
CHG	none	475	mean	inside	0.0709787985866626	1
CHH	none	475	mean	inside	0.0440694444056088	1
