context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.102623204461297	1
CHG	none	-100	mean	upstream	0.0552834677919108	1
CHH	none	-100	mean	upstream	0.0309862983534702	1
CG	none	-200	mean	upstream	0.117990176988021	1
CHG	none	-200	mean	upstream	0.0695950203892944	1
CHH	none	-200	mean	upstream	0.0389573927145735	1
CG	none	-300	mean	upstream	0.161180480438685	1
CHG	none	-300	mean	upstream	0.0913148888138181	1
CHH	none	-300	mean	upstream	0.0530004929939408	1
CG	none	-400	mean	upstream	0.207362371959743	1
CHG	none	-400	mean	upstream	0.111659319819958	1
CHH	none	-400	mean	upstream	0.0665635154989513	1
CG	none	-500	mean	upstream	0.245868116360663	1
CHG	none	-500	mean	upstream	0.125938953495858	1
CHH	none	-500	mean	upstream	0.0758608744349768	1
CG	none	500	mean	downstream	0.206674550310033	1
CHG	none	500	mean	downstream	0.0563025074437632	1
CHH	none	500	mean	downstream	0.0313162662944042	1
CG	none	600	mean	downstream	0.200345814508965	1
CHG	none	600	mean	downstream	0.0661553846201523	1
CHH	none	600	mean	downstream	0.0396850158465443	1
CG	none	700	mean	downstream	0.229478680298838	1
CHG	none	700	mean	downstream	0.0755923280412076	1
CHH	none	700	mean	downstream	0.047534896174181	1
CG	none	800	mean	downstream	0.25442705350319	1
CHG	none	800	mean	downstream	0.0836173756196133	1
CHH	none	800	mean	downstream	0.0551721154397781	1
CG	none	900	mean	downstream	0.278555411067976	1
CHG	none	900	mean	downstream	0.0896574034083246	1
CHH	none	900	mean	downstream	0.0603095973161019	1
CG	none	0	mean	inside	0.0822664888292955	1
CHG	none	0	mean	inside	0.0374791400075579	1
CHH	none	0	mean	inside	0.0275688383746387	1
CG	none	25	mean	inside	0.114426822974942	1
CHG	none	25	mean	inside	0.0393008917878906	1
CHH	none	25	mean	inside	0.0288371742300012	1
CG	none	50	mean	inside	0.160633175565158	1
CHG	none	50	mean	inside	0.0401163532203306	1
CHH	none	50	mean	inside	0.0291453736858861	1
CG	none	75	mean	inside	0.208971388502997	1
CHG	none	75	mean	inside	0.0414750283850504	1
CHH	none	75	mean	inside	0.0294433875462947	1
CG	none	100	mean	inside	0.25361188764237	1
CHG	none	100	mean	inside	0.0436867301035852	1
CHH	none	100	mean	inside	0.0304560249957363	1
CG	none	125	mean	inside	0.293710723565683	1
CHG	none	125	mean	inside	0.0440900029908775	1
CHH	none	125	mean	inside	0.03064478715342	1
CG	none	150	mean	inside	0.323478015532571	1
CHG	none	150	mean	inside	0.0443396928898979	1
CHH	none	150	mean	inside	0.0315214833325717	1
CG	none	175	mean	inside	0.34543820782663	1
CHG	none	175	mean	inside	0.0427665383885623	1
CHH	none	175	mean	inside	0.0312870583111088	1
CG	none	200	mean	inside	0.366003754614336	1
CHG	none	200	mean	inside	0.0440991370709051	1
CHH	none	200	mean	inside	0.0303207855848177	1
CG	none	225	mean	inside	0.380441055787929	1
CHG	none	225	mean	inside	0.042985086546032	1
CHH	none	225	mean	inside	0.0307021139048838	1
CG	none	250	mean	inside	0.392076533653127	1
CHG	none	250	mean	inside	0.0442219603966455	1
CHH	none	250	mean	inside	0.0314273107718635	1
CG	none	275	mean	inside	0.401838268522009	1
CHG	none	275	mean	inside	0.0444391300643753	1
CHH	none	275	mean	inside	0.0315103058740176	1
CG	none	300	mean	inside	0.409710308967537	1
CHG	none	300	mean	inside	0.0424440838391804	1
CHH	none	300	mean	inside	0.03067754031881	1
CG	none	325	mean	inside	0.415790346942316	1
CHG	none	325	mean	inside	0.0421809731490813	1
CHH	none	325	mean	inside	0.0291591408109559	1
CG	none	350	mean	inside	0.422624261688635	1
CHG	none	350	mean	inside	0.0410650440747289	1
CHH	none	350	mean	inside	0.0292185633555446	1
CG	none	375	mean	inside	0.423078125442583	1
CHG	none	375	mean	inside	0.0409349322942697	1
CHH	none	375	mean	inside	0.0283556715331708	1
CG	none	400	mean	inside	0.425427914170791	1
CHG	none	400	mean	inside	0.0402337800811214	1
CHH	none	400	mean	inside	0.0276911572990561	1
CG	none	425	mean	inside	0.418163734123974	1
CHG	none	425	mean	inside	0.0389368834758548	1
CHH	none	425	mean	inside	0.0271816044641723	1
CG	none	450	mean	inside	0.39750447244071	1
CHG	none	450	mean	inside	0.0395923993577952	1
CHH	none	450	mean	inside	0.0263637907671793	1
CG	none	475	mean	inside	0.338825207978434	1
CHG	none	475	mean	inside	0.0366277624801466	1
CHH	none	475	mean	inside	0.0255320154069907	1
