context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.190668546896586	1
CHG	none	-100	mean	upstream	0.126918307907982	1
CHH	none	-100	mean	upstream	0.0668753252115662	1
CG	none	-200	mean	upstream	0.239920711560267	1
CHG	none	-200	mean	upstream	0.157703347998681	1
CHH	none	-200	mean	upstream	0.0838439043019687	1
CG	none	-300	mean	upstream	0.285341781514128	1
CHG	none	-300	mean	upstream	0.18438227136019	1
CHH	none	-300	mean	upstream	0.100282607979077	1
CG	none	-400	mean	upstream	0.324341680746993	1
CHG	none	-400	mean	upstream	0.198438218666969	1
CHH	none	-400	mean	upstream	0.111878348076466	1
CG	none	-500	mean	upstream	0.352243983451979	1
CHG	none	-500	mean	upstream	0.204076476596211	1
CHH	none	-500	mean	upstream	0.116337764855107	1
CG	none	500	mean	downstream	0.284112141941704	1
CHG	none	500	mean	downstream	0.129362693786675	1
CHH	none	500	mean	downstream	0.0697821634064632	1
CG	none	600	mean	downstream	0.306174326545764	1
CHG	none	600	mean	downstream	0.141048099639015	1
CHH	none	600	mean	downstream	0.0805025645931896	1
CG	none	700	mean	downstream	0.338539209748759	1
CHG	none	700	mean	downstream	0.146972929311847	1
CHH	none	700	mean	downstream	0.0877584964882232	1
CG	none	800	mean	downstream	0.357498883534994	1
CHG	none	800	mean	downstream	0.153645575542759	1
CHH	none	800	mean	downstream	0.0922715138684696	1
CG	none	900	mean	downstream	0.372869607631439	1
CHG	none	900	mean	downstream	0.157635395144476	1
CHH	none	900	mean	downstream	0.0944247226271397	1
CG	none	0	mean	inside	0.127263895194778	1
CHG	none	0	mean	inside	0.0826309809883573	1
CHH	none	0	mean	inside	0.052579248979927	1
CG	none	25	mean	inside	0.145624687380613	1
CHG	none	25	mean	inside	0.0793105933499478	1
CHH	none	25	mean	inside	0.0533465268023002	1
CG	none	50	mean	inside	0.187709427837874	1
CHG	none	50	mean	inside	0.0831656392521156	1
CHH	none	50	mean	inside	0.0558986278301264	1
CG	none	75	mean	inside	0.240425895123308	1
CHG	none	75	mean	inside	0.0875889340223506	1
CHH	none	75	mean	inside	0.057930220164467	1
CG	none	100	mean	inside	0.298184304423743	1
CHG	none	100	mean	inside	0.0905241345812452	1
CHH	none	100	mean	inside	0.0587630050516853	1
CG	none	125	mean	inside	0.3428794849822	1
CHG	none	125	mean	inside	0.0907892896492047	1
CHH	none	125	mean	inside	0.0601750660976026	1
CG	none	150	mean	inside	0.386267481411771	1
CHG	none	150	mean	inside	0.0920923713077868	1
CHH	none	150	mean	inside	0.060272894564536	1
CG	none	175	mean	inside	0.418819780716919	1
CHG	none	175	mean	inside	0.0910052459020311	1
CHH	none	175	mean	inside	0.0605362594365711	1
CG	none	200	mean	inside	0.440136651987474	1
CHG	none	200	mean	inside	0.0923693091333219	1
CHH	none	200	mean	inside	0.0603162263300674	1
CG	none	225	mean	inside	0.460581040760984	1
CHG	none	225	mean	inside	0.0928586761027609	1
CHH	none	225	mean	inside	0.0601193939403879	1
CG	none	250	mean	inside	0.476514713473276	1
CHG	none	250	mean	inside	0.0932955768482952	1
CHH	none	250	mean	inside	0.0598056402978868	1
CG	none	275	mean	inside	0.485683999109892	1
CHG	none	275	mean	inside	0.0922375824666063	1
CHH	none	275	mean	inside	0.0588320332588928	1
CG	none	300	mean	inside	0.496092853860491	1
CHG	none	300	mean	inside	0.0905910407620451	1
CHH	none	300	mean	inside	0.0583743850089453	1
CG	none	325	mean	inside	0.497711834122874	1
CHG	none	325	mean	inside	0.0892803824423438	1
CHH	none	325	mean	inside	0.0579461170191876	1
CG	none	350	mean	inside	0.500747317187395	1
CHG	none	350	mean	inside	0.0885706182230178	1
CHH	none	350	mean	inside	0.0576386628963888	1
CG	none	375	mean	inside	0.494395842461661	1
CHG	none	375	mean	inside	0.0878850052423983	1
CHH	none	375	mean	inside	0.0572142743985152	1
CG	none	400	mean	inside	0.473041400459816	1
CHG	none	400	mean	inside	0.0870525538128055	1
CHH	none	400	mean	inside	0.056108034028305	1
CG	none	425	mean	inside	0.436630189929923	1
CHG	none	425	mean	inside	0.0842169705638946	1
CHH	none	425	mean	inside	0.0549928548727881	1
CG	none	450	mean	inside	0.38149395974637	1
CHG	none	450	mean	inside	0.0884872842480237	1
CHH	none	450	mean	inside	0.0545405346529301	1
CG	none	475	mean	inside	0.312373119275274	1
CHG	none	475	mean	inside	0.0933150371581488	1
CHH	none	475	mean	inside	0.0562828138222363	1
