context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.160358492463189	1
CHG	none	-100	mean	upstream	0.106191133723768	1
CHH	none	-100	mean	upstream	0.0550349856777108	1
CG	none	-200	mean	upstream	0.199455006750003	1
CHG	none	-200	mean	upstream	0.127428008635965	1
CHH	none	-200	mean	upstream	0.0667588341835891	1
CG	none	-300	mean	upstream	0.2420596027282	1
CHG	none	-300	mean	upstream	0.151665397341502	1
CHH	none	-300	mean	upstream	0.0776595629375934	1
CG	none	-400	mean	upstream	0.276969768511812	1
CHG	none	-400	mean	upstream	0.163043179428744	1
CHH	none	-400	mean	upstream	0.0875256841520316	1
CG	none	-500	mean	upstream	0.306402801258634	1
CHG	none	-500	mean	upstream	0.16689972290675	1
CHH	none	-500	mean	upstream	0.0927153135055234	1
CG	none	500	mean	downstream	0.242030738909631	1
CHG	none	500	mean	downstream	0.102465623089522	1
CHH	none	500	mean	downstream	0.0569694788480227	1
CG	none	600	mean	downstream	0.265254375583323	1
CHG	none	600	mean	downstream	0.114474550653188	1
CHH	none	600	mean	downstream	0.0654703801182798	1
CG	none	700	mean	downstream	0.29072525523496	1
CHG	none	700	mean	downstream	0.120055502250831	1
CHH	none	700	mean	downstream	0.0710473587197814	1
CG	none	800	mean	downstream	0.3110985928765	1
CHG	none	800	mean	downstream	0.124790069107645	1
CHH	none	800	mean	downstream	0.0743264487489782	1
CG	none	900	mean	downstream	0.326404736620678	1
CHG	none	900	mean	downstream	0.125937184304139	1
CHH	none	900	mean	downstream	0.0765128333660664	1
CG	none	0	mean	inside	0.114279802531927	1
CHG	none	0	mean	inside	0.0715637175782688	1
CHH	none	0	mean	inside	0.0456522739778461	1
CG	none	25	mean	inside	0.12672617064148	1
CHG	none	25	mean	inside	0.0664477698536428	1
CHH	none	25	mean	inside	0.0448376718063664	1
CG	none	50	mean	inside	0.166409966677779	1
CHG	none	50	mean	inside	0.0671769912524916	1
CHH	none	50	mean	inside	0.0453477078547138	1
CG	none	75	mean	inside	0.215685471876583	1
CHG	none	75	mean	inside	0.0684797991451164	1
CHH	none	75	mean	inside	0.0462602106347166	1
CG	none	100	mean	inside	0.271542725897085	1
CHG	none	100	mean	inside	0.0712105697283824	1
CHH	none	100	mean	inside	0.047159706991594	1
CG	none	125	mean	inside	0.320333787817566	1
CHG	none	125	mean	inside	0.0719419302353756	1
CHH	none	125	mean	inside	0.048066668020558	1
CG	none	150	mean	inside	0.362847383363434	1
CHG	none	150	mean	inside	0.0726615360043503	1
CHH	none	150	mean	inside	0.0485313218848562	1
CG	none	175	mean	inside	0.392559613304487	1
CHG	none	175	mean	inside	0.0716433290284444	1
CHH	none	175	mean	inside	0.0484908980310444	1
CG	none	200	mean	inside	0.4155634564775	1
CHG	none	200	mean	inside	0.0727783588458889	1
CHH	none	200	mean	inside	0.0483612703684711	1
CG	none	225	mean	inside	0.439039639901603	1
CHG	none	225	mean	inside	0.0744906944146616	1
CHH	none	225	mean	inside	0.0490051337552158	1
CG	none	250	mean	inside	0.455376305893198	1
CHG	none	250	mean	inside	0.0747682093395187	1
CHH	none	250	mean	inside	0.0496483498181716	1
CG	none	275	mean	inside	0.464878734177936	1
CHG	none	275	mean	inside	0.0725888233712193	1
CHH	none	275	mean	inside	0.0487634653937338	1
CG	none	300	mean	inside	0.473212370389664	1
CHG	none	300	mean	inside	0.0712867850536875	1
CHH	none	300	mean	inside	0.0480463411653867	1
CG	none	325	mean	inside	0.471873905487318	1
CHG	none	325	mean	inside	0.069594222711034	1
CHH	none	325	mean	inside	0.0471085978922274	1
CG	none	350	mean	inside	0.472149615835204	1
CHG	none	350	mean	inside	0.0674243058873362	1
CHH	none	350	mean	inside	0.0464019241823829	1
CG	none	375	mean	inside	0.468164802879089	1
CHG	none	375	mean	inside	0.0660479119406409	1
CHH	none	375	mean	inside	0.0447782404955015	1
CG	none	400	mean	inside	0.452545625374442	1
CHG	none	400	mean	inside	0.0651119699150124	1
CHH	none	400	mean	inside	0.0440519982647984	1
CG	none	425	mean	inside	0.416548382973668	1
CHG	none	425	mean	inside	0.0656214099514531	1
CHH	none	425	mean	inside	0.0445472517277412	1
CG	none	450	mean	inside	0.356490458041556	1
CHG	none	450	mean	inside	0.0694040837452815	1
CHH	none	450	mean	inside	0.0447581725032734	1
CG	none	475	mean	inside	0.281141507204467	1
CHG	none	475	mean	inside	0.0768542849716012	1
CHH	none	475	mean	inside	0.0462932814956321	1
