context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.197168764425528	1
CHG	none	-100	mean	upstream	0.119836637227699	1
CHH	none	-100	mean	upstream	0.0538965075041418	1
CG	none	-200	mean	upstream	0.25303400867938	1
CHG	none	-200	mean	upstream	0.152374741241343	1
CHH	none	-200	mean	upstream	0.0749223942514066	1
CG	none	-300	mean	upstream	0.306296777377684	1
CHG	none	-300	mean	upstream	0.182390682480221	1
CHH	none	-300	mean	upstream	0.0931318659887342	1
CG	none	-400	mean	upstream	0.352886637143415	1
CHG	none	-400	mean	upstream	0.198593782712164	1
CHH	none	-400	mean	upstream	0.105445608856659	1
CG	none	-500	mean	upstream	0.385145507265289	1
CHG	none	-500	mean	upstream	0.208238183878702	1
CHH	none	-500	mean	upstream	0.109606905670666	1
CG	none	500	mean	downstream	0.303285821857155	1
CHG	none	500	mean	downstream	0.122287721965754	1
CHH	none	500	mean	downstream	0.0583110897028325	1
CG	none	600	mean	downstream	0.331545973145856	1
CHG	none	600	mean	downstream	0.135634008471191	1
CHH	none	600	mean	downstream	0.0704443850803475	1
CG	none	700	mean	downstream	0.364395105735394	1
CHG	none	700	mean	downstream	0.141667362024552	1
CHH	none	700	mean	downstream	0.0784071119947569	1
CG	none	800	mean	downstream	0.384144792943631	1
CHG	none	800	mean	downstream	0.147227267430416	1
CHH	none	800	mean	downstream	0.0830608521686612	1
CG	none	900	mean	downstream	0.403411344519975	1
CHG	none	900	mean	downstream	0.153264011394277	1
CHH	none	900	mean	downstream	0.085020407992939	1
CG	none	0	mean	inside	0.127142668224985	1
CHG	none	0	mean	inside	0.0702714570524874	1
CHH	none	0	mean	inside	0.038040816267112	1
CG	none	25	mean	inside	0.154318688992995	1
CHG	none	25	mean	inside	0.0703067105452681	1
CHH	none	25	mean	inside	0.039759111834416	1
CG	none	50	mean	inside	0.207068648723792	1
CHG	none	50	mean	inside	0.0744028717302991	1
CHH	none	50	mean	inside	0.0431417161042476	1
CG	none	75	mean	inside	0.265828281224931	1
CHG	none	75	mean	inside	0.0806309463388756	1
CHH	none	75	mean	inside	0.0458522959747066	1
CG	none	100	mean	inside	0.328253208500834	1
CHG	none	100	mean	inside	0.0838110641542708	1
CHH	none	100	mean	inside	0.0464757589579996	1
CG	none	125	mean	inside	0.379512937154131	1
CHG	none	125	mean	inside	0.0848060231807523	1
CHH	none	125	mean	inside	0.0486524943692474	1
CG	none	150	mean	inside	0.423002201986268	1
CHG	none	150	mean	inside	0.086665525478259	1
CHH	none	150	mean	inside	0.0491508649941185	1
CG	none	175	mean	inside	0.456969700618306	1
CHG	none	175	mean	inside	0.0850157585239724	1
CHH	none	175	mean	inside	0.0490954647873806	1
CG	none	200	mean	inside	0.479192781581896	1
CHG	none	200	mean	inside	0.0854536714797262	1
CHH	none	200	mean	inside	0.048996696557516	1
CG	none	225	mean	inside	0.498740447118525	1
CHG	none	225	mean	inside	0.0857665109910805	1
CHH	none	225	mean	inside	0.0488317114254721	1
CG	none	250	mean	inside	0.513383124541856	1
CHG	none	250	mean	inside	0.0857118236111231	1
CHH	none	250	mean	inside	0.0476979870702741	1
CG	none	275	mean	inside	0.524479537994825	1
CHG	none	275	mean	inside	0.0850772955051548	1
CHH	none	275	mean	inside	0.047222173318087	1
CG	none	300	mean	inside	0.531881973687883	1
CHG	none	300	mean	inside	0.0838167495892909	1
CHH	none	300	mean	inside	0.0465122406653452	1
CG	none	325	mean	inside	0.535737167916579	1
CHG	none	325	mean	inside	0.0804814074733005	1
CHH	none	325	mean	inside	0.0458683510569212	1
CG	none	350	mean	inside	0.535846136137889	1
CHG	none	350	mean	inside	0.0803938601988281	1
CHH	none	350	mean	inside	0.0455936637436046	1
CG	none	375	mean	inside	0.526972344121426	1
CHG	none	375	mean	inside	0.0788028970490062	1
CHH	none	375	mean	inside	0.0445583610984901	1
CG	none	400	mean	inside	0.505073681420166	1
CHG	none	400	mean	inside	0.077938214584689	1
CHH	none	400	mean	inside	0.0432889281036173	1
CG	none	425	mean	inside	0.467064720815692	1
CHG	none	425	mean	inside	0.0758171847386533	1
CHH	none	425	mean	inside	0.0422148687266288	1
CG	none	450	mean	inside	0.404236047033886	1
CHG	none	450	mean	inside	0.0801948419570731	1
CHH	none	450	mean	inside	0.0421962009870493	1
CG	none	475	mean	inside	0.329303396279751	1
CHG	none	475	mean	inside	0.0845319948577786	1
CHH	none	475	mean	inside	0.0435918065961232	1
