context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.138011604483012	1
CHG	none	-100	mean	upstream	0.0852370635109137	1
CHH	none	-100	mean	upstream	0.0408693231754587	1
CG	none	-200	mean	upstream	0.186810665595106	1
CHG	none	-200	mean	upstream	0.111440209072082	1
CHH	none	-200	mean	upstream	0.0575359404928936	1
CG	none	-300	mean	upstream	0.238935761359888	1
CHG	none	-300	mean	upstream	0.13845211914635	1
CHH	none	-300	mean	upstream	0.0721522401021847	1
CG	none	-400	mean	upstream	0.280479544163378	1
CHG	none	-400	mean	upstream	0.153386767633841	1
CHH	none	-400	mean	upstream	0.0816545723802751	1
CG	none	-500	mean	upstream	0.309361670146711	1
CHG	none	-500	mean	upstream	0.1590408187082	1
CHH	none	-500	mean	upstream	0.0864357578223401	1
CG	none	500	mean	downstream	0.227027467818642	1
CHG	none	500	mean	downstream	0.0853063143856947	1
CHH	none	500	mean	downstream	0.0449409128539654	1
CG	none	600	mean	downstream	0.249792599647602	1
CHG	none	600	mean	downstream	0.0966071034641381	1
CHH	none	600	mean	downstream	0.0559306871389474	1
CG	none	700	mean	downstream	0.28015278699758	1
CHG	none	700	mean	downstream	0.104120594859618	1
CHH	none	700	mean	downstream	0.0612584109144221	1
CG	none	800	mean	downstream	0.299041898772122	1
CHG	none	800	mean	downstream	0.109832305858068	1
CHH	none	800	mean	downstream	0.0644714154185832	1
CG	none	900	mean	downstream	0.316409266862363	1
CHG	none	900	mean	downstream	0.1126028288845	1
CHH	none	900	mean	downstream	0.0668079826995217	1
CG	none	0	mean	inside	0.0852636420115796	1
CHG	none	0	mean	inside	0.0498802195525192	1
CHH	none	0	mean	inside	0.0314627556396616	1
CG	none	25	mean	inside	0.104100726681685	1
CHG	none	25	mean	inside	0.0493398906246528	1
CHH	none	25	mean	inside	0.0327784094686714	1
CG	none	50	mean	inside	0.142112190067959	1
CHG	none	50	mean	inside	0.0515882440692135	1
CHH	none	50	mean	inside	0.034175943992871	1
CG	none	75	mean	inside	0.190890707449532	1
CHG	none	75	mean	inside	0.0533620824870596	1
CHH	none	75	mean	inside	0.0348728234933678	1
CG	none	100	mean	inside	0.241410872376909	1
CHG	none	100	mean	inside	0.0561064499546235	1
CHH	none	100	mean	inside	0.0357403073593848	1
CG	none	125	mean	inside	0.291879535178658	1
CHG	none	125	mean	inside	0.0561908843796925	1
CHH	none	125	mean	inside	0.036582361070812	1
CG	none	150	mean	inside	0.332164469526833	1
CHG	none	150	mean	inside	0.0582429968059704	1
CHH	none	150	mean	inside	0.0371280926730788	1
CG	none	175	mean	inside	0.36445390079009	1
CHG	none	175	mean	inside	0.0581980792317441	1
CHH	none	175	mean	inside	0.0374474945356248	1
CG	none	200	mean	inside	0.385571204369848	1
CHG	none	200	mean	inside	0.0597819665060481	1
CHH	none	200	mean	inside	0.03705456180245	1
CG	none	225	mean	inside	0.407146665843575	1
CHG	none	225	mean	inside	0.0604333838000641	1
CHH	none	225	mean	inside	0.0381612917592913	1
CG	none	250	mean	inside	0.419901139028757	1
CHG	none	250	mean	inside	0.0604488159134269	1
CHH	none	250	mean	inside	0.0380115016393658	1
CG	none	275	mean	inside	0.43355858236964	1
CHG	none	275	mean	inside	0.0595811675084725	1
CHH	none	275	mean	inside	0.0376245612668702	1
CG	none	300	mean	inside	0.435484850508201	1
CHG	none	300	mean	inside	0.0580217637464613	1
CHH	none	300	mean	inside	0.0370657135904102	1
CG	none	325	mean	inside	0.435561042656382	1
CHG	none	325	mean	inside	0.0552583941781871	1
CHH	none	325	mean	inside	0.0354995138551967	1
CG	none	350	mean	inside	0.432877115823658	1
CHG	none	350	mean	inside	0.053875304247833	1
CHH	none	350	mean	inside	0.0346383421330074	1
CG	none	375	mean	inside	0.428877809101467	1
CHG	none	375	mean	inside	0.0516177358656236	1
CHH	none	375	mean	inside	0.0327539671429722	1
CG	none	400	mean	inside	0.413935541559075	1
CHG	none	400	mean	inside	0.0506906601112461	1
CHH	none	400	mean	inside	0.0324354680829809	1
CG	none	425	mean	inside	0.377388657065913	1
CHG	none	425	mean	inside	0.051026958066344	1
CHH	none	425	mean	inside	0.0324112674838236	1
CG	none	450	mean	inside	0.322442013538545	1
CHG	none	450	mean	inside	0.0539848377238445	1
CHH	none	450	mean	inside	0.0323707442364764	1
CG	none	475	mean	inside	0.251914521048401	1
CHG	none	475	mean	inside	0.0596598725127419	1
CHH	none	475	mean	inside	0.0338719086634316	1
