context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.230015885164866	1
CHG	none	-100	mean	upstream	0.140183527794586	1
CHH	none	-100	mean	upstream	0.0480097965278993	1
CG	none	-200	mean	upstream	0.280486135804509	1
CHG	none	-200	mean	upstream	0.167922580645894	1
CHH	none	-200	mean	upstream	0.0626342600327653	1
CG	none	-300	mean	upstream	0.32834792254498	1
CHG	none	-300	mean	upstream	0.193628554576186	1
CHH	none	-300	mean	upstream	0.0756295477647974	1
CG	none	-400	mean	upstream	0.373204567413401	1
CHG	none	-400	mean	upstream	0.208447608552714	1
CHH	none	-400	mean	upstream	0.0836282442823219	1
CG	none	-500	mean	upstream	0.402992468266241	1
CHG	none	-500	mean	upstream	0.218297025089101	1
CHH	none	-500	mean	upstream	0.086053019380425	1
CG	none	500	mean	downstream	0.325679417244419	1
CHG	none	500	mean	downstream	0.141185909939086	1
CHH	none	500	mean	downstream	0.050692270098883	1
CG	none	600	mean	downstream	0.353785007178701	1
CHG	none	600	mean	downstream	0.154684871402021	1
CHH	none	600	mean	downstream	0.0591033479780993	1
CG	none	700	mean	downstream	0.383415549038817	1
CHG	none	700	mean	downstream	0.158432340949131	1
CHH	none	700	mean	downstream	0.064405232106631	1
CG	none	800	mean	downstream	0.400969889764313	1
CHG	none	800	mean	downstream	0.163261340619714	1
CHH	none	800	mean	downstream	0.0672994773909393	1
CG	none	900	mean	downstream	0.419129304598463	1
CHG	none	900	mean	downstream	0.168694285297556	1
CHH	none	900	mean	downstream	0.0686327653711408	1
CG	none	0	mean	inside	0.163963228219151	1
CHG	none	0	mean	inside	0.095734066353911	1
CHH	none	0	mean	inside	0.0371512363987649	1
CG	none	25	mean	inside	0.18984909337803	1
CHG	none	25	mean	inside	0.096322491235138	1
CHH	none	25	mean	inside	0.0382563263877675	1
CG	none	50	mean	inside	0.237220978351623	1
CHG	none	50	mean	inside	0.100493056401525	1
CHH	none	50	mean	inside	0.0406462064204198	1
CG	none	75	mean	inside	0.291255270653797	1
CHG	none	75	mean	inside	0.10506566345716	1
CHH	none	75	mean	inside	0.0425764957064055	1
CG	none	100	mean	inside	0.348784332062618	1
CHG	none	100	mean	inside	0.108165210338884	1
CHH	none	100	mean	inside	0.0431952297306031	1
CG	none	125	mean	inside	0.396199758062656	1
CHG	none	125	mean	inside	0.109254181862431	1
CHH	none	125	mean	inside	0.0444803992015944	1
CG	none	150	mean	inside	0.437679949894667	1
CHG	none	150	mean	inside	0.111159802021715	1
CHH	none	150	mean	inside	0.0448125048204113	1
CG	none	175	mean	inside	0.467799145406033	1
CHG	none	175	mean	inside	0.109571738099109	1
CHH	none	175	mean	inside	0.0450530172132219	1
CG	none	200	mean	inside	0.487363816156205	1
CHG	none	200	mean	inside	0.109948514789926	1
CHH	none	200	mean	inside	0.0448654883447571	1
CG	none	225	mean	inside	0.506575616182684	1
CHG	none	225	mean	inside	0.110601011168731	1
CHH	none	225	mean	inside	0.0446101582916475	1
CG	none	250	mean	inside	0.519348848296256	1
CHG	none	250	mean	inside	0.110455072141147	1
CHH	none	250	mean	inside	0.0435577172463406	1
CG	none	275	mean	inside	0.527901938862964	1
CHG	none	275	mean	inside	0.10922708070396	1
CHH	none	275	mean	inside	0.0437216446922203	1
CG	none	300	mean	inside	0.534584544320017	1
CHG	none	300	mean	inside	0.108566629257564	1
CHH	none	300	mean	inside	0.0428812862534354	1
CG	none	325	mean	inside	0.537738980242782	1
CHG	none	325	mean	inside	0.105292589428856	1
CHH	none	325	mean	inside	0.0428335236638025	1
CG	none	350	mean	inside	0.537913231060919	1
CHG	none	350	mean	inside	0.105028605730179	1
CHH	none	350	mean	inside	0.0425270459620731	1
CG	none	375	mean	inside	0.529575175048588	1
CHG	none	375	mean	inside	0.103300609315749	1
CHH	none	375	mean	inside	0.0416691165261855	1
CG	none	400	mean	inside	0.508896288174664	1
CHG	none	400	mean	inside	0.102794834101383	1
CHH	none	400	mean	inside	0.0410046668310011	1
CG	none	425	mean	inside	0.47682729239568	1
CHG	none	425	mean	inside	0.100615434947347	1
CHH	none	425	mean	inside	0.040250814660826	1
CG	none	450	mean	inside	0.418875838351957	1
CHG	none	450	mean	inside	0.104581969957369	1
CHH	none	450	mean	inside	0.0400608757173714	1
CG	none	475	mean	inside	0.350009115140512	1
CHG	none	475	mean	inside	0.107674869281996	1
CHH	none	475	mean	inside	0.0407980593601792	1
