context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.195726912537548	1
CHG	none	-100	mean	upstream	0.120987899869932	1
CHH	none	-100	mean	upstream	0.0530862373478994	1
CG	none	-200	mean	upstream	0.245903991582361	1
CHG	none	-200	mean	upstream	0.1489234175806	1
CHH	none	-200	mean	upstream	0.0673992486611273	1
CG	none	-300	mean	upstream	0.294794984981247	1
CHG	none	-300	mean	upstream	0.171847854392939	1
CHH	none	-300	mean	upstream	0.0804056847564324	1
CG	none	-400	mean	upstream	0.337730433468768	1
CHG	none	-400	mean	upstream	0.186055414743285	1
CHH	none	-400	mean	upstream	0.089526182735066	1
CG	none	-500	mean	upstream	0.365346962301843	1
CHG	none	-500	mean	upstream	0.192487403173061	1
CHH	none	-500	mean	upstream	0.0933702763025638	1
CG	none	500	mean	downstream	0.30658407729219	1
CHG	none	500	mean	downstream	0.123067977431511	1
CHH	none	500	mean	downstream	0.056162026554961	1
CG	none	600	mean	downstream	0.333576223292712	1
CHG	none	600	mean	downstream	0.134614204574805	1
CHH	none	600	mean	downstream	0.0649828660162833	1
CG	none	700	mean	downstream	0.361560743554684	1
CHG	none	700	mean	downstream	0.139668669580214	1
CHH	none	700	mean	downstream	0.0704426877463379	1
CG	none	800	mean	downstream	0.379881572824261	1
CHG	none	800	mean	downstream	0.144474218207386	1
CHH	none	800	mean	downstream	0.074203651990438	1
CG	none	900	mean	downstream	0.397049056481532	1
CHG	none	900	mean	downstream	0.149319909659169	1
CHH	none	900	mean	downstream	0.0754716098126626	1
CG	none	0	mean	inside	0.134803255700557	1
CHG	none	0	mean	inside	0.0801969968174191	1
CHH	none	0	mean	inside	0.0413790037641575	1
CG	none	25	mean	inside	0.159926144203288	1
CHG	none	25	mean	inside	0.0777799661294619	1
CHH	none	25	mean	inside	0.0420591247177294	1
CG	none	50	mean	inside	0.209377045672712	1
CHG	none	50	mean	inside	0.0826394162846562	1
CHH	none	50	mean	inside	0.0445564061271665	1
CG	none	75	mean	inside	0.268588903445504	1
CHG	none	75	mean	inside	0.0869545896199707	1
CHH	none	75	mean	inside	0.0463761485777116	1
CG	none	100	mean	inside	0.330175038704716	1
CHG	none	100	mean	inside	0.0886733060405348	1
CHH	none	100	mean	inside	0.0467631199071301	1
CG	none	125	mean	inside	0.380538355725234	1
CHG	none	125	mean	inside	0.0877959437721083	1
CHH	none	125	mean	inside	0.0473894494791447	1
CG	none	150	mean	inside	0.424008057091931	1
CHG	none	150	mean	inside	0.0891029664880469	1
CHH	none	150	mean	inside	0.0477560544900209	1
CG	none	175	mean	inside	0.455226239574873	1
CHG	none	175	mean	inside	0.0873905923145001	1
CHH	none	175	mean	inside	0.0478694561862638	1
CG	none	200	mean	inside	0.477550030444547	1
CHG	none	200	mean	inside	0.0885567217093859	1
CHH	none	200	mean	inside	0.0479183408706306	1
CG	none	225	mean	inside	0.49693195342023	1
CHG	none	225	mean	inside	0.0892609979467562	1
CHH	none	225	mean	inside	0.0480573818194155	1
CG	none	250	mean	inside	0.511463255658221	1
CHG	none	250	mean	inside	0.0891855048077346	1
CHH	none	250	mean	inside	0.0471743075585153	1
CG	none	275	mean	inside	0.521305382094683	1
CHG	none	275	mean	inside	0.0890742639906767	1
CHH	none	275	mean	inside	0.0468732046541717	1
CG	none	300	mean	inside	0.526853983123633	1
CHG	none	300	mean	inside	0.0878667038766366	1
CHH	none	300	mean	inside	0.0461555712085166	1
CG	none	325	mean	inside	0.529194942237555	1
CHG	none	325	mean	inside	0.0849902417376834	1
CHH	none	325	mean	inside	0.0457130133638447	1
CG	none	350	mean	inside	0.535483688772661	1
CHG	none	350	mean	inside	0.0842637555107072	1
CHH	none	350	mean	inside	0.045475305041382	1
CG	none	375	mean	inside	0.527488980371778	1
CHG	none	375	mean	inside	0.0835839814438598	1
CHH	none	375	mean	inside	0.04466629132753	1
CG	none	400	mean	inside	0.510728444556837	1
CHG	none	400	mean	inside	0.0823984635118578	1
CHH	none	400	mean	inside	0.043875205335074	1
CG	none	425	mean	inside	0.473806049654623	1
CHG	none	425	mean	inside	0.0809459995030377	1
CHH	none	425	mean	inside	0.0432827731205163	1
CG	none	450	mean	inside	0.41722792477705	1
CHG	none	450	mean	inside	0.0844020975337238	1
CHH	none	450	mean	inside	0.0434923619800795	1
CG	none	475	mean	inside	0.344803526135064	1
CHG	none	475	mean	inside	0.0895809999245889	1
CHH	none	475	mean	inside	0.0448133807474433	1
