context	category	distance	what	where	mean	weight
CG	none	-100	mean	upstream	0.133066593234926	1
CHG	none	-100	mean	upstream	0.082983157164126	1
CHH	none	-100	mean	upstream	0.0503615534190514	1
CG	none	-200	mean	upstream	0.18230572934157	1
CHG	none	-200	mean	upstream	0.108935939083119	1
CHH	none	-200	mean	upstream	0.0687141351993494	1
CG	none	-300	mean	upstream	0.235729091626745	1
CHG	none	-300	mean	upstream	0.136954797959898	1
CHH	none	-300	mean	upstream	0.0858158557094854	1
CG	none	-400	mean	upstream	0.276417440761737	1
CHG	none	-400	mean	upstream	0.151605500997675	1
CHH	none	-400	mean	upstream	0.0969221628519878	1
CG	none	-500	mean	upstream	0.305584953261576	1
CHG	none	-500	mean	upstream	0.158044697432307	1
CHH	none	-500	mean	upstream	0.10249502224962	1
CG	none	500	mean	downstream	0.221322429901976	1
CHG	none	500	mean	downstream	0.082354927339124	1
CHH	none	500	mean	downstream	0.0550923322753115	1
CG	none	600	mean	downstream	0.243990976040626	1
CHG	none	600	mean	downstream	0.0926434960127762	1
CHH	none	600	mean	downstream	0.0670007935078885	1
CG	none	700	mean	downstream	0.274455836380925	1
CHG	none	700	mean	downstream	0.101544337826727	1
CHH	none	700	mean	downstream	0.0736262878508186	1
CG	none	800	mean	downstream	0.293472498670914	1
CHG	none	800	mean	downstream	0.107521090999046	1
CHH	none	800	mean	downstream	0.0775729014426208	1
CG	none	900	mean	downstream	0.312381073048139	1
CHG	none	900	mean	downstream	0.110181507567332	1
CHH	none	900	mean	downstream	0.080339195559146	1
CG	none	0	mean	inside	0.0813763963705499	1
CHG	none	0	mean	inside	0.0473821349542076	1
CHH	none	0	mean	inside	0.0392140119599314	1
CG	none	25	mean	inside	0.0980505934451112	1
CHG	none	25	mean	inside	0.0458590611748611	1
CHH	none	25	mean	inside	0.0404881977306219	1
CG	none	50	mean	inside	0.135370058357987	1
CHG	none	50	mean	inside	0.0480952979594606	1
CHH	none	50	mean	inside	0.0423363738374899	1
CG	none	75	mean	inside	0.18312525787631	1
CHG	none	75	mean	inside	0.0495716966506451	1
CHH	none	75	mean	inside	0.0427564005122992	1
CG	none	100	mean	inside	0.233063037639383	1
CHG	none	100	mean	inside	0.0522388131290376	1
CHH	none	100	mean	inside	0.0436495866469613	1
CG	none	125	mean	inside	0.28318893372854	1
CHG	none	125	mean	inside	0.0518638407859	1
CHH	none	125	mean	inside	0.0445208056960498	1
CG	none	150	mean	inside	0.32374638516413	1
CHG	none	150	mean	inside	0.0541943736956466	1
CHH	none	150	mean	inside	0.0452673866618516	1
CG	none	175	mean	inside	0.356321424990339	1
CHG	none	175	mean	inside	0.0537898587222232	1
CHH	none	175	mean	inside	0.0457744312886949	1
CG	none	200	mean	inside	0.377874264433599	1
CHG	none	200	mean	inside	0.0549398149695414	1
CHH	none	200	mean	inside	0.0451342975775528	1
CG	none	225	mean	inside	0.401160564822163	1
CHG	none	225	mean	inside	0.0556440800759501	1
CHH	none	225	mean	inside	0.0462171870064447	1
CG	none	250	mean	inside	0.413994329527811	1
CHG	none	250	mean	inside	0.0556602072910298	1
CHH	none	250	mean	inside	0.0459048733311112	1
CG	none	275	mean	inside	0.427539375693073	1
CHG	none	275	mean	inside	0.0552797995215422	1
CHH	none	275	mean	inside	0.0455186170770742	1
CG	none	300	mean	inside	0.429881032970738	1
CHG	none	300	mean	inside	0.0534554472057445	1
CHH	none	300	mean	inside	0.0450082920190158	1
CG	none	325	mean	inside	0.430124763119151	1
CHG	none	325	mean	inside	0.0509957046635486	1
CHH	none	325	mean	inside	0.0432826385763743	1
CG	none	350	mean	inside	0.427542838815839	1
CHG	none	350	mean	inside	0.0497211876319861	1
CHH	none	350	mean	inside	0.0420682280047516	1
CG	none	375	mean	inside	0.423361544161323	1
CHG	none	375	mean	inside	0.0477377831379055	1
CHH	none	375	mean	inside	0.0404693220765112	1
CG	none	400	mean	inside	0.407443272391489	1
CHG	none	400	mean	inside	0.0465035762503583	1
CHH	none	400	mean	inside	0.040053778836341	1
CG	none	425	mean	inside	0.370842687563764	1
CHG	none	425	mean	inside	0.0468306636478868	1
CHH	none	425	mean	inside	0.0398724776363217	1
CG	none	450	mean	inside	0.315573831615855	1
CHG	none	450	mean	inside	0.0500928292333856	1
CHH	none	450	mean	inside	0.0399967390830194	1
CG	none	475	mean	inside	0.245437894661817	1
CHG	none	475	mean	inside	0.0560287141179138	1
CHH	none	475	mean	inside	0.0418675650374202	1
