geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G022440	chr16	657941	660674	659334	659917	583	decrease
AlMed_G023166	chr16	10134138	10134499	10133956	10134417	280	increase
AlMed_G022336	chr16	97540	103822	99029	100105	1076	decrease
AlMed_G023152	chr16	9993842	9995186	9994661	9995488	525	increase
AlMed_G023483_AlMed_G023484	chr16	12277818	12280877	12280138	12280596	458	decrease
AlMed_G022502	chr16	1109946	1112132	1109720	1110160	215	increase
AlMed_G025091	chr16	20369212	20370400	20369627	20370053	426	decrease
AlMed_G024859	chr16	19305519	19308934	19308047	19308544	497	increase
AlMed_G022996	chr16	8695231	8695422	8694776	8695398	168	increase
AlMed_G022633	chr16	2014101	2016268	2015516	2015994	478	increase
AlMed_G022469	chr16	830516	834407	833913	835797	494	increase
AlMed_G024266	chr16	16421737	16428806	16422325	16422766	441	decrease
AlMed_G022779	chr16	3085772	3086921	3085400	3085978	207	increase
AlMed_G022427	chr16	562631	565843	562907	563529	622	decrease
AlMed_G022737	chr16	2761565	2763181	2761846	2761882	36	decrease
AlMed_G024946	chr16	19694489	19698671	19695640	19696227	587	increase
AlMed_G023015	chr16	8929751	8934121	8930975	8933128	2153	increase
AlMed_G023300	chr16	11160710	11161911	11161363	11161805	442	increase
AlMed_G023615	chr16	13041241	13050108	13043553	13044707	1154	decrease
AlMed_G023615	chr16	13041241	13050108	13041199	13041819	579	decrease
AlMed_G022676	chr16	2232554	2236436	2232065	2234644	2091	increase
AlMed_G024609	chr16	18225975	18232164	18226354	18226550	196	increase
AlMed_G024717	chr16	18691368	18693652	18693515	18693971	137	decrease
AlMed_G024009	chr16	15204852	15206180	15206132	15206940	48	decrease
AlMed_G024965	chr16	19753356	19753682	19753141	19753645	290	decrease
AlMed_G022854	chr16	3857493	3858325	3858133	3858575	192	increase
AlMed_G023765	chr16	13980654	13981429	13979930	13980838	185	increase
AlMed_G022388	chr16	372509	373643	372994	373439	445	increase
AlMed_G022860	chr16	3887338	3890310	3886856	3888584	1247	decrease
AlMed_G022981_AlMed_G022982	chr16	8508391	8512250	8509749	8510636	887	decrease
AlMed_G023725	chr16	13694416	13694871	13694161	13694731	316	decrease
AlMed_G023255	chr16	10870839	10871547	10869765	10871267	429	increase
AlMed_G023304	chr16	11207060	11210075	11208033	11208280	247	decrease
AlMed_G024234	chr16	16273428	16276245	16274001	16274905	904	increase
AlMed_G023036	chr16	9111460	9112283	9111586	9113053	697	increase
AlMed_G022718	chr16	2598780	2599160	2598543	2599304	381	increase
AlMed_G022781	chr16	3096771	3103406	3097472	3098729	1257	decrease
AlMed_G022781	chr16	3096771	3103406	3102850	3103704	556	increase
AlMed_G022917_AlMed_G022918	chr16	4624488	4633279	4627319	4628396	1077	decrease
AlMed_G022917_AlMed_G022918	chr16	4624488	4633279	4629680	4629929	249	decrease
AlMed_G022890	chr16	4323121	4326293	4323201	4323640	439	decrease
AlMed_G023123	chr16	9776322	9777708	9776313	9778149	1387	increase
AlMed_G022518	chr16	1201039	1209830	1201708	1202348	640	decrease
AlMed_G023219	chr16	10574497	10575046	10574842	10575831	204	increase
AlMed_G022753	chr16	2855839	2856279	2855768	2856065	227	increase
AlMed_G024917	chr16	19564656	19569364	19564908	19565345	437	decrease
AlMed_G024134	chr16	15867081	15868976	15867813	15868273	460	decrease
AlMed_G023657	chr16	13339122	13340634	13340112	13340464	352	decrease
AlMed_G022717	chr16	2559430	2560551	2559576	2560212	636	decrease
AlMed_G023274	chr16	10999582	11003920	10999890	11000993	1103	increase
AlMed_G023816	chr16	14315977	14316458	14315809	14316257	281	increase
AlMed_G022719	chr16	2613278	2618345	2613503	2613790	287	increase
AlMed_G023105	chr16	9658135	9658682	9658211	9658667	456	increase
AlMed_G022730	chr16	2681817	2685456	2683932	2684964	1032	increase
AlMed_G023783	chr16	14129548	14131624	14130401	14130995	594	increase
AlMed_G025111	chr16	20424515	20430769	20429033	20429783	750	decrease
AlMed_G023871	chr16	14564600	14568635	14568508	14568818	127	decrease
AlMed_G023687	chr16	13497181	13497589	13495782	13497571	391	increase
AlMed_G023371	chr16	11629827	11630879	11630732	11630873	141	decrease
AlMed_G022827	chr16	3507868	3508378	3507230	3507984	117	increase
AlMed_G024506	chr16	17677728	17683455	17679494	17680049	555	increase
AlMed_G024556	chr16	17938216	17939107	17938266	17939121	841	increase
AlMed_G023726	chr16	13695835	13696527	13695897	13696468	571	decrease
AlMed_G023951	chr16	14918663	14920293	14918733	14919547	814	increase
AlMed_G022813	chr16	3327412	3327591	3326998	3327571	160	decrease
AlMed_G022635	chr16	2018747	2019127	2018776	2019450	351	increase
AlMed_G024922	chr16	19576288	19579145	19577267	19577450	183	decrease
AlMed_G024922	chr16	19576288	19579145	19578756	19579136	380	increase
AlMed_G024201	chr16	16132661	16135439	16132174	16133457	797	increase
AlMed_G024201	chr16	16132661	16135439	16134995	16135728	444	decrease
AlMed_G023896	chr16	14645421	14648442	14645442	14646217	775	decrease
AlMed_G022528	chr16	1296069	1297631	1297295	1297588	293	decrease
AlMed_G023619	chr16	13087081	13088372	13087412	13088381	960	increase
AlMed_G022491	chr16	924532	930077	930020	930440	57	increase
AlMed_G023491	chr16	12345331	12349768	12345669	12346179	510	increase
AlMed_G025009	chr16	19977629	19978878	19977513	19978109	481	decrease
AlMed_G022744	chr16	2805562	2805939	2805568	2806259	371	decrease
AlMed_G024971	chr16	19782916	19783537	19782277	19783276	361	increase
AlMed_G024519_AlMed_G024520	chr16	17726051	17737627	17725752	17726113	63	decrease
AlMed_G023729	chr16	13721096	13723845	13721698	13721969	271	decrease
AlMed_G023128	chr16	9855533	9859604	9852778	9856269	737	increase
AlMed_G023128	chr16	9855533	9859604	9856559	9857425	866	increase
AlMed_G023128	chr16	9855533	9859604	9858352	9859089	737	increase
AlMed_G023299	chr16	11140714	11143505	11142574	11142963	389	decrease
AlMed_G022584	chr16	1649581	1650313	1649685	1650379	628	decrease
AlMed_G023980	chr16	15065954	15072590	15068494	15068907	413	decrease
AlMed_G023686	chr16	13494616	13496225	13495782	13497571	443	increase
AlMed_G022731	chr16	2685615	2688040	2686259	2687088	829	increase
AlMed_G024527	chr16	17788979	17789923	17789825	17789933	98	increase
AlMed_G024708	chr16	18644649	18655253	18649468	18650519	1051	decrease
AlMed_G022547	chr16	1429477	1432417	1432205	1433075	212	increase
AlMed_G023550	chr16	12681727	12690021	12682420	12683238	818	decrease
AlMed_G023188	chr16	10341907	10343952	10342081	10343901	1820	increase
AlMed_G023393	chr16	11720998	11737380	11721658	11722421	763	increase
AlMed_G023164	chr16	10130011	10131139	10129775	10130298	288	increase
AlMed_G023990	chr16	15116742	15121178	15117055	15117708	653	increase
AlMed_G023656	chr16	13334499	13336013	13334322	13334921	423	decrease
AlMed_G024077	chr16	15553438	15557637	15553659	15554329	670	increase
AlMed_G022832_AlMed_G022833	chr16	3573324	3589981	3580957	3581804	847	increase
AlMed_G022832_AlMed_G022833	chr16	3573324	3589981	3582950	3583518	568	increase
AlMed_G023716	chr16	13653796	13654920	13654608	13654977	312	decrease
AlMed_G023190	chr16	10359283	10361434	10359068	10359586	304	increase
AlMed_G024010	chr16	15205498	15207031	15206132	15206940	808	decrease
AlMed_G024200	chr16	16123995	16130018	16127318	16127862	544	decrease
AlMed_G024200	chr16	16123995	16130018	16129752	16130751	266	increase
AlMed_G023173	chr16	10232360	10234136	10230515	10232743	384	increase
AlMed_G024233	chr16	16269640	16272324	16269892	16270244	352	decrease
AlMed_G023330	chr16	11369327	11369844	11369667	11370251	177	increase
AlMed_G022533	chr16	1342219	1342488	1342138	1343366	270	increase
AlMed_G024825	chr16	19144052	19144660	19144569	19144832	91	decrease
AlMed_G023666	chr16	13381310	13382850	13382208	13382784	576	decrease
AlMed_G022712	chr16	2500600	2557378	2530281	2531357	1076	increase
AlMed_G022712	chr16	2500600	2557378	2544454	2546011	1557	increase
AlMed_G024112	chr16	15722168	15723025	15721948	15722305	138	increase
AlMed_G024370	chr16	16966242	16967480	16966333	16966565	232	increase
AlMed_G022855	chr16	3858355	3858832	3858133	3858575	221	increase
AlMed_G023764	chr16	13979014	13980341	13979930	13980838	411	increase
AlMed_G023014	chr16	8925891	8927307	8926173	8928328	1134	increase
AlMed_G023037	chr16	9112347	9112769	9111586	9113053	423	increase
AlMed_G023325	chr16	11317112	11319951	11316756	11318275	1164	increase
AlMed_G022470	chr16	837704	841481	838159	839058	899	increase
AlMed_G023233	chr16	10700198	10701105	10700910	10701423	195	increase
AlMed_G024235	chr16	16277627	16284042	16278956	16279730	774	increase
AlMed_G024235	chr16	16277627	16284042	16283057	16283455	398	decrease
AlMed_G025054	chr16	20204108	20210476	20204741	20205316	575	increase
AlMed_G022732	chr16	2689352	2691506	2688422	2689815	464	increase
AlMed_G022732	chr16	2689352	2691506	2690987	2691904	519	increase
AlMed_G023272	chr16	10991945	10994453	10993768	10994485	685	decrease
AlMed_G023018	chr16	8986709	8989273	8986637	8987198	490	decrease
AlMed_G023999	chr16	15157940	15159743	15159694	15160106	49	decrease
AlMed_G023140	chr16	9938721	9939957	9939604	9939885	281	decrease
AlMed_G022909	chr16	4521148	4522674	4520713	4523296	1527	increase
AlMed_G022655	chr16	2116071	2116505	2115584	2116484	414	decrease
AlMed_G022957	chr16	8033168	8033631	8032890	8033299	132	increase
AlMed_G023544	chr16	12650920	12652030	12650402	12651098	179	decrease
AlMed_G023642	chr16	13265431	13266014	13262730	13265443	13	increase
AlMed_G022929	chr16	5278316	5280439	5279680	5280195	515	increase
AlMed_G003370	chr9	16622777	16624855	16623682	16623759	77	increase
AlMed_G001013	chr9	4074545	4075713	4075331	4075666	335	increase
