seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
chr1,32617530,32630173,12644,*,3210,427.2515103411,0.425447611719065,146.003417241063,3.83891896042075e-05,0.000718294113919689,6246414,6249623,3210
chr2,6049937,6061611,11675,*,2307,276.274137068357,0.418827843633108,113.5590379359,3.83891896042075e-05,0.000718294113919689,8326431,8328737,2307
chr1,32582228,32589585,7358,*,1833,237.90938132769,0.463891626162661,93.9855093161611,3.83891896042075e-05,0.000718294113919689,6241009,6242841,1833
chr1,32590335,32595687,5353,*,1058,162.986294942845,0.544176962740043,79.0545881737906,3.83891896042075e-05,0.000718294113919689,6242869,6243926,1058
chr1,32598890,32605524,6635,*,1461,203.873540458171,0.513970515199679,72.5638148687325,3.83891896042075e-05,0.000718294113919689,6244456,6245916,1461
chr1,32630700,32633285,2586,*,707,93.5569908551285,0.436465505046244,54.6903955986591,3.83891896042075e-05,0.000718294113919689,6249763,6250469,707
chr6,9361933,9370004,8072,*,2078,452.488934159143,0.559851501810936,50.6892376784526,3.83891896042075e-05,0.000718294113919689,27880248,27882325,2078
chr8,14492468,14500917,8450,*,913,237.307098959257,0.76282594613412,50.2338982473915,3.83891896042075e-05,0.000718294113919689,39382595,39383507,913
chr3,30047179,30048232,1054,*,149,27.1132481901196,0.692517937257912,49.7819337984668,3.83891896042075e-05,0.000718294113919689,16410061,16410209,149
chr2,3935496,3938038,2543,*,626,94.7511363452622,-0.563395909979179,-44.7175498036373,3.83891896042075e-05,0.000718294113919689,7899013,7899638,626
chr8,17087102,17089735,2634,*,648,78.141789713876,-0.498214657812355,-44.4114247374606,3.83891896042075e-05,0.000718294113919689,39912046,39912693,648
chr1,32657248,32658148,901,*,245,32.9697099753879,0.468108067522742,39.0863248133277,3.83891896042075e-05,0.000718294113919689,6251902,6252146,245
chr4,23406135,23406206,72,*,17,15.9903612519355,2.34992611752549,38.6672771235773,3.83891896042075e-05,0.000718294113919689,20555575,20555591,17
chr1,16143314,16144863,1550,*,308,106.874698564378,-1.12720192297439,-38.5334405420279,3.83891896042075e-05,0.000718294113919689,3182640,3182947,308
chr8,13641521,13643354,1834,*,421,139.384387257148,0.770069721959536,37.4441738401633,3.83891896042075e-05,0.000718294113919689,39214377,39214797,421
chr1,11149638,11151443,1806,*,433,73.7222173980847,0.556446528117491,36.5544256052648,3.83891896042075e-05,0.000718294113919689,2184754,2185186,433
chr4,6261552,6262508,957,*,256,27.5720940457626,0.375219318094598,36.3355925643611,3.83891896042075e-05,0.000718294113919689,17436221,17436476,256
chr1,32596169,32598059,1891,*,339,48.3430649502789,0.534709601130579,35.6190902755,3.83891896042075e-05,0.000718294113919689,6243947,6244285,339
chr3,12738338,12739450,1113,*,247,34.7977418558201,-0.576823356802276,-35.4003478492061,3.83891896042075e-05,0.000718294113919689,13556523,13556769,247
chr7,16320816,16322141,1326,*,328,48.5741962790781,-0.511385212419491,-35.3160498933322,3.83891896042075e-05,0.000718294113919689,34755241,34755568,328
chr1,15344264,15345185,922,*,201,46.0978213479871,-0.698042486975596,-33.1124196561716,3.83891896042075e-05,0.000718294113919689,3015138,3015338,201
chr2,6033880,6036317,2438,*,594,69.8226810021668,0.373362573585059,31.8250728073151,3.83891896042075e-05,0.000718294113919689,8324443,8325036,594
chr5,10537775,10538673,899,*,207,55.5009254906355,-0.723202048371722,-30.2614029880908,3.83891896042075e-05,0.000718294113919689,22943717,22943923,207
chr6,239954,242145,2192,*,539,112.990995914906,0.50364302246375,29.8748616339525,3.83891896042075e-05,0.000718294113919689,25975382,25975920,539
chr2,6031563,6033261,1699,*,352,39.5918133897228,0.392945191786652,29.5163897577182,3.83891896042075e-05,0.000718294113919689,8323938,8324289,352
chr7,3462696,3462831,136,*,35,26.0738005267618,1.99048398354617,29.436690275747,3.83891896042075e-05,0.000718294113919689,32063360,32063394,35
chr4,3310451,3312315,1865,*,520,128.056851747802,0.586146949194158,29.0594690188557,3.83891896042075e-05,0.000718294113919689,17036981,17037500,520
chr1,16325014,16326525,1512,*,370,76.2364274416865,-0.657751822456501,-29.037799802374,3.83891896042075e-05,0.000718294113919689,3208238,3208607,370
chr2,7827218,7828788,1571,*,462,85.2019079382118,0.510854250402957,28.8548075024881,3.83891896042075e-05,0.000718294113919689,8605186,8605647,462
chr3,17491105,17493635,2531,*,662,99.3782616945216,0.422430815293616,28.8250212819394,3.83891896042075e-05,0.000718294113919689,14400346,14401007,662
chr6,20587383,20588257,875,*,246,54.2854026995273,0.680909386853691,28.7499087150472,3.83891896042075e-05,0.000718294113919689,29862909,29863154,246
chr5,5425439,5428728,3290,*,641,105.878487359956,0.524499831457444,28.6839840711965,3.83891896042075e-05,0.000718294113919689,22339268,22339908,641
chr2,3932929,3933815,887,*,207,66.1682197616928,-1.09795233675444,-28.184036074569,3.83891896042075e-05,0.000718294113919689,7898370,7898576,207
chr7,13058851,13060246,1396,*,264,52.5698096932115,-0.827198284360186,-28.0193539883035,3.83891896042075e-05,0.000718294113919689,34088410,34088673,264
chr3,20878074,20881136,3063,*,705,115.34037969046,0.479364227677983,27.6091730750376,3.83891896042075e-05,0.000718294113919689,14783448,14784152,705
chr7,9602499,9603297,799,*,178,67.6082201754831,-1.39457910717945,-27.0784339156649,3.83891896042075e-05,0.000718294113919689,33359826,33360003,178
chr8,14487575,14490959,3385,*,619,89.5094382972968,0.473193700726434,26.7010258445747,3.83891896042075e-05,0.000718294113919689,39381925,39382543,619
chr4,2731194,2733169,1976,*,474,76.3836828289951,0.423020088787389,26.6007902307903,3.83891896042075e-05,0.000718294113919689,16921076,16921549,474
chr8,6155638,6157313,1676,*,479,111.336332605278,0.581610142082185,26.5726486094288,3.83891896042075e-05,0.000718294113919689,38410199,38410677,479
chr2,2314708,2315458,751,*,226,31.4664760476655,-0.481239544958549,-26.081702979653,3.83891896042075e-05,0.000718294113919689,7559968,7560193,226
chr5,3179664,3180821,1158,*,306,53.8045806035926,0.589923763994837,25.4253811585978,3.83891896042075e-05,0.000718294113919689,21940866,21941171,306
chr2,5958714,5959352,639,*,154,52.2001722544857,1.604231900874,25.4217878923574,3.83891896042075e-05,0.000718294113919689,8306968,8307121,154
chr7,7952969,7953831,863,*,268,72.3314818160578,-0.838410911941412,-25.3390166696465,3.83891896042075e-05,0.000718294113919689,33017053,33017320,268
chr6,23068275,23069173,899,*,184,47.119141583322,-0.903184478014819,-25.2079529856123,3.83891896042075e-05,0.000718294113919689,30355835,30356018,184
chr7,27337437,27338248,812,*,249,61.7310846515626,0.850403046295022,24.0569982088293,3.83891896042075e-05,0.000718294113919689,36644356,36644604,249
chr6,23972585,23973154,570,*,121,26.5630547270298,-1.45824531539842,-23.8373552037607,3.83891896042075e-05,0.000718294113919689,30546971,30547091,121
chr3,4201264,4201610,347,*,121,21.7423727823522,-0.806995883452408,-23.5056076404934,3.83891896042075e-05,0.000718294113919689,11791018,11791138,121
chr1,12837958,12838940,983,*,173,28.3849336395032,0.59837775747535,23.4924820370187,3.83891896042075e-05,0.000718294113919689,2509012,2509184,173
chr4,3404648,3406790,2143,*,530,62.5262030858191,0.327315493622116,23.4278166516245,3.83891896042075e-05,0.000718294113919689,17057211,17057740,530
chr5,10439430,10440481,1052,*,338,72.0908618885926,0.515855148613517,23.365926787013,3.83891896042075e-05,0.000718294113919689,22922180,22922517,338
chr1,29395402,29395959,558,*,163,32.6131196868859,-0.805036547372209,-23.30583133751,3.83891896042075e-05,0.000718294113919689,5597178,5597340,163
chr1,32578555,32579842,1288,*,279,31.8809441209494,0.397384468586379,23.2585673339649,3.83891896042075e-05,0.000718294113919689,6240407,6240685,279
chr1,10185127,10185769,643,*,139,28.5947914528051,-0.84800430712051,-22.9951478624311,3.83891896042075e-05,0.000718294113919689,1980997,1981135,139
chr1,13418591,13419369,779,*,225,30.4521699178274,0.453425365217243,22.8976871936428,3.83891896042075e-05,0.000718294113919689,2609572,2609796,225
chr1,36524373,36525059,687,*,130,24.7172782367417,0.955558045248885,22.770996388278,3.83891896042075e-05,0.000718294113919689,6838776,6838905,130
