seqnames	start	end	width	strand	dens
chr1	1	100000	100000	*	39939
chr1	100001	200000	100000	*	39124
chr1	200001	300000	100000	*	37426
chr1	300001	400000	100000	*	35731
chr1	400001	500000	100000	*	36447
chr1	500001	600000	100000	*	34896
chr1	600001	700000	100000	*	34273
chr1	700001	800000	100000	*	34749
chr1	800001	900000	100000	*	35766
chr1	900001	1000000	100000	*	36298
chr1	1000001	1100000	100000	*	36627
chr1	1100001	1200000	100000	*	37109
chr1	1200001	1300000	100000	*	35349
chr1	1300001	1400000	100000	*	34862
chr1	1400001	1500000	100000	*	38254
chr1	1500001	1600000	100000	*	36167
chr1	1600001	1700000	100000	*	37251
chr1	1700001	1800000	100000	*	35429
chr1	1800001	1900000	100000	*	37224
chr1	1900001	2000000	100000	*	37464
chr1	2000001	2100000	100000	*	36136
chr1	2100001	2200000	100000	*	36949
chr1	2200001	2300000	100000	*	36969
chr1	2300001	2400000	100000	*	36655
chr1	2400001	2500000	100000	*	37096
chr1	2500001	2600000	100000	*	36573
chr1	2600001	2700000	100000	*	36701
chr1	2700001	2800000	100000	*	37955
chr1	2800001	2900000	100000	*	38521
chr1	2900001	3000000	100000	*	37973
chr1	3000001	3100000	100000	*	36653
chr1	3100001	3200000	100000	*	36279
chr1	3200001	3300000	100000	*	37057
chr1	3300001	3400000	100000	*	35990
chr1	3400001	3500000	100000	*	36547
chr1	3500001	3600000	100000	*	36953
chr1	3600001	3700000	100000	*	38421
chr1	3700001	3800000	100000	*	37155
chr1	3800001	3900000	100000	*	35778
chr1	3900001	4000000	100000	*	37661
chr1	4000001	4100000	100000	*	36599
chr1	4100001	4200000	100000	*	36379
chr1	4200001	4300000	100000	*	37964
chr1	4300001	4400000	100000	*	35692
chr1	4400001	4500000	100000	*	36279
chr1	4500001	4600000	100000	*	38774
chr1	4600001	4700000	100000	*	36563
chr1	4700001	4800000	100000	*	35258
chr1	4800001	4900000	100000	*	35942
chr1	4900001	5000000	100000	*	37410
chr1	5000001	5100000	100000	*	36268
chr1	5100001	5200000	100000	*	37487
chr1	5200001	5300000	100000	*	36732
chr1	5300001	5400000	100000	*	35188
chr1	5400001	5500000	100000	*	36920
chr1	5500001	5600000	100000	*	34467
chr1	5600001	5700000	100000	*	36919
chr1	5700001	5800000	100000	*	37388
chr1	5800001	5900000	100000	*	35494
chr1	5900001	6000000	100000	*	35576
chr1	6000001	6100000	100000	*	37867
chr1	6100001	6200000	100000	*	35247
chr1	6200001	6300000	100000	*	33837
chr1	6300001	6400000	100000	*	34444
chr1	6400001	6500000	100000	*	36014
chr1	6500001	6600000	100000	*	35314
chr1	6600001	6700000	100000	*	35086
chr1	6700001	6800000	100000	*	35864
chr1	6800001	6900000	100000	*	35418
chr1	6900001	7000000	100000	*	36044
chr1	7000001	7100000	100000	*	36105
chr1	7100001	7200000	100000	*	40413
chr1	7200001	7300000	100000	*	38386
chr1	7300001	7400000	100000	*	37259
chr1	7400001	7500000	100000	*	37034
chr1	7500001	7600000	100000	*	39026
chr1	7600001	7700000	100000	*	36838
chr1	7700001	7800000	100000	*	37260
chr1	7800001	7900000	100000	*	36342
chr1	7900001	8000000	100000	*	35644
chr1	8000001	8100000	100000	*	37269
chr1	8100001	8200000	100000	*	33565
chr1	8200001	8300000	100000	*	37321
chr1	8300001	8400000	100000	*	36405
chr1	8400001	8500000	100000	*	37621
chr1	8500001	8600000	100000	*	36645
chr1	8600001	8700000	100000	*	38524
chr1	8700001	8800000	100000	*	34515
chr1	8800001	8900000	100000	*	33952
chr1	8900001	9000000	100000	*	35667
chr1	9000001	9100000	100000	*	35982
chr1	9100001	9200000	100000	*	36310
chr1	9200001	9300000	100000	*	35072
chr1	9300001	9400000	100000	*	36622
chr1	9400001	9500000	100000	*	34972
chr1	9500001	9600000	100000	*	35617
chr1	9600001	9700000	100000	*	36160
chr1	9700001	9800000	100000	*	36645
chr1	9800001	9900000	100000	*	35824
chr1	9900001	10000000	100000	*	34421
chr1	10000001	10100000	100000	*	36244
chr1	10100001	10200000	100000	*	35649
chr1	10200001	10300000	100000	*	38262
chr1	10300001	10400000	100000	*	36352
chr1	10400001	10500000	100000	*	34209
chr1	10500001	10600000	100000	*	36359
chr1	10600001	10700000	100000	*	34488
chr1	10700001	10800000	100000	*	34818
chr1	10800001	10900000	100000	*	36249
chr1	10900001	11000000	100000	*	36896
chr1	11000001	11100000	100000	*	35619
chr1	11100001	11200000	100000	*	33518
chr1	11200001	11300000	100000	*	35792
chr1	11300001	11400000	100000	*	34794
chr1	11400001	11500000	100000	*	36572
chr1	11500001	11600000	100000	*	37449
chr1	11600001	11700000	100000	*	34098
chr1	11700001	11800000	100000	*	33804
chr1	11800001	11900000	100000	*	36534
chr1	11900001	12000000	100000	*	36801
chr1	12000001	12100000	100000	*	34194
chr1	12100001	12200000	100000	*	34073
chr1	12200001	12300000	100000	*	34746
chr1	12300001	12400000	100000	*	35776
chr1	12400001	12500000	100000	*	35331
chr1	12500001	12600000	100000	*	36384
chr1	12600001	12700000	100000	*	36546
chr1	12700001	12800000	100000	*	37250
chr1	12800001	12900000	100000	*	36108
chr1	12900001	13000000	100000	*	35613
chr1	13000001	13100000	100000	*	33475
chr1	13100001	13200000	100000	*	37065
chr1	13200001	13300000	100000	*	37317
chr1	13300001	13400000	100000	*	38054
chr1	13400001	13500000	100000	*	37345
chr1	13500001	13600000	100000	*	36462
chr1	13600001	13700000	100000	*	35108
chr1	13700001	13800000	100000	*	37684
chr1	13800001	13900000	100000	*	34006
chr1	13900001	14000000	100000	*	35836
chr1	14000001	14100000	100000	*	35227
chr1	14100001	14200000	100000	*	34089
chr1	14200001	14300000	100000	*	35638
chr1	14300001	14400000	100000	*	34533
chr1	14400001	14500000	100000	*	35016
chr1	14500001	14600000	100000	*	33523
chr1	14600001	14700000	100000	*	34202
chr1	14700001	14800000	100000	*	36649
chr1	14800001	14900000	100000	*	34386
chr1	14900001	15000000	100000	*	34803
chr1	15000001	15100000	100000	*	37383
chr1	15100001	15200000	100000	*	34111
chr1	15200001	15300000	100000	*	36696
chr1	15300001	15400000	100000	*	34588
chr1	15400001	15500000	100000	*	36351
chr1	15500001	15600000	100000	*	36237
chr1	15600001	15700000	100000	*	35072
chr1	15700001	15800000	100000	*	36278
chr1	15800001	15900000	100000	*	36087
chr1	15900001	16000000	100000	*	34377
chr1	16000001	16100000	100000	*	34867
chr1	16100001	16200000	100000	*	32703
chr1	16200001	16300000	100000	*	39195
chr1	16300001	16400000	100000	*	36807
chr1	16400001	16500000	100000	*	34419
chr1	16500001	16600000	100000	*	35905
chr1	16600001	16700000	100000	*	35388
chr1	16700001	16800000	100000	*	35110
chr1	16800001	16900000	100000	*	34890
chr1	16900001	17000000	100000	*	35248
chr1	17000001	17100000	100000	*	34923
chr1	17100001	17200000	100000	*	34864
chr1	17200001	17300000	100000	*	33701
chr1	17300001	17400000	100000	*	35841
chr1	17400001	17500000	100000	*	36347
chr1	17500001	17600000	100000	*	35300
chr1	17600001	17700000	100000	*	38403
chr1	17700001	17800000	100000	*	35826
chr1	17800001	17900000	100000	*	35665
chr1	17900001	18000000	100000	*	38448
chr1	18000001	18100000	100000	*	33588
chr1	18100001	18200000	100000	*	33784
chr1	18200001	18300000	100000	*	36126
chr1	18300001	18400000	100000	*	41017
chr1	18400001	18500000	100000	*	36935
chr1	18500001	18600000	100000	*	34723
chr1	18600001	18700000	100000	*	37044
chr1	18700001	18800000	100000	*	35693
chr1	18800001	18900000	100000	*	34725
chr1	18900001	19000000	100000	*	35581
chr1	19000001	19100000	100000	*	36762
chr1	19100001	19200000	100000	*	36552
chr1	19200001	19300000	100000	*	38457
chr1	19300001	19400000	100000	*	35851
chr1	19400001	19500000	100000	*	36954
chr1	19500001	19600000	100000	*	40598
chr1	19600001	19700000	100000	*	34890
chr1	19700001	19800000	100000	*	37831
