geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
augustus_masked-chr4-processed-gene-2.31	chr4	200817	202610	200888	201195	307	increase
maker-chr4-augustus-gene-208.8	chr4	20808318	20810020	20808187	20808914	597	increase
augustus_masked-chr4-processed-gene-251.35	chr4	25183596	25188000	25184598	25185058	460	increase
augustus_masked-chr4-processed-gene-15.15	chr4	1530203	1533191	1530191	1530834	632	decrease
augustus_masked-chr4-processed-gene-18.23	chr4	1804472	1806435	1805391	1805512	121	decrease
augustus_masked-chr4-processed-gene-217.11	chr4	21727687	21729325	21727849	21728202	353	increase
maker-chr4-augustus-gene-182.32	chr4	18245876	18247032	18244927	18245984	109	decrease
augustus_masked-chr4-processed-gene-32.23	chr4	3275564	3276892	3276122	3276201	79	decrease
maker-chr4-augustus-gene-224.11	chr4	22401243	22402593	22401119	22401867	625	increase
maker-chr4-augustus-gene-130.14	chr4	13061882	13067075	13063176	13064243	1067	increase
maker-chr4-augustus-gene-130.14	chr4	13061882	13067075	13066322	13066931	609	decrease
maker-chr4-augustus-gene-210.9	chr4	21013698	21016646	21014761	21015416	655	increase
maker-chr4-augustus-gene-210.9	chr4	21013698	21016646	21016268	21016775	378	increase
augustus_masked-chr4-processed-gene-210.37	chr4	21019890	21021287	21018094	21020236	347	increase
maker-chr4-augustus-gene-171.27	chr4	17120232	17123038	17120561	17122129	1568	increase
maker-chr4-augustus-gene-8.13	chr4	833479	834661	833529	834133	604	decrease
maker-chr4-augustus-gene-236.30	chr4	23623558	23625447	23624583	23625826	864	increase
augustus_masked-chr4-processed-gene-253.25	chr4	25341710	25343748	25342567	25342698	131	increase
augustus_masked-chr4-processed-gene-168.19	chr4	16851164	16852462	16851673	16851728	55	decrease
maker-chr4-augustus-gene-236.28	chr4	23609868	23612727	23611651	23612215	564	decrease
maker-chr4-augustus-gene-220.1	chr4	21972900	21973821	21970959	21973084	185	decrease
maker-chr4-augustus-gene-44.6	chr4	4466613	4471248	4467388	4467644	256	increase
maker-chr4-augustus-gene-44.6	chr4	4466613	4471248	4468299	4468881	582	increase
maker-chr4-augustus-gene-185.11	chr4	18515462	18521866	18518750	18519888	1138	increase
maker-chr4-augustus-gene-185.11	chr4	18515462	18521866	18520899	18521026	127	decrease
maker-chr4-augustus-gene-220.14	chr4	21999292	22002654	21999645	22001080	1435	increase
augustus_masked-chr4-processed-gene-233.12	chr4	23304813	23309526	23308395	23309347	952	increase
maker-chr4-augustus-gene-32.6	chr4	3242121	3244584	3242796	3243460	664	decrease
maker-chr4-augustus-gene-214.24	chr4	21414142	21415136	21414887	21415410	249	increase
augustus_masked-chr4-processed-gene-245.6	chr4	24509990	24511188	24511116	24511242	72	decrease
maker-chr4-augustus-gene-142.10	chr4	14279446	14280219	14280112	14280533	107	increase
maker-chr4-augustus-gene-10.4	chr4	1032601	1033936	1033625	1033962	311	increase
maker-chr4-augustus-gene-199.33	chr4	19985657	19988919	19986332	19987464	1132	increase
maker-chr4-augustus-gene-2.15	chr4	260773	263575	262084	262575	491	increase
maker-chr4-augustus-gene-139.12	chr4	13903439	13908978	13903963	13904367	404	increase
maker-chr4-augustus-gene-139.12	chr4	13903439	13908978	13907608	13908195	587	increase
augustus_masked-chr4-processed-gene-198.19	chr4	19801696	19806893	19802438	19802602	164	decrease
maker-chr4-augustus-gene-127.0	chr4	12693219	12696604	12694398	12694988	590	decrease
maker-chr4-augustus-gene-127.0	chr4	12693219	12696604	12696014	12696193	179	increase
augustus_masked-chr4-processed-gene-247.34	chr4	24753780	24755394	24754181	24754390	209	decrease
maker-chr4-augustus-gene-176.1	chr4	17656483	17659356	17657540	17657692	152	increase
maker-chr4-augustus-gene-176.1	chr4	17656483	17659356	17658208	17658800	592	decrease
augustus_masked-chr4-processed-gene-137.9	chr4	13746729	13748833	13746550	13747333	605	increase
maker-chr4-augustus-gene-22.15	chr4	2256044	2260957	2260651	2262274	306	increase
augustus_masked-chr4-processed-gene-249.44	chr4	24930386	24931008	24930624	24930954	330	decrease
augustus_masked-chr4-processed-gene-253.36	chr4	25365142	25369657	25366866	25367458	592	increase
augustus_masked-chr4-processed-gene-137.8	chr4	13743643	13745581	13743800	13744579	779	decrease
maker-chr4-augustus-gene-170.13	chr4	17021518	17024879	17022465	17023528	1063	increase
maker-chr4-augustus-gene-266.22	chr4	26674628	26676988	26676793	26676850	57	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222660	17226829	3007	decrease
maker-chr4-augustus-gene-230.45	chr4	23025198	23028208	23025856	23026232	376	decrease
maker-chr4-augustus-gene-230.45	chr4	23025198	23028208	23026932	23027256	324	increase
maker-chr4-augustus-gene-148.5	chr4	14816344	14820395	14819296	14819944	648	decrease
maker-chr4-augustus-gene-204.42	chr4	20407432	20412845	20409847	20410326	479	increase
maker-chr4-augustus-gene-204.42	chr4	20407432	20412845	20411822	20412283	461	increase
augustus_masked-chr4-processed-gene-91.13	chr4	9177973	9180619	9178381	9178941	560	decrease
augustus_masked-chr4-processed-gene-91.13	chr4	9177973	9180619	9179625	9179995	370	decrease
maker-chr4-augustus-gene-92.22	chr4	9243957	9248060	9244187	9244460	273	decrease
maker-chr4-augustus-gene-92.22	chr4	9243957	9248060	9245331	9246224	893	increase
maker-chr4-augustus-gene-92.22	chr4	9243957	9248060	9247971	9248226	89	decrease
maker-chr4-augustus-gene-15.3	chr4	1526935	1530026	1528562	1528657	95	decrease
maker-chr4-augustus-gene-15.3	chr4	1526935	1530026	1529042	1529418	376	increase
maker-chr4-augustus-gene-260.2	chr4	26028946	26031184	26030202	26030661	459	decrease
maker-chr4-augustus-gene-162.21	chr4	16248595	16252005	16250026	16250491	465	decrease
maker-chr4-augustus-gene-199.29	chr4	19972867	19980345	19974344	19975068	724	increase
maker-chr4-augustus-gene-199.29	chr4	19972867	19980345	19976447	19976803	356	increase
maker-chr4-augustus-gene-199.29	chr4	19972867	19980345	19980025	19980465	320	increase
augustus_masked-chr4-processed-gene-148.22	chr4	14841779	14858488	14844093	14845450	1357	increase
augustus_masked-chr4-processed-gene-148.22	chr4	14841779	14858488	14846206	14846855	649	increase
augustus_masked-chr4-processed-gene-148.22	chr4	14841779	14858488	14848969	14855041	6072	increase
augustus_masked-chr4-processed-gene-148.22	chr4	14841779	14858488	14855458	14855865	407	increase
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2876215	2877344	1090	decrease
maker-chr4-augustus-gene-195.12	chr4	19500979	19502822	19501245	19501639	394	increase
maker-chr4-augustus-gene-257.39	chr4	25754088	25757076	25754517	25755021	504	increase
maker-chr4-augustus-gene-228.16	chr4	22881651	22884481	22881363	22882128	478	increase
maker-chr4-augustus-gene-228.16	chr4	22881651	22884481	22882919	22883358	439	increase
maker-chr4-augustus-gene-50.19	chr4	5014575	5015759	5014718	5016035	1041	decrease
