geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-183.11	chr4	18290471	18292050	18291432	18291557	125	decrease
maker-chr4-augustus-gene-23.13	chr4	2301122	2303202	2303030	2303666	172	decrease
maker-chr4-augustus-gene-142.10	chr4	14279446	14280219	14279412	14279998	553	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222516	17223037	391	decrease
maker-chr4-augustus-gene-166.7_maker-chr4-augustus-gene-166.8	chr4	16640486	16648243	16644884	16645504	620	decrease
maker-chr4-augustus-gene-94.1	chr4	9388897	9393066	9391262	9391670	408	decrease
maker-chr4-augustus-gene-206.25	chr4	20652001	20653900	20651543	20652038	38	decrease
maker-chr4-augustus-gene-195.20	chr4	19572034	19572319	19571698	19572317	284	decrease
maker-chr4-augustus-gene-182.27	chr4	18225547	18229549	18228899	18229411	512	decrease
augustus_masked-chr4-processed-gene-263.21_maker-chr4-augustus-gene-263.40	chr4	26353322	26364504	26360376	26361458	1082	decrease
augustus_masked-chr4-processed-gene-94.12	chr4	9456507	9458583	9456115	9456551	45	decrease
augustus_masked-chr4-processed-gene-30.9	chr4	3041799	3043177	3042535	3042853	318	decrease
maker-chr4-augustus-gene-224.15	chr4	22425708	22433575	22432703	22433250	547	decrease
maker-chr4-augustus-gene-160.25	chr4	16001397	16009030	16007813	16008321	508	decrease
maker-chr4-augustus-gene-36.2	chr4	3609631	3614335	3612281	3613258	977	decrease
maker-chr4-augustus-gene-19.8	chr4	1954625	1958037	1956727	1957349	622	decrease
maker-chr4-augustus-gene-144.9	chr4	14396708	14400404	14398502	14399239	737	decrease
augustus_masked-chr4-processed-gene-238.25	chr4	23796153	23799602	23798154	23798650	496	increase
maker-chr4-augustus-gene-180.24	chr4	18043233	18046084	18043048	18043271	39	decrease
maker-chr4-augustus-gene-193.0	chr4	19304231	19312270	19308668	19309646	978	decrease
augustus_masked-chr4-processed-gene-230.13_maker-chr4-augustus-gene-230.39	chr4	23077351	23083583	23079804	23080253	449	decrease
augustus_masked-chr4-processed-gene-262.41	chr4	26257584	26259726	26258901	26259202	301	decrease
maker-chr4-augustus-gene-144.8_maker-chr4-augustus-gene-144.10	chr4	14375879	14407101	14383937	14384574	637	decrease
maker-chr4-augustus-gene-144.8_maker-chr4-augustus-gene-144.10	chr4	14375879	14407101	14393773	14394357	584	decrease
maker-chr4-augustus-gene-144.8_maker-chr4-augustus-gene-144.10	chr4	14375879	14407101	14398502	14399239	737	decrease
maker-chr4-augustus-gene-191.41	chr4	19184109	19186756	19185406	19186001	595	decrease
maker-chr4-augustus-gene-191.25	chr4	19089741	19092948	19092119	19093158	829	decrease
maker-chr4-augustus-gene-253.11	chr4	25309297	25311191	25310480	25311374	711	decrease
maker-chr4-augustus-gene-241.9	chr4	24112264	24114849	24111846	24112309	46	decrease
augustus_masked-chr4-processed-gene-4.13	chr4	431704	437153	432187	432535	348	decrease
maker-chr4-augustus-gene-143.38	chr4	14327054	14338541	14337472	14338143	671	decrease
maker-chr4-augustus-gene-166.4	chr4	16643756	16645758	16644884	16645504	620	decrease
augustus_masked-chr4-processed-gene-218.0	chr4	21790912	21794315	21793172	21793510	338	decrease
augustus_masked-chr4-processed-gene-184.19_maker-chr4-augustus-gene-184.4	chr4	18439281	18451810	18445808	18446264	456	decrease
