geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-127.3	chr4	12781251	12784950	12783615	12784099	484	decrease
maker-chr4-augustus-gene-239.29	chr4	23911974	23912581	23912474	23914288	107	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222428	17222681	35	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2873323	2873995	672	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2875736	2877433	1569	decrease
maker-chr4-augustus-gene-50.19	chr4	5014575	5015759	5014637	5016127	1122	decrease
maker-chr4-augustus-gene-242.11	chr4	24191568	24192174	24191606	24192270	568	decrease
maker-chr4-augustus-gene-39.16	chr4	3900818	3901919	3901693	3902406	226	decrease
maker-chr4-augustus-gene-148.9	chr4	14873967	14884396	14875273	14875664	391	decrease
augustus_masked-chr4-processed-gene-232.25	chr4	23268296	23269207	23268149	23268889	594	decrease
augustus_masked-chr4-processed-gene-39.6	chr4	3953008	3953861	3953383	3954236	478	decrease
maker-chr4-augustus-gene-172.28	chr4	17282761	17284394	17283836	17284585	558	decrease
maker-chr4-augustus-gene-26.13	chr4	2682140	2682675	2682562	2683335	113	decrease
maker-chr4-augustus-gene-220.3	chr4	21987364	21991446	21991436	21992631	10	decrease
maker-chr4-augustus-gene-220.3	chr4	21987364	21991446	21987163	21987759	396	decrease
maker-chr4-augustus-gene-178.38	chr4	17857008	17861451	17858607	17859183	576	decrease
maker-chr4-augustus-gene-199.27	chr4	19953789	19961151	19958806	19960173	1367	decrease
augustus_masked-chr4-processed-gene-84.3	chr4	8412577	8413849	8412115	8412753	177	decrease
maker-chr4-augustus-gene-182.27	chr4	18225547	18229549	18227859	18228808	949	decrease
maker-chr4-augustus-gene-77.7	chr4	7738017	7738906	7738442	7738878	436	decrease
augustus_masked-chr4-processed-gene-32.14	chr4	3178026	3179175	3177308	3178041	16	decrease
