seqnames,start,end,width,strand,dens,window_scores,coverage
chr1,1,100000,100000,*,39120,2131008,54.4736196319018
chr1,100001,200000,100000,*,39947,2016464,50.4784839912885
chr1,200001,300000,100000,*,37565,2000761,53.2613070677492
chr1,300001,400000,100000,*,36195,1991339,55.0169636690151
chr1,400001,500000,100000,*,35695,1944803,54.4839053088668
chr1,500001,600000,100000,*,34418,1877963,54.5633970596781
chr1,600001,700000,100000,*,34302,1796627,52.3767418809399
chr1,700001,800000,100000,*,36186,1973746,54.5444647101089
chr1,800001,900000,100000,*,36385,1921716,52.8161605057029
chr1,900001,1000000,100000,*,36607,1872280,51.1454093479389
chr1,1000001,1100000,100000,*,38067,2150442,56.4909764362834
chr1,1100001,1200000,100000,*,34637,1775202,51.2516095504807
chr1,1200001,1300000,100000,*,34386,1782781,51.8461292386436
chr1,1300001,1400000,100000,*,37664,2053085,54.5105405692438
chr1,1400001,1500000,100000,*,35446,1892653,53.3953901709643
chr1,1500001,1600000,100000,*,35957,1915767,53.2793892705176
chr1,1600001,1700000,100000,*,36748,1964624,53.4620659627735
chr1,1700001,1800000,100000,*,37304,2043853,54.7891110872829
chr1,1800001,1900000,100000,*,36219,1906951,52.6505701427428
chr1,1900001,2000000,100000,*,35613,1864620,52.357846853677
chr1,2000001,2100000,100000,*,37014,1958146,52.9028475711893
chr1,2100001,2200000,100000,*,36615,1935530,52.8616687150075
chr1,2200001,2300000,100000,*,36922,1972347,53.419289312605
chr1,2300001,2400000,100000,*,35792,1909274,53.3435963343764
chr1,2400001,2500000,100000,*,38142,2448378,64.1911278905144
chr1,2500001,2600000,100000,*,38535,2120101,55.0175424938368
chr1,2600001,2700000,100000,*,37696,2043723,54.2159115025467
chr1,2700001,2800000,100000,*,38403,2126748,55.3797359581283
chr1,2800001,2900000,100000,*,37168,2062119,55.4810320705984
chr1,2900001,3000000,100000,*,37181,447451,12.0343992899599
chr1,3000001,3100000,100000,*,37374,33651,0.900385294589822
chr1,3100001,3200000,100000,*,36986,33683,0.910695939003947
chr1,3200001,3300000,100000,*,36260,39090,1.07804743519029
chr1,3300001,3400000,100000,*,36208,39887,1.10160737958462
chr1,3400001,3500000,100000,*,36778,23606,0.641851106639839
chr1,3500001,3600000,100000,*,36818,39086,1.06160030419903
chr1,3600001,3700000,100000,*,37548,21313,0.567620112922126
chr1,3700001,3800000,100000,*,37498,26591,0.709131153661529
chr1,3800001,3900000,100000,*,37672,32216,0.855170949246124
