geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-44.6	chr4	4466613	4471248	4466289	4466623	11	decrease
augustus_masked-chr4-processed-gene-137.1	chr4	13689954	13690747	13690256	13690973	491	decrease
augustus_masked-chr4-processed-gene-198.24	chr4	19840010	19840786	19840081	19845259	705	increase
augustus_masked-chr4-processed-gene-254.16	chr4	25475197	25478146	25475240	25475642	402	increase
maker-chr4-augustus-gene-228.16	chr4	22881651	22884481	22882011	22883184	1173	decrease
maker-chr4-augustus-gene-39.16	chr4	3900818	3901919	3901693	3901893	200	decrease
augustus_masked-chr4-processed-gene-141.23	chr4	14173498	14174305	14172914	14175061	808	decrease
augustus_masked-chr4-processed-gene-163.0	chr4	16278297	16290475	16288478	16288603	125	decrease
augustus_masked-chr4-processed-gene-257.15	chr4	25714311	25717255	25716712	25717334	543	increase
maker-chr4-augustus-gene-185.3_maker-chr4-augustus-gene-185.4	chr4	18506325	18511432	18508715	18509046	331	increase
maker-chr4-augustus-gene-199.27	chr4	19953789	19961151	19955740	19956024	284	increase
maker-chr4-augustus-gene-199.27	chr4	19953789	19961151	19960096	19960893	797	increase
maker-chr4-augustus-gene-228.6	chr4	22866317	22868338	22866770	22866925	155	decrease
augustus_masked-chr4-processed-gene-32.24	chr4	3206840	3207805	3206468	3208362	966	increase
maker-chr4-augustus-gene-28.25	chr4	2802584	2804514	2802525	2802725	142	decrease
maker-chr4-augustus-gene-28.41	chr4	2844805	2846487	2844169	2847075	1683	decrease
augustus_masked-chr4-processed-gene-155.12	chr4	15506962	15507327	15507126	15507280	154	increase
maker-chr4-augustus-gene-4.31	chr4	412761	415084	413861	414523	662	increase
augustus_masked-chr4-processed-gene-196.26	chr4	19668822	19673918	19673476	19674087	442	decrease
augustus_masked-chr4-processed-gene-84.3	chr4	8412577	8413849	8412115	8412791	215	increase
augustus_masked-chr4-processed-gene-162.2	chr4	16193419	16197425	16193863	16194343	480	decrease
augustus_masked-chr4-processed-gene-15.16	chr4	1538345	1539474	1539357	1539536	117	increase
maker-chr4-augustus-gene-4.33	chr4	459483	462435	461702	462333	631	decrease
augustus_masked-chr4-processed-gene-263.21_maker-chr4-augustus-gene-263.40	chr4	26353322	26364504	26357664	26357720	56	increase
augustus_masked-chr4-processed-gene-263.21_maker-chr4-augustus-gene-263.40	chr4	26353322	26364504	26358608	26358925	317	increase
augustus_masked-chr4-processed-gene-161.19	chr4	16099873	16100656	16099942	16101004	714	decrease
augustus_masked-chr4-processed-gene-51.16	chr4	5136246	5139120	5137548	5138052	504	decrease
augustus_masked-chr4-processed-gene-50.4	chr4	5060660	5062673	5061949	5062533	584	increase
maker-chr4-augustus-gene-190.15	chr4	19028192	19029233	19028014	19029183	992	decrease
maker-chr4-augustus-gene-125.8	chr4	12510320	12511032	12509853	12510785	466	decrease
augustus_masked-chr4-processed-gene-236.4	chr4	23603204	23603893	23602898	23603637	434	increase
augustus_masked-chr4-processed-gene-186.16	chr4	18600067	18603868	18603609	18604312	259	increase
maker-chr4-augustus-gene-151.7	chr4	15171136	15171829	15171532	15171777	245	increase
augustus_masked-chr4-processed-gene-157.8	chr4	15734969	15740878	15736796	15737035	239	increase
maker-chr4-augustus-gene-188.4	chr4	18870962	18872044	18871230	18871639	409	increase
augustus_masked-chr4-processed-gene-270.16	chr4	27074318	27075971	27075624	27076080	347	decrease
maker-chr4-augustus-gene-177.33	chr4	17758727	17759533	17757968	17759137	411	increase
maker-chr4-augustus-gene-33.26	chr4	3311093	3311857	3311051	3311885	765	decrease
augustus_masked-chr4-processed-gene-20.9	chr4	2035831	2036094	2035528	2036098	264	increase
augustus_masked-chr4-processed-gene-229.19	chr4	22932103	22933782	22932145	22932819	674	decrease
maker-chr4-augustus-gene-224.15	chr4	22425708	22433575	22425972	22426597	625	increase
maker-chr4-augustus-gene-126.12	chr4	12608219	12610330	12609666	12609787	121	increase
augustus_masked-chr4-processed-gene-86.17	chr4	8647957	8648490	8647269	8648345	389	decrease
maker-chr4-augustus-gene-234.16	chr4	23439191	23441330	23440549	23441800	781	increase
augustus_masked-chr4-processed-gene-76.3	chr4	7680213	7684086	7682533	7683107	574	increase
