geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
augustus_masked-chr4-processed-gene-59.8	chr4	5967850	5968368	5967689	5967864	15	decrease
augustus_masked-chr4-processed-gene-83.9	chr4	8319845	8320477	8319487	8320204	360	increase
maker-chr4-augustus-gene-33.26	chr4	3311093	3311857	3310853	3312086	765	decrease
maker-chr4-augustus-gene-34.15	chr4	3450402	3451523	3451261	3451626	262	increase
augustus_masked-chr4-processed-gene-143.10	chr4	14354046	14362408	14361545	14362319	774	decrease
maker-chr4-augustus-gene-36.2	chr4	3609631	3614335	3612890	3613599	709	increase
maker-chr4-augustus-gene-210.10	chr4	21021615	21024151	21021379	21021865	251	increase
maker-chr4-augustus-gene-144.8_maker-chr4-augustus-gene-144.10	chr4	14375879	14407101	14393297	14393635	338	increase
maker-chr4-augustus-gene-18.16	chr4	1884016	1886267	1884222	1884530	308	increase
maker-chr4-augustus-gene-144.5	chr4	14417471	14422504	14422322	14422626	182	decrease
augustus_masked-chr4-processed-gene-47.20	chr4	4775832	4776264	4775394	4775840	9	increase
augustus_masked-chr4-processed-gene-142.14	chr4	14242452	14245347	14244037	14244595	558	decrease
augustus_masked-chr4-processed-gene-169.6	chr4	16913522	16917595	16915526	16916101	575	decrease
augustus_masked-chr4-processed-gene-41.16	chr4	4111683	4113426	4112453	4113015	562	decrease
augustus_masked-chr4-processed-gene-257.6	chr4	25745441	25750647	25747484	25747598	114	increase
maker-chr4-augustus-gene-257.28	chr4	25764212	25764813	25764457	25765023	356	increase
maker-chr4-augustus-gene-172.32	chr4	17245183	17246431	17244894	17245213	31	increase
augustus_masked-chr4-processed-gene-31.9	chr4	3149881	3150472	3150186	3150749	286	increase
maker-chr4-augustus-gene-68.0	chr4	6798389	6802031	6801311	6801797	486	increase
augustus_masked-chr4-processed-gene-17.15	chr4	1724104	1726173	1725832	1726636	341	increase
maker-chr4-augustus-gene-123.12	chr4	12381034	12382968	12380729	12381232	199	increase
augustus_masked-chr1-processed-gene-104.18	chr1	10444415	10448605	10447104	10447989	885	increase
maker-chr1-augustus-gene-202.18	chr1	20241122	20243074	20240235	20241140	19	increase
maker-chr1-augustus-gene-14.41	chr1	1438590	1443484	1439163	1439214	51	decrease
maker-chr1-augustus-gene-53.9	chr1	5337222	5341826	5339848	5340168	320	increase
augustus_masked-chr1-processed-gene-107.6	chr1	10718179	10722343	10720263	10720804	541	decrease
maker-chr1-augustus-gene-280.18_maker-chr1-augustus-gene-280.19	chr1	28001365	28038195	28005761	28006214	453	increase
maker-chr1-augustus-gene-280.18_maker-chr1-augustus-gene-280.19	chr1	28001365	28038195	28008689	28009216	527	increase
maker-chr1-augustus-gene-280.18_maker-chr1-augustus-gene-280.19	chr1	28001365	28038195	28035452	28035610	158	increase
maker-chr1-augustus-gene-315.18	chr1	31499269	31503416	31502203	31502395	192	decrease
augustus_masked-chr1-processed-gene-163.6	chr1	16324628	16326412	16324902	16326499	1510	increase
maker-chr1-augustus-gene-305.5_maker-chr1-augustus-gene-305.6	chr1	30526863	30530021	30526472	30526992	130	increase
maker-chr1-augustus-gene-4.9	chr1	421402	422735	422702	423564	33	increase
