geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G023261	chr16	10923787	10924577	10923741	10923971	185	decrease
AlMed_G022440	chr16	657941	660674	657960	658744	784	increase
AlMed_G023938	chr16	14845803	14849220	14845797	14846629	827	increase
AlMed_G023938	chr16	14845803	14849220	14848584	14850018	636	increase
AlMed_G023166	chr16	10134138	10134499	10134125	10134445	308	increase
AlMed_G023483_AlMed_G023484	chr16	12277818	12280877	12277999	12278402	403	decrease
AlMed_G022368	chr16	269745	272745	269961	270996	1035	decrease
AlMed_G022368	chr16	269745	272745	272205	272348	143	increase
AlMed_G022777	chr16	3079728	3081250	3080662	3080980	318	increase
AlMed_G023183	chr16	10313244	10317727	10315311	10315761	450	increase
AlMed_G023145	chr16	9959964	9965479	9962516	9962826	310	increase
AlMed_G022884	chr16	4291020	4294976	4288026	4291040	21	increase
AlMed_G023000	chr16	8699194	8703851	8701770	8702392	622	increase
AlMed_G023000	chr16	8699194	8703851	8703206	8704154	645	decrease
AlMed_G022779	chr16	3085772	3086921	3085619	3085837	66	decrease
AlMed_G023459	chr16	12156757	12158607	12156618	12157917	1161	increase
AlMed_G022872	chr16	4057797	4059639	4057505	4058090	294	increase
AlMed_G022737	chr16	2761565	2763181	2762101	2762293	192	increase
AlMed_G024137	chr16	15872604	15876785	15872153	15872664	61	increase
AlMed_G023015	chr16	8929751	8934121	8930085	8930682	597	increase
AlMed_G023300	chr16	11160710	11161911	11160610	11161341	632	decrease
AlMed_G023615	chr16	13041241	13050108	13044954	13048434	3480	increase
AlMed_G023615	chr16	13041241	13050108	13040870	13043522	2282	increase
AlMed_G023349	chr16	11481056	11483326	11477922	11481108	53	increase
AlMed_G022676	chr16	2232554	2236436	2232379	2233016	463	increase
AlMed_G022811	chr16	3312465	3313127	3312903	3313259	224	increase
AlMed_G022475	chr16	852544	854243	852659	854701	1584	increase
AlMed_G022981_AlMed_G022982	chr16	8508391	8512250	8508348	8508616	226	decrease
