seqnames,start,end,width,strand,dens,window_scores,coverage
chr1,1,100000,100000,*,39939,2223753,55.6787350709833
chr1,100001,200000,100000,*,39124,2177696,55.6613843165321
chr1,200001,300000,100000,*,37426,2133294,57.0003206327152
chr1,300001,400000,100000,*,35731,1976901,55.3273348073102
chr1,400001,500000,100000,*,36447,2093507,57.4397618459681
chr1,500001,600000,100000,*,34896,1935834,55.4743810178817
chr1,600001,700000,100000,*,34273,1880173,54.8587226096344
chr1,700001,800000,100000,*,34749,1932609,55.6162479495813
chr1,800001,900000,100000,*,35766,2004471,56.044036235531
chr1,900001,1000000,100000,*,36298,1922652,52.9685382114717
chr1,1000001,1100000,100000,*,36627,1983509,54.154285090234
chr1,1100001,1200000,100000,*,37109,2085585,56.2015953003315
chr1,1200001,1300000,100000,*,35349,1966337,55.6263826416589
chr1,1300001,1400000,100000,*,34862,1873974,53.7540588606506
chr1,1400001,1500000,100000,*,38254,2224474,58.1501019501229
chr1,1500001,1600000,100000,*,36167,2029307,56.1093538308403
chr1,1600001,1700000,100000,*,37251,1952994,52.4279616654586
chr1,1700001,1800000,100000,*,35429,1975755,55.7666036297948
chr1,1800001,1900000,100000,*,37224,2199140,59.0785514721685
chr1,1900001,2000000,100000,*,37464,3148807,84.0488735853086
chr1,2000001,2100000,100000,*,36136,1979531,54.7800254593757
chr1,2100001,2200000,100000,*,36949,2063977,55.860158596985
chr1,2200001,2300000,100000,*,36969,2046984,55.3702832102572
chr1,2300001,2400000,100000,*,36655,1957435,53.4015823216478
chr1,2400001,2500000,100000,*,37096,2083294,56.1595320250162
chr1,2500001,2600000,100000,*,36573,2044019,55.8887430618216
chr1,2600001,2700000,100000,*,36701,2057954,56.0735129832975
chr1,2700001,2800000,100000,*,37955,2200300,57.9712817810565
chr1,2800001,2900000,100000,*,38521,2157022,55.9960021806288
chr1,2900001,3000000,100000,*,37973,2203179,58.019619203118
chr1,3000001,3100000,100000,*,36653,2067238,56.4002400894879
chr1,3100001,3200000,100000,*,36279,2009758,55.3972821742606
chr1,3200001,3300000,100000,*,37057,2161543,58.3302210108751
chr1,3300001,3400000,100000,*,35990,2001352,55.6085579327591
chr1,3400001,3500000,100000,*,36547,2008308,54.9513776780584
chr1,3500001,3600000,100000,*,36953,2081834,56.3373474413444
chr1,3600001,3700000,100000,*,38421,2308680,60.0890138205669
chr1,3700001,3800000,100000,*,37155,2140405,57.6074552550128
chr1,3800001,3900000,100000,*,35778,1983144,55.4291464028174
chr1,3900001,4000000,100000,*,37661,2157058,57.2756432383633
chr1,4000001,4100000,100000,*,36599,2101458,57.4184540561218
chr1,4100001,4200000,100000,*,36379,2081703,57.2226559278705
chr1,4200001,4300000,100000,*,37964,2171469,57.1981087345907
chr1,4300001,4400000,100000,*,35692,1975932,55.360641040009
chr1,4400001,4500000,100000,*,36279,2065804,56.9421428374542
chr1,4500001,4600000,100000,*,38774,2159168,55.6859751379791
chr1,4600001,4700000,100000,*,36563,2031901,55.5726007165714
chr1,4700001,4800000,100000,*,35258,1933654,54.8429859889954
chr1,4800001,4900000,100000,*,35942,2005833,55.8074954092705
chr1,4900001,5000000,100000,*,37410,2083074,55.6822774659182
chr1,5000001,5100000,100000,*,36268,1986811,54.7813775228852
chr1,5100001,5200000,100000,*,37487,2037098,54.3414517032571
chr1,5200001,5300000,100000,*,36732,1972440,53.6981378634433
chr1,5300001,5400000,100000,*,35188,1974911,56.1245595089235
chr1,5400001,5500000,100000,*,36920,2131071,57.7213163596966
chr1,5500001,5600000,100000,*,34467,1836020,53.2689238982215
chr1,5600001,5700000,100000,*,36919,2060152,55.8019447980715
chr1,5700001,5800000,100000,*,37388,2085072,55.7684818658393
chr1,5800001,5900000,100000,*,35494,1820494,51.2901898912492
chr1,5900001,6000000,100000,*,35576,1986298,55.8325275466607
chr1,6000001,6100000,100000,*,37867,2112791,55.7950458182586
chr1,6100001,6200000,100000,*,35247,1842028,52.260561182512
chr1,6200001,6300000,100000,*,33837,1806973,53.40228152614
chr1,6300001,6400000,100000,*,34444,1880496,54.5957496225758
chr1,6400001,6500000,100000,*,36014,2086377,57.9323874048981
chr1,6500001,6600000,100000,*,35314,1952985,55.30342073965
chr1,6600001,6700000,100000,*,35086,1843324,52.5373083281081
chr1,6700001,6800000,100000,*,35864,1969213,54.9077905420477
chr1,6800001,6900000,100000,*,35418,2024733,57.1667796035914
chr1,6900001,7000000,100000,*,36044,2058151,57.1010709133282
chr1,7000001,7100000,100000,*,36105,1989704,55.108821492868
chr1,7100001,7200000,100000,*,40413,2412439,59.6946279662485
chr1,7200001,7300000,100000,*,38386,2174689,56.6531808471839
chr1,7300001,7400000,100000,*,37259,2081616,55.8688102203494
chr1,7400001,7500000,100000,*,37034,2087100,56.3563212183399
chr1,7500001,7600000,100000,*,39026,2316213,59.3505099164659
chr1,7600001,7700000,100000,*,36838,2065952,56.0820891470764
chr1,7700001,7800000,100000,*,37260,2151910,57.7538915727322
chr1,7800001,7900000,100000,*,36342,2104461,57.907132243685
chr1,7900001,8000000,100000,*,35644,1980692,55.5687352710134
chr1,8000001,8100000,100000,*,37269,15412098,413.536665861708
chr1,8100001,8200000,100000,*,33565,1772682,52.813406822583
chr1,8200001,8300000,100000,*,37321,2077862,55.6754106267249
chr1,8300001,8400000,100000,*,36405,2050858,56.3345144897679
chr1,8400001,8500000,100000,*,37621,2143790,56.9838653943276
chr1,8500001,8600000,100000,*,36645,2171302,59.2523400191022
chr1,8600001,8700000,100000,*,38524,2192597,56.9150918907694
chr1,8700001,8800000,100000,*,34515,1857218,53.8090105751123
chr1,8800001,8900000,100000,*,33952,1855823,54.6601967483506
chr1,8900001,9000000,100000,*,35667,1970547,55.2484649676171
chr1,9000001,9100000,100000,*,35982,1964224,54.5890723139347
chr1,9100001,9200000,100000,*,36310,2083017,57.3675846874139
chr1,9200001,9300000,100000,*,35072,2027091,57.7979869981752
chr1,9300001,9400000,100000,*,36622,2080759,56.8171863906941
chr1,9400001,9500000,100000,*,34972,1899666,54.3196271302756
chr1,9500001,9600000,100000,*,35617,1939698,54.4598927478451
chr1,9600001,9700000,100000,*,36160,2027973,56.0833241150442
chr1,9700001,9800000,100000,*,36645,2175221,59.3592850320644
chr1,9800001,9900000,100000,*,35824,1952775,54.5102445288075
chr1,9900001,10000000,100000,*,34421,1883227,54.7115714244211
chr1,10000001,10100000,100000,*,36244,2129341,58.7501655446419
chr1,10100001,10200000,100000,*,35649,1923464,53.9556228786221
chr1,10200001,10300000,100000,*,38262,2593833,67.7913595734671
chr1,10300001,10400000,100000,*,36352,2057647,56.6034055897887
chr1,10400001,10500000,100000,*,34209,1843175,53.8798269461253
chr1,10500001,10600000,100000,*,36359,1967761,54.1203278417998
chr1,10600001,10700000,100000,*,34488,1813502,52.5835652980747
chr1,10700001,10800000,100000,*,34818,1909226,54.8344534436211
chr1,10800001,10900000,100000,*,36249,1968779,54.3126431073961
chr1,10900001,11000000,100000,*,36896,1977871,53.6066511274935
chr1,11000001,11100000,100000,*,35619,1979014,55.5606277548499
chr1,11100001,11200000,100000,*,33518,1688408,50.3731726236649
chr1,11200001,11300000,100000,*,35792,1946100,54.3724854716138
chr1,11300001,11400000,100000,*,34794,1883807,54.1417198367535
chr1,11400001,11500000,100000,*,36572,2012083,55.0170348900798
chr1,11500001,11600000,100000,*,37449,2001362,53.4423349088093
chr1,11600001,11700000,100000,*,34098,1814934,53.2269927855006
chr1,11700001,11800000,100000,*,33804,1517549,44.892586676133
chr1,11800001,11900000,100000,*,36534,1523391,41.6978978485794
chr1,11900001,12000000,100000,*,36801,1706367,46.3674084943344
chr1,12000001,12100000,100000,*,34194,1231783,36.0233666725156
chr1,12100001,12200000,100000,*,34073,1514279,44.4421976344907
chr1,12200001,12300000,100000,*,34746,1832987,52.7538997294653
chr1,12300001,12400000,100000,*,35776,1989117,55.5992005813954
chr1,12400001,12500000,100000,*,35331,1838077,52.0244827488608
chr1,12500001,12600000,100000,*,36384,2061446,56.6580364995602
chr1,12600001,12700000,100000,*,36546,2066471,56.5443824221529
chr1,12700001,12800000,100000,*,37250,2100730,56.3954362416107
chr1,12800001,12900000,100000,*,36108,1958930,54.2519663232525
chr1,12900001,13000000,100000,*,35613,1861926,52.2822003201078
chr1,13000001,13100000,100000,*,33475,1642475,49.0657206870799
chr1,13100001,13200000,100000,*,37065,2042290,55.1002293268582
chr1,13200001,13300000,100000,*,37317,2110738,56.5623710373288
chr1,13300001,13400000,100000,*,38054,1954125,51.3513691070584
chr1,13400001,13500000,100000,*,37345,2029678,54.3493908153702
chr1,13500001,13600000,100000,*,36462,1991490,54.618232680599
chr1,13600001,13700000,100000,*,35108,1918872,54.6562606813262
chr1,13700001,13800000,100000,*,37684,2057720,54.6046067296465
chr1,13800001,13900000,100000,*,34006,1838949,54.0771922601894
chr1,13900001,14000000,100000,*,35836,1871776,52.2317222904342
chr1,14000001,14100000,100000,*,35227,1826862,51.8597098816249
chr1,14100001,14200000,100000,*,34089,1811696,53.146058845962
chr1,14200001,14300000,100000,*,35638,1864223,52.3099781132499
chr1,14300001,14400000,100000,*,34533,1692637,49.015058060406
chr1,14400001,14500000,100000,*,35016,1937829,55.3412440027416
chr1,14500001,14600000,100000,*,33523,1790004,53.3962950809892
chr1,14600001,14700000,100000,*,34202,1767904,51.6900766037074
chr1,14700001,14800000,100000,*,36649,2061269,56.2435264263691
chr1,14800001,14900000,100000,*,34386,2237787,65.0784330832315
chr1,14900001,15000000,100000,*,34803,1802470,51.7906502313019
chr1,15000001,15100000,100000,*,37383,2033931,54.4079126875853
chr1,15100001,15200000,100000,*,34111,1782627,52.2595936794582
chr1,15200001,15300000,100000,*,36696,1938325,52.8211521691738
chr1,15300001,15400000,100000,*,34588,1828473,52.8643749277206
chr1,15400001,15500000,100000,*,36351,1939354,53.3507743941019
chr1,15500001,15600000,100000,*,36237,1927885,53.2021138615228
chr1,15600001,15700000,100000,*,35072,1864320,53.1569343065693
chr1,15700001,15800000,100000,*,36278,1900658,52.3914769281658
chr1,15800001,15900000,100000,*,36087,1897529,52.5820655637764
chr1,15900001,16000000,100000,*,34377,2113431,61.4780521860546
chr1,16000001,16100000,100000,*,34867,1855461,53.2153899102303
chr1,16100001,16200000,100000,*,32703,1663646,50.8713573678256
chr1,16200001,16300000,100000,*,39195,2150331,54.862380405664
chr1,16300001,16400000,100000,*,36807,2454228,66.6782948895591
chr1,16400001,16500000,100000,*,34419,1903750,55.3110200761207
chr1,16500001,16600000,100000,*,35905,1997991,55.6465951817296
chr1,16600001,16700000,100000,*,35388,1846060,52.1662710523341
chr1,16700001,16800000,100000,*,35110,1878740,53.5101110794645
chr1,16800001,16900000,100000,*,34890,1967572,56.3935798222987
chr1,16900001,17000000,100000,*,35248,1852993,52.5701600090785
chr1,17000001,17100000,100000,*,34923,1820601,52.1318615239241
chr1,17100001,17200000,100000,*,34864,1854411,53.1898519963286
chr1,17200001,17300000,100000,*,33701,1732671,51.4130441233198
chr1,17300001,17400000,100000,*,35841,2017151,56.2805446276611
chr1,17400001,17500000,100000,*,36347,2047604,56.3348832090681
chr1,17500001,17600000,100000,*,35300,1856808,52.6007932011331
chr1,17600001,17700000,100000,*,38403,2130562,55.4790511157982
chr1,17700001,17800000,100000,*,35826,1960640,54.7267347736281
