geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G023966	chr16	14967146	14972178	14967796	14968493	697	decrease
AlMed_G023660	chr16	13353576	13358653	13358162	13358850	491	increase
AlMed_G023701	chr16	13577876	13578613	13578537	13578746	76	increase
AlMed_G024087	chr16	15588815	15591113	15589666	15590662	996	increase
AlMed_G024101	chr16	15659728	15663846	15661231	15661271	40	increase
AlMed_G024101	chr16	15659728	15663846	15662601	15662834	233	increase
AlMed_G024871	chr16	19388912	19394771	19393724	19394248	524	decrease
AlMed_G022952	chr16	7969186	7972376	7970292	7971102	810	increase
AlMed_G024415	chr16	17247822	17250738	17249137	17249747	610	increase
AlMed_G024561	chr16	17965387	17971980	17967186	17967593	407	increase
AlMed_G022440	chr16	657941	660674	657583	658533	593	increase
AlMed_G022440	chr16	657941	660674	659312	660184	872	decrease
AlMed_G023938	chr16	14845803	14849220	14845467	14846688	886	increase
AlMed_G023938	chr16	14845803	14849220	14848093	14849175	1082	increase
AlMed_G022660	chr16	2157688	2165428	2160736	2161581	845	increase
AlMed_G022660	chr16	2157688	2165428	2162696	2163114	418	increase
AlMed_G024371	chr16	16968216	16972650	16969744	16970159	415	increase
AlMed_G024371	chr16	16968216	16972650	16970660	16971248	588	decrease
AlMed_G022431	chr16	603670	608350	605491	606452	961	increase
AlMed_G024579	chr16	18055533	18058459	18057878	18058055	177	decrease
AlMed_G023604	chr16	12975784	12984153	12976818	12978745	1927	increase
AlMed_G023604	chr16	12975784	12984153	12982101	12983569	1468	decrease
AlMed_G024206	chr16	16158414	16161511	16159365	16160063	698	increase
AlMed_G024206	chr16	16158414	16161511	16161000	16161195	195	increase
AlMed_G024185	chr16	16046374	16047210	16046109	16046399	26	increase
AlMed_G024476	chr16	17539569	17541095	17540353	17540632	279	decrease
AlMed_G023166	chr16	10134138	10134499	10134108	10134778	362	increase
AlMed_G022336	chr16	97540	103822	99363	100224	861	decrease
AlMed_G022336	chr16	97540	103822	102207	102545	338	decrease
AlMed_G022336	chr16	97540	103822	97954	98558	604	increase
AlMed_G023368	chr16	11620773	11623482	11621788	11622500	712	increase
AlMed_G023368	chr16	11620773	11623482	11623357	11623407	50	increase
AlMed_G023004	chr16	8766685	8773854	8769081	8769230	149	increase
AlMed_G023004	chr16	8766685	8773854	8770425	8771241	816	increase
AlMed_G023004	chr16	8766685	8773854	8772625	8773387	762	increase
AlMed_G023004	chr16	8766685	8773854	8773816	8774294	38	decrease
AlMed_G023578	chr16	12831258	12833471	12831230	12831547	290	increase
AlMed_G023578	chr16	12831258	12833471	12833201	12833316	115	decrease
AlMed_G024766	chr16	18897736	18899984	18898692	18898876	184	decrease
AlMed_G023152	chr16	9993842	9995186	9994508	9995281	678	decrease
AlMed_G023785	chr16	14145297	14145632	14145194	14145440	144	decrease
AlMed_G023522	chr16	12529410	12532916	12531211	12531675	464	increase
AlMed_G023522	chr16	12529410	12532916	12532259	12532398	139	increase
AlMed_G025061	chr16	20235305	20236903	20235534	20236574	1040	increase
AlMed_G023836	chr16	14399497	14403372	14400574	14403175	2601	increase
AlMed_G024369	chr16	16956906	16963737	16958997	16959661	664	increase
AlMed_G024369	chr16	16956906	16963737	16961200	16961694	494	increase
AlMed_G022578	chr16	1625772	1627740	1627316	1627970	424	increase
AlMed_G024827	chr16	19151354	19154116	19152623	19152902	279	decrease
AlMed_G022785	chr16	3117331	3117804	3117463	3117652	189	decrease
AlMed_G022522	chr16	1240098	1243093	1240593	1240848	255	decrease
AlMed_G023227_AlMed_G023228	chr16	10653008	10658294	10655970	10656235	265	increase
AlMed_G022620_AlMed_G022621	chr16	1940503	1943200	1942615	1943113	498	increase
AlMed_G024738	chr16	18781861	18783735	18783238	18783314	76	decrease
AlMed_G022836	chr16	3623381	3627484	3624774	3625639	865	decrease
AlMed_G022836	chr16	3623381	3627484	3626613	3626836	223	decrease
AlMed_G023868	chr16	14547914	14551571	14548739	14549097	358	increase
AlMed_G024012	chr16	15215928	15218936	15218736	15218824	88	decrease
AlMed_G022497	chr16	1020595	1025310	1020540	1020607	13	increase
AlMed_G022497	chr16	1020595	1025310	1021397	1021469	72	decrease
AlMed_G024222	chr16	16235543	16237495	16236503	16236890	387	increase
AlMed_G023483_AlMed_G023484	chr16	12277818	12280877	12277178	12280298	2481	decrease
AlMed_G023409	chr16	11823142	11824006	11823153	11823811	658	decrease
AlMed_G024869	chr16	19377515	19379957	19378829	19378875	46	decrease
AlMed_G022368	chr16	269745	272745	269916	270991	1075	decrease
AlMed_G024807	chr16	19071497	19077434	19075387	19075829	442	increase
AlMed_G025051	chr16	20193274	20196183	20194449	20195250	801	increase
AlMed_G025051	chr16	20193274	20196183	20195794	20196215	389	decrease
AlMed_G024399	chr16	17134340	17136777	17134680	17135282	602	decrease
AlMed_G024399	chr16	17134340	17136777	17136277	17136514	237	increase
AlMed_G024359	chr16	16916698	16919474	16918316	16918740	424	increase
AlMed_G024177	chr16	16024023	16025688	16024986	16025353	367	increase
AlMed_G023647	chr16	13294636	13297677	13296352	13296693	341	decrease
AlMed_G023647	chr16	13294636	13297677	13297537	13297650	113	decrease
