seqnames,start,end,width,strand,dens,window_scores,coverage
chr1,1,100000,100000,*,33042,165156,4.998365716361
chr1,100001,200000,100000,*,35483,174542,4.91903164895866
chr1,200001,300000,100000,*,35162,190419,5.41547693532791
chr1,300001,400000,100000,*,33778,210185,6.2225412990704
chr1,400001,500000,100000,*,34754,209043,6.01493353283075
chr1,500001,600000,100000,*,33756,217986,6.4576964095272
chr1,600001,700000,100000,*,33200,210912,6.35277108433735
chr1,700001,800000,100000,*,33462,216623,6.47370151216305
chr1,800001,900000,100000,*,34457,210016,6.09501697768233
chr1,900001,1000000,100000,*,32411,194817,6.01082965659807
chr1,1000001,1100000,100000,*,35158,204465,5.81560384549747
chr1,1100001,1200000,100000,*,35361,201690,5.703741410028
chr1,1200001,1300000,100000,*,33785,215505,6.37871836613882
chr1,1300001,1400000,100000,*,33273,206054,6.19282902052715
chr1,1400001,1500000,100000,*,32389,162380,5.01343048565871
chr1,1500001,1600000,100000,*,33612,202490,6.0243365464715
chr1,1600001,1700000,100000,*,33224,189178,5.69401637370575
chr1,1700001,1800000,100000,*,34108,212638,6.23425589304562
chr1,1800001,1900000,100000,*,36051,205334,5.69565337993398
chr1,1900001,2000000,100000,*,32888,242476,7.37278034541474
chr1,2000001,2100000,100000,*,34022,210796,6.19587325847981
chr1,2100001,2200000,100000,*,25912,139212,5.37249150972522
chr1,2200001,2300000,100000,*,35520,196979,5.54557995495496
chr1,2300001,2400000,100000,*,34309,185198,5.39794223090151
chr1,2400001,2500000,100000,*,36024,196450,5.45330890517433
chr1,2500001,2600000,100000,*,35215,200316,5.68837143262814
chr1,2600001,2700000,100000,*,35084,197852,5.63937977425607
chr1,2700001,2800000,100000,*,36473,195041,5.3475447591369
chr1,2800001,2900000,100000,*,33305,178177,5.34985737877196
chr1,2900001,3000000,100000,*,36044,188759,5.23690489401842
chr1,3000001,3100000,100000,*,32877,182862,5.56200383246647
chr1,3100001,3200000,100000,*,34076,200563,5.88575537034863
chr1,3200001,3300000,100000,*,31947,176888,5.5369205246189
chr1,3300001,3400000,100000,*,27771,167293,6.02401786035793
chr1,3400001,3500000,100000,*,33186,189019,5.6957451937564
chr1,3500001,3600000,100000,*,35797,206419,5.76637707070425
chr1,3600001,3700000,100000,*,34485,190805,5.53298535595186
chr1,3700001,3800000,100000,*,30858,163649,5.30329250113423
chr1,3800001,3900000,100000,*,33929,198550,5.85192608093371
chr1,3900001,4000000,100000,*,34781,183672,5.28081423765849
chr1,4000001,4100000,100000,*,35056,200306,5.71388635326335
chr1,4100001,4200000,100000,*,34797,204900,5.88843865850504
chr1,4200001,4300000,100000,*,35665,189640,5.31725781578578
chr1,4300001,4400000,100000,*,31774,182132,5.73210801284069
chr1,4400001,4500000,100000,*,35059,201832,5.75692404232865
chr1,4500001,4600000,100000,*,32537,164049,5.04192150474844
chr1,4600001,4700000,100000,*,33757,193741,5.73928370412063
chr1,4700001,4800000,100000,*,33020,207048,6.27038158691702
chr1,4800001,4900000,100000,*,34765,203252,5.84645476772616
chr1,4900001,5000000,100000,*,35842,198067,5.52611461413984
chr1,5000001,5100000,100000,*,33831,195201,5.76988560787443
chr1,5100001,5200000,100000,*,30416,152367,5.00943582325092
chr1,5200001,5300000,100000,*,33441,195750,5.85359289494931
