geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-183.11	chr4	18290471	18292050	18291722	18291825	103	decrease
maker-chr4-augustus-gene-171.18	chr4	17128049	17129976	17128693	17128890	197	decrease
augustus_masked-chr4-processed-gene-251.35	chr4	25183596	25188000	25184811	25185169	358	increase
augustus_masked-chr4-processed-gene-251.35	chr4	25183596	25188000	25186258	25186723	465	increase
augustus_masked-chr4-processed-gene-15.15	chr4	1530203	1533191	1530121	1530420	218	decrease
augustus_masked-chr4-processed-gene-15.15	chr4	1530203	1533191	1531495	1532788	1293	decrease
maker-chr4-augustus-gene-27.16	chr4	2771359	2773461	2771716	2771778	62	decrease
augustus_masked-chr4-processed-gene-240.4	chr4	24079790	24083451	24081403	24082358	955	decrease
maker-chr4-augustus-gene-177.41	chr4	17762073	17765329	17762998	17763051	53	decrease
maker-chr4-augustus-gene-182.32	chr4	18245876	18247032	18245887	18247522	1145	decrease
augustus_masked-chr4-processed-gene-32.23	chr4	3275564	3276892	3275752	3275781	29	increase
maker-chr4-augustus-gene-224.11	chr4	22401243	22402593	22401496	22401867	371	increase
maker-chr4-augustus-gene-130.14	chr4	13061882	13067075	13062562	13062679	117	decrease
maker-chr4-augustus-gene-130.14	chr4	13061882	13067075	13063577	13064280	703	increase
maker-chr4-augustus-gene-130.14	chr4	13061882	13067075	13066240	13067094	835	decrease
maker-chr4-augustus-gene-210.9	chr4	21013698	21016646	21015500	21015726	226	decrease
maker-chr4-augustus-gene-171.27	chr4	17120232	17123038	17120451	17121096	645	decrease
maker-chr4-augustus-gene-171.27	chr4	17120232	17123038	17121552	17121807	255	increase
maker-chr4-augustus-gene-8.13	chr4	833479	834661	833529	833798	269	decrease
maker-chr4-augustus-gene-236.30	chr4	23623558	23625447	23624038	23624214	176	decrease
maker-chr4-augustus-gene-236.30	chr4	23623558	23625447	23624583	23624770	187	increase
augustus_masked-chr4-processed-gene-253.25	chr4	25341710	25343748	25343239	25343382	143	decrease
maker-chr4-augustus-gene-234.3	chr4	23361399	23363423	23362979	23363084	105	increase
maker-chr4-augustus-gene-252.37	chr4	25208610	25211327	25208944	25209538	594	decrease
maker-chr4-augustus-gene-252.37	chr4	25208610	25211327	25210684	25210853	169	decrease
maker-chr4-augustus-gene-220.1	chr4	21972900	21973821	21970984	21973085	186	decrease
maker-chr4-augustus-gene-44.6	chr4	4466613	4471248	4467273	4467893	620	decrease
maker-chr4-augustus-gene-185.11	chr4	18515462	18521866	18517959	18518600	641	decrease
maker-chr4-augustus-gene-185.11	chr4	18515462	18521866	18519043	18519248	205	increase
maker-chr4-augustus-gene-185.11	chr4	18515462	18521866	18519566	18519655	89	decrease
maker-chr4-augustus-gene-185.11	chr4	18515462	18521866	18520681	18520900	219	decrease
augustus_masked-chr4-processed-gene-198.24	chr4	19840010	19840786	19839930	19841084	777	increase
maker-chr4-augustus-gene-220.14	chr4	21999292	22002654	21999388	22001114	1726	increase
augustus_masked-chr4-processed-gene-233.12	chr4	23304813	23309526	23308817	23308981	164	increase
maker-chr4-augustus-gene-127.3	chr4	12781251	12784950	12783563	12783983	420	increase
maker-chr4-augustus-gene-32.6	chr4	3242121	3244584	3242820	3243685	865	decrease
maker-chr4-augustus-gene-214.24	chr4	21414142	21415136	21414650	21414950	300	decrease
augustus_masked-chr4-processed-gene-245.6	chr4	24509990	24511188	24511116	24511242	72	decrease
maker-chr4-augustus-gene-142.10	chr4	14279446	14280219	14278552	14279598	153	decrease
augustus_masked-chr4-processed-gene-200.14	chr4	20081353	20084855	20082141	20082482	341	decrease
augustus_masked-chr4-processed-gene-200.14	chr4	20081353	20084855	20083950	20084261	311	decrease
maker-chr4-augustus-gene-10.4	chr4	1032601	1033936	1033433	1034230	503	decrease
maker-chr4-augustus-gene-199.33	chr4	19985657	19988919	19986332	19986653	321	increase
maker-chr4-augustus-gene-2.15	chr4	260773	263575	261888	262458	570	decrease
maker-chr4-augustus-gene-139.12	chr4	13903439	13908978	13904246	13904470	224	increase
maker-chr4-augustus-gene-139.12	chr4	13903439	13908978	13908114	13908230	116	increase
augustus_masked-chr4-processed-gene-198.19	chr4	19801696	19806893	19802438	19802829	391	decrease
maker-chr4-augustus-gene-127.0	chr4	12693219	12696604	12694290	12694837	547	decrease
maker-chr4-augustus-gene-127.0	chr4	12693219	12696604	12695547	12695922	375	increase
