geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G023660	chr16	13353576	13358653	13358652	13359927	1	increase
AlMed_G022743	chr16	2805057	2805284	2805198	2805791	86	decrease
AlMed_G022440	chr16	657941	660674	657848	659040	1100	increase
AlMed_G022440	chr16	657941	660674	659418	660036	618	decrease
AlMed_G023938	chr16	14845803	14849220	14845576	14846955	1153	increase
AlMed_G023938	chr16	14845803	14849220	14848283	14850112	937	increase
AlMed_G023166	chr16	10134138	10134499	10133938	10134468	331	increase
AlMed_G022336	chr16	97540	103822	99447	100185	738	decrease
AlMed_G022336	chr16	97540	103822	98030	98610	580	increase
AlMed_G023152	chr16	9993842	9995186	9994388	9994661	273	decrease
AlMed_G023483_AlMed_G023484	chr16	12277818	12280877	12277541	12280510	2693	decrease
AlMed_G022368	chr16	269745	272745	269890	270972	1082	decrease
AlMed_G024016	chr16	15226564	15227935	15226288	15226672	109	decrease
AlMed_G022777	chr16	3079728	3081250	3079985	3081239	1254	increase
AlMed_G024859	chr16	19305519	19308934	19308079	19308461	382	increase
AlMed_G023183	chr16	10313244	10317727	10315372	10316426	1054	increase
AlMed_G023291	chr16	11078603	11084192	11081910	11082244	334	increase
AlMed_G023145	chr16	9959964	9965479	9962552	9962787	235	increase
AlMed_G022884	chr16	4291020	4294976	4288177	4291399	380	increase
AlMed_G022884	chr16	4291020	4294976	4294335	4294925	590	increase
AlMed_G022956	chr16	8018745	8020507	8020496	8020900	11	increase
AlMed_G022690	chr16	2342188	2347767	2342059	2342196	9	increase
AlMed_G024501	chr16	17660548	17664875	17661924	17662176	252	decrease
AlMed_G023000	chr16	8699194	8703851	8701645	8702168	523	increase
AlMed_G023000	chr16	8699194	8703851	8702659	8704067	1192	decrease
AlMed_G024161	chr16	15962665	15963247	15962351	15962804	140	increase
AlMed_G023808	chr16	14273688	14274716	14273900	14274133	233	decrease
AlMed_G023552	chr16	12694293	12696127	12694821	12694892	71	decrease
AlMed_G022469	chr16	830516	834407	830294	830890	375	decrease
AlMed_G024266	chr16	16421737	16428806	16422178	16422680	502	decrease
AlMed_G022427	chr16	562631	565843	562765	563492	727	decrease
AlMed_G023459	chr16	12156757	12158607	12158003	12158770	604	decrease
AlMed_G022737	chr16	2761565	2763181	2762969	2763480	212	increase
AlMed_G024951	chr16	19718070	19718865	19718121	19719045	744	decrease
AlMed_G022499	chr16	1064354	1068868	1064435	1064696	261	decrease
AlMed_G022459	chr16	784204	786960	784359	784525	166	increase
AlMed_G022902	chr16	4482070	4482619	4482156	4483695	463	increase
AlMed_G024521	chr16	17736773	17743543	17743396	17743603	147	increase
AlMed_G022545	chr16	1415466	1416963	1415456	1415570	105	increase
AlMed_G022545	chr16	1415466	1416963	1416812	1417069	151	increase
AlMed_G023934	chr16	14840034	14840939	14838914	14843289	906	decrease
AlMed_G023795	chr16	14213179	14214073	14213656	14214151	417	increase
AlMed_G023015	chr16	8929751	8934121	8929243	8930975	1225	increase
AlMed_G023300	chr16	11160710	11161911	11160598	11161791	1082	decrease
AlMed_G023615	chr16	13041241	13050108	13040618	13041447	207	increase
AlMed_G023615	chr16	13041241	13050108	13045071	13048833	3762	increase
AlMed_G022676	chr16	2232554	2236436	2232127	2234644	2091	increase
AlMed_G022676	chr16	2232554	2236436	2235069	2235388	319	decrease
AlMed_G022970	chr16	8241589	8243639	8242458	8243889	1181	decrease
AlMed_G022746	chr16	2812348	2814575	2813132	2813344	212	decrease
AlMed_G024965	chr16	19753356	19753682	19753183	19753736	327	decrease
AlMed_G022742	chr16	2798393	2799394	2799012	2799625	382	decrease
AlMed_G024490	chr16	17599307	17603175	17599633	17599784	151	decrease
AlMed_G022888	chr16	4316368	4318518	4316188	4316487	120	decrease
AlMed_G023523	chr16	12533537	12536756	12534666	12535173	507	increase
AlMed_G022475	chr16	852544	854243	852642	854716	1601	increase
AlMed_G023570	chr16	12805890	12811838	12806296	12806418	122	increase
AlMed_G022860	chr16	3887338	3890310	3886856	3888347	1010	decrease
AlMed_G024555	chr16	17936992	17937802	17937748	17938648	54	increase
AlMed_G022981_AlMed_G022982	chr16	8508391	8512250	8508526	8508741	215	decrease
AlMed_G022981_AlMed_G022982	chr16	8508391	8512250	8509840	8510620	780	decrease
AlMed_G024468_AlMed_G024467	chr16	17498075	17505493	17501450	17501506	56	decrease
AlMed_G023725	chr16	13694416	13694871	13693521	13694562	147	decrease
AlMed_G023068	chr16	9335057	9338523	9338382	9338552	141	decrease
AlMed_G023668	chr16	13397689	13398144	13397802	13398927	342	increase
AlMed_G024627	chr16	18287110	18289987	18289551	18289742	191	increase
AlMed_G024234	chr16	16273428	16276245	16269734	16276007	2580	decrease
AlMed_G022903	chr16	4483184	4483663	4482156	4483695	480	increase
AlMed_G024542	chr16	17874775	17876708	17876526	17876694	168	decrease
AlMed_G023658	chr16	13342413	13343972	13340555	13346558	1560	increase
AlMed_G022781	chr16	3096771	3103406	3099261	3099408	147	decrease
AlMed_G022781	chr16	3096771	3103406	3103356	3103852	50	increase
AlMed_G024007	chr16	15196861	15198297	15198128	15198541	169	increase
AlMed_G022347	chr16	178458	182629	182353	183176	276	increase
AlMed_G022917_AlMed_G022918	chr16	4624488	4633279	4627484	4628369	885	decrease
AlMed_G022890	chr16	4323121	4326293	4322968	4323603	483	decrease
AlMed_G024723	chr16	18719343	18720173	18719677	18720106	429	increase
AlMed_G023553	chr16	12698425	12699356	12698696	12698957	261	decrease
AlMed_G022424	chr16	552616	555596	554864	555292	428	increase
AlMed_G022360_AlMed_G022361	chr16	235370	242675	241627	242032	405	decrease
AlMed_G022518	chr16	1201039	1209830	1202346	1202874	528	increase
AlMed_G023219	chr16	10574497	10575046	10574874	10577513	172	increase
AlMed_G023142	chr16	9949882	9951026	9949572	9950083	202	increase
AlMed_G022753	chr16	2855839	2856279	2852173	2856087	249	increase
AlMed_G024320	chr16	16708897	16713360	16709320	16709923	603	increase
AlMed_G024422_AlMed_G024423	chr16	17270403	17276845	17272082	17272248	166	decrease
AlMed_G022450	chr16	698082	699902	694377	700184	1821	decrease
AlMed_G023040	chr16	9123899	9124150	9123149	9124122	224	decrease
AlMed_G023155	chr16	10009342	10009575	10008329	10009566	225	increase
AlMed_G024292_AlMed_G024293	chr16	16574244	16579238	16576429	16576954	525	increase
AlMed_G024015	chr16	15224250	15226603	15226288	15226672	315	decrease
AlMed_G022460	chr16	787595	789829	789797	790795	32	increase
AlMed_G024541	chr16	17870785	17871593	17870600	17870830	46	decrease
AlMed_G024134	chr16	15867081	15868976	15867813	15868202	389	decrease
AlMed_G023657	chr16	13339122	13340634	13338841	13339333	212	decrease
AlMed_G023657	chr16	13339122	13340634	13340555	13346558	79	increase
AlMed_G022717	chr16	2559430	2560551	2558923	2559836	407	decrease
AlMed_G023348	chr16	11473368	11474711	11472809	11473378	11	decrease
AlMed_G022697	chr16	2391123	2392829	2391357	2392677	1320	increase
AlMed_G023816	chr16	14315977	14316458	14316399	14316869	59	decrease
AlMed_G023659	chr16	13345293	13349608	13340555	13346558	1266	increase
AlMed_G023659	chr16	13345293	13349608	13347824	13348575	751	increase
AlMed_G023118	chr16	9743212	9743628	9743429	9744219	199	increase
AlMed_G023420	chr16	11896826	11899219	11893847	11897138	313	increase
AlMed_G023105	chr16	9658135	9658682	9658036	9658669	535	increase
AlMed_G024265	chr16	16415114	16419021	16415496	16415627	131	decrease
AlMed_G022730	chr16	2681817	2685456	2683523	2685124	1601	increase
AlMed_G023669	chr16	13398397	13399206	13397802	13398927	531	increase
AlMed_G024534	chr16	17824599	17833054	17826924	17828566	1642	decrease
AlMed_G023069	chr16	9377662	9379092	9377744	9378881	1137	increase
AlMed_G023044	chr16	9206664	9210039	9206950	9207759	809	decrease
AlMed_G022925	chr16	5028134	5030337	5030170	5030523	167	decrease
AlMed_G024804	chr16	19051793	19054433	19054060	19054300	240	increase
AlMed_G022546	chr16	1422911	1426917	1426760	1426985	157	increase
AlMed_G022449	chr16	694972	697901	694377	700184	2930	decrease
AlMed_G024777	chr16	18943543	18946511	18943479	18943868	326	decrease
AlMed_G023783	chr16	14129548	14131624	14130566	14131514	948	increase
AlMed_G025111	chr16	20424515	20430769	20429033	20430297	1264	decrease
AlMed_G023921	chr16	14766885	14767884	14766697	14767195	311	increase
AlMed_G022371	chr16	281422	282621	281536	283139	1085	decrease
AlMed_G023985	chr16	15089487	15091047	15090465	15091163	582	increase
AlMed_G023871	chr16	14564600	14568635	14566897	14567230	333	increase
AlMed_G023871	chr16	14564600	14568635	14567889	14568818	746	decrease
AlMed_G025022	chr16	20042222	20044520	20042648	20043428	780	increase
AlMed_G023939	chr16	14849303	14849972	14848283	14850112	670	increase
AlMed_G023371	chr16	11629827	11630879	11630515	11630803	288	decrease
AlMed_G022869	chr16	3982163	3982860	3981772	3982219	57	increase
AlMed_G022408	chr16	480077	482696	480098	480370	272	decrease
AlMed_G024506	chr16	17677728	17683455	17679586	17680192	606	increase
AlMed_G022752	chr16	2853662	2855390	2852173	2856087	1729	increase
AlMed_G024556	chr16	17938216	17939107	17937748	17938648	433	increase
AlMed_G023726	chr16	13695835	13696527	13695739	13696553	693	decrease
AlMed_G022991	chr16	8678009	8679844	8677891	8678294	286	decrease
AlMed_G022991	chr16	8678009	8679844	8679786	8680057	58	decrease
AlMed_G023951	chr16	14918663	14920293	14918682	14919607	925	increase
AlMed_G023937	chr16	14844272	14845736	14844996	14845160	164	decrease
AlMed_G023937	chr16	14844272	14845736	14845576	14846955	160	increase
AlMed_G024600	chr16	18178481	18183073	18178876	18178936	60	increase
AlMed_G024600	chr16	18178481	18183073	18181266	18181363	97	decrease
AlMed_G024201	chr16	16132661	16135439	16131860	16133569	909	increase
AlMed_G024201	chr16	16132661	16135439	16134960	16135565	479	decrease
AlMed_G022331	chr16	69055	70022	68789	69330	276	increase
AlMed_G023472_AlMed_G023473	chr16	12242299	12246931	12245802	12246118	316	increase
AlMed_G023132	chr16	9886722	9895186	9891862	9892084	222	decrease
AlMed_G023132	chr16	9886722	9895186	9893485	9893751	266	decrease
AlMed_G022362	chr16	241993	244027	241627	242032	40	decrease
AlMed_G022580	chr16	1640841	1641307	1640677	1641452	467	increase
AlMed_G023896	chr16	14645421	14648442	14645323	14645787	367	decrease
AlMed_G023229	chr16	10666285	10667286	10667243	10669477	43	increase
AlMed_G022528	chr16	1296069	1297631	1297200	1297590	390	decrease
AlMed_G022998	chr16	8697191	8698113	8697344	8698030	686	increase
AlMed_G023407_AlMed_G023411	chr16	11814074	11851384	11821197	11821972	775	increase
AlMed_G023407_AlMed_G023411	chr16	11814074	11851384	11825673	11826426	753	increase
AlMed_G023407_AlMed_G023411	chr16	11814074	11851384	11830996	11831483	487	increase
AlMed_G023407_AlMed_G023411	chr16	11814074	11851384	11838049	11839495	1446	increase
AlMed_G023407_AlMed_G023411	chr16	11814074	11851384	11842420	11842671	251	decrease
AlMed_G023407_AlMed_G023411	chr16	11814074	11851384	11846546	11846900	354	increase
AlMed_G022509_AlMed_G022510	chr16	1165915	1172685	1166733	1166912	179	increase
AlMed_G023491	chr16	12345331	12349768	12345752	12346156	404	increase
AlMed_G025009	chr16	19977629	19978878	19977663	19978954	1215	decrease
AlMed_G022461	chr16	789855	790091	789797	790795	237	increase
AlMed_G023641	chr16	13255036	13258094	13255052	13255081	29	decrease
AlMed_G023936	chr16	14843077	14843909	14838914	14843289	213	decrease
AlMed_G022744	chr16	2805562	2805939	2805198	2805791	230	decrease
AlMed_G022852	chr16	3802349	3808846	3806935	3807481	546	increase
AlMed_G022338	chr16	111518	114777	114733	115934	44	increase
AlMed_G023366	chr16	11606742	11612133	11608569	11608981	412	increase
AlMed_G024971	chr16	19782916	19783537	19782713	19783389	474	increase
AlMed_G023338	chr16	11427090	11427614	11427097	11428524	517	increase
AlMed_G022769	chr16	2986369	2987612	2986037	2986645	277	decrease
AlMed_G024144	chr16	15903258	15905201	15904313	15904484	171	increase
AlMed_G024144	chr16	15903258	15905201	15904948	15905678	253	decrease
AlMed_G024913	chr16	19557330	19558023	19557442	19557516	74	decrease
