geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G023966	chr16	14967146	14972178	14967588	14968343	755	decrease
AlMed_G023660	chr16	13353576	13358653	13356001	13356663	662	decrease
AlMed_G023660	chr16	13353576	13358653	13358381	13359114	272	increase
AlMed_G024087	chr16	15588815	15591113	15589422	15589872	450	decrease
AlMed_G023060	chr16	9286152	9286704	9286330	9286365	35	decrease
AlMed_G023992	chr16	15126196	15127667	15126591	15127204	613	decrease
AlMed_G024871	chr16	19388912	19394771	19389780	19390693	913	decrease
AlMed_G024871	chr16	19388912	19394771	19394241	19394514	273	increase
AlMed_G022673	chr16	2225795	2226339	2225977	2227776	362	decrease
AlMed_G022992	chr16	8683747	8685287	8684209	8685364	1078	decrease
AlMed_G022952	chr16	7969186	7972376	7969960	7970301	341	decrease
AlMed_G022952	chr16	7969186	7972376	7971445	7971897	452	decrease
AlMed_G024143	chr16	15898518	15901774	15898948	15899333	385	decrease
AlMed_G024143	chr16	15898518	15901774	15900940	15901998	834	decrease
AlMed_G024415	chr16	17247822	17250738	17248582	17248999	417	decrease
AlMed_G022440	chr16	657941	660674	657672	658415	475	increase
AlMed_G022440	chr16	657941	660674	659927	660640	713	decrease
AlMed_G023938	chr16	14845803	14849220	14846478	14846894	416	increase
AlMed_G022660	chr16	2157688	2165428	2159113	2159196	83	decrease
AlMed_G022660	chr16	2157688	2165428	2164006	2164261	255	decrease
AlMed_G024371	chr16	16968216	16972650	16970591	16971394	803	decrease
AlMed_G022431	chr16	603670	608350	605285	605439	154	decrease
AlMed_G022431	chr16	603670	608350	606432	606526	94	increase
AlMed_G024579	chr16	18055533	18058459	18057441	18058944	1018	decrease
AlMed_G023604	chr16	12975784	12984153	12978744	12979310	566	decrease
AlMed_G023604	chr16	12975784	12984153	12981441	12981682	241	decrease
AlMed_G023604	chr16	12975784	12984153	12983638	12983960	322	decrease
AlMed_G023604	chr16	12975784	12984153	12975861	12976325	464	decrease
AlMed_G024792	chr16	19007582	19010067	19007341	19007597	16	decrease
AlMed_G024206	chr16	16158414	16161511	16159431	16159822	391	decrease
AlMed_G024206	chr16	16158414	16161511	16160852	16161329	477	decrease
AlMed_G024185	chr16	16046374	16047210	16046109	16046399	26	increase
AlMed_G024476	chr16	17539569	17541095	17540353	17540775	422	decrease
AlMed_G022739	chr16	2776669	2777391	2777160	2777213	53	increase
AlMed_G023166	chr16	10134138	10134499	10134315	10134807	184	decrease
AlMed_G022336	chr16	97540	103822	99679	100149	470	decrease
AlMed_G022336	chr16	97540	103822	98199	99364	1165	increase
AlMed_G023368	chr16	11620773	11623482	11621787	11623407	1620	increase
AlMed_G023578	chr16	12831258	12833471	12831155	12831650	393	increase
AlMed_G023578	chr16	12831258	12833471	12833271	12833316	45	decrease
AlMed_G024766	chr16	18897736	18899984	18898018	18898876	858	decrease
AlMed_G023152	chr16	9993842	9995186	9994508	9995281	678	decrease
AlMed_G023785	chr16	14145297	14145632	14144919	14145424	128	decrease
AlMed_G025061	chr16	20235305	20236903	20235396	20235959	563	increase
AlMed_G025061	chr16	20235305	20236903	20236468	20236812	344	decrease
AlMed_G023836	chr16	14399497	14403372	14400106	14400627	521	decrease
AlMed_G023836	chr16	14399497	14403372	14402985	14403130	145	increase
AlMed_G024369	chr16	16956906	16963737	16958996	16959481	485	increase
AlMed_G024369	chr16	16956906	16963737	16960353	16960911	558	decrease
AlMed_G024369	chr16	16956906	16963737	16961920	16963031	1111	decrease
AlMed_G024943	chr16	19678168	19679758	19678559	19678972	413	decrease
AlMed_G024344	chr16	16837130	16837647	16836929	16839088	518	decrease
AlMed_G024827	chr16	19151354	19154116	19151623	19151946	323	decrease
AlMed_G022522	chr16	1240098	1243093	1241573	1242397	824	decrease
AlMed_G023227_AlMed_G023228	chr16	10653008	10658294	10656034	10656235	201	increase
AlMed_G024139	chr16	15883877	15886327	15885263	15885949	686	decrease
AlMed_G022836	chr16	3623381	3627484	3625934	3626421	487	increase
AlMed_G023868	chr16	14547914	14551571	14550255	14550444	189	decrease
AlMed_G023868	chr16	14547914	14551571	14548557	14549228	671	decrease
AlMed_G024012	chr16	15215928	15218936	15216209	15216696	487	decrease
AlMed_G024012	chr16	15215928	15218936	15218185	15218420	235	decrease
AlMed_G022497	chr16	1020595	1025310	1021632	1021750	118	decrease
AlMed_G024222	chr16	16235543	16237495	16236797	16236946	149	increase
AlMed_G023483_AlMed_G023484	chr16	12277818	12280877	12278092	12279845	1753	decrease
AlMed_G023483_AlMed_G023484	chr16	12277818	12280877	12280496	12280612	116	increase
AlMed_G022604	chr16	1813755	1818303	1815814	1816012	198	decrease
AlMed_G023336	chr16	11419422	11420027	11419948	11420007	59	decrease
AlMed_G024869	chr16	19377515	19379957	19378823	19379118	295	decrease
AlMed_G024807	chr16	19071497	19077434	19072717	19073323	606	decrease
AlMed_G024807	chr16	19071497	19077434	19076407	19076656	249	decrease
AlMed_G025051	chr16	20193274	20196183	20195192	20196089	897	decrease
AlMed_G024399	chr16	17134340	17136777	17134680	17135273	593	decrease
AlMed_G024399	chr16	17134340	17136777	17136311	17136619	308	decrease
AlMed_G023647	chr16	13294636	13297677	13296415	13296575	160	decrease
AlMed_G023647	chr16	13294636	13297677	13297537	13298132	140	decrease
AlMed_G023162	chr16	10098557	10098784	10098514	10098661	105	decrease
AlMed_G024472	chr16	17523741	17528653	17525338	17526297	959	decrease
AlMed_G024514	chr16	17710250	17711762	17710808	17711422	614	decrease
AlMed_G024202	chr16	16140169	16140717	16139666	16140301	133	increase
AlMed_G024428	chr16	17289209	17292729	17289788	17290215	427	decrease
AlMed_G024428	chr16	17289209	17292729	17291690	17291825	135	decrease
AlMed_G024480	chr16	17550782	17552612	17552331	17552406	75	decrease
AlMed_G023777	chr16	14081443	14084215	14082101	14082233	132	decrease
AlMed_G023832	chr16	14389458	14390666	14390499	14390927	167	increase
AlMed_G023358	chr16	11552600	11556688	11555147	11555827	680	decrease
AlMed_G023526	chr16	12547013	12549279	12548514	12549182	668	decrease
AlMed_G023196	chr16	10396726	10400351	10396872	10397250	378	decrease
AlMed_G023196	chr16	10396726	10400351	10398575	10399360	785	increase
AlMed_G023237	chr16	10752689	10765546	10755161	10755617	456	increase
AlMed_G023237	chr16	10752689	10765546	10758114	10758299	185	decrease
AlMed_G023237	chr16	10752689	10765546	10759084	10759459	375	decrease
AlMed_G023237	chr16	10752689	10765546	10760611	10761150	539	decrease
AlMed_G023237	chr16	10752689	10765546	10763571	10763955	384	decrease
AlMed_G023237	chr16	10752689	10765546	10764613	10764780	167	increase
AlMed_G023237	chr16	10752689	10765546	10765404	10766042	142	decrease
AlMed_G023429	chr16	11955853	11958669	11955004	11956840	988	decrease
AlMed_G024783	chr16	18959583	18964853	18961178	18961795	617	decrease
AlMed_G022398	chr16	425989	428372	427701	427780	79	decrease
AlMed_G024307	chr16	16646995	16651413	16649811	16650226	415	decrease
AlMed_G024016	chr16	15226564	15227935	15226792	15227118	326	decrease
AlMed_G023624	chr16	13138126	13139637	13137677	13138345	220	decrease
AlMed_G023624	chr16	13138126	13139637	13139153	13139357	204	increase
AlMed_G022777	chr16	3079728	3081250	3079672	3079761	34	decrease
AlMed_G022777	chr16	3079728	3081250	3081106	3082381	144	decrease
AlMed_G024859	chr16	19305519	19308934	19306274	19306329	55	decrease
AlMed_G022358	chr16	221540	227182	221014	221760	221	increase
AlMed_G022358	chr16	221540	227182	224907	226334	1427	decrease
AlMed_G022429	chr16	576516	580289	577513	577727	214	increase
AlMed_G022429	chr16	576516	580289	578011	578667	656	decrease
AlMed_G022429	chr16	576516	580289	579267	579809	542	decrease
AlMed_G023214	chr16	10551820	10553681	10551582	10552236	417	decrease
AlMed_G022467	chr16	812784	814687	813193	813707	514	decrease
AlMed_G022647	chr16	2067091	2070538	2069688	2070058	370	decrease
AlMed_G023858	chr16	14506650	14509082	14507440	14508669	1229	decrease
AlMed_G023024	chr16	9016611	9019179	9018196	9018465	269	decrease
AlMed_G024616	chr16	18257513	18261527	18258503	18258543	40	increase
AlMed_G024616	chr16	18257513	18261527	18258951	18259000	49	decrease
AlMed_G024616	chr16	18257513	18261527	18260082	18260607	525	decrease
AlMed_G022983	chr16	8535323	8539347	8535468	8535802	334	decrease
AlMed_G024977	chr16	19812663	19815740	19814008	19814431	423	decrease
AlMed_G024745	chr16	18808024	18812344	18808192	18808498	306	decrease
AlMed_G024075	chr16	15541326	15543415	15541360	15541402	42	increase
AlMed_G024075	chr16	15541326	15543415	15542631	15542913	282	decrease
AlMed_G023291	chr16	11078603	11084192	11082080	11082302	222	decrease
AlMed_G023251	chr16	10842019	10849112	10843327	10843575	248	decrease
AlMed_G023251	chr16	10842019	10849112	10848334	10848944	610	decrease
AlMed_G023251	chr16	10842019	10849112	10845891	10846217	326	decrease
AlMed_G023962	chr16	14948880	14952386	14950091	14950611	520	decrease
AlMed_G023962	chr16	14948880	14952386	14951231	14951833	602	increase
AlMed_G023884	chr16	14602026	14603289	14602865	14604258	424	decrease
AlMed_G023413	chr16	11851947	11853960	11853049	11853316	267	decrease
AlMed_G024675	chr16	18495335	18497615	18496444	18497351	907	decrease
AlMed_G023690	chr16	13529188	13530948	13530625	13531478	323	decrease
AlMed_G023996	chr16	15142099	15144109	15142866	15143488	622	decrease
AlMed_G023956	chr16	14927506	14928447	14927814	14928319	505	increase
AlMed_G023721	chr16	13674508	13676194	13675103	13675276	173	decrease
AlMed_G023721	chr16	13674508	13676194	13675794	13676318	400	increase
AlMed_G022413	chr16	507447	511943	509729	510138	409	increase
AlMed_G022956	chr16	8018745	8020507	8018554	8019061	317	increase
AlMed_G022690	chr16	2342188	2347767	2346324	2347028	704	decrease
AlMed_G023983	chr16	15079304	15080716	15079181	15079898	595	decrease
AlMed_G024121	chr16	15795470	15798207	15795815	15796672	857	increase
AlMed_G023033	chr16	9099311	9103210	9100910	9101503	593	increase
AlMed_G023033	chr16	9099311	9103210	9102761	9103203	442	decrease
AlMed_G024331	chr16	16761660	16762888	16762779	16763029	109	decrease
AlMed_G023922	chr16	14769298	14772592	14770012	14770471	459	decrease
AlMed_G025039	chr16	20126256	20130519	20127522	20127767	245	decrease
AlMed_G023978	chr16	15054566	15059534	15055008	15055512	504	decrease
AlMed_G023978	chr16	15054566	15059534	15058008	15058705	697	decrease
AlMed_G024340	chr16	16807252	16809410	16807257	16807440	183	increase
AlMed_G022471	chr16	842685	845166	844529	844572	43	decrease
AlMed_G023243	chr16	10785020	10788150	10786098	10786392	294	increase
AlMed_G023633	chr16	13190695	13197069	13191651	13192059	408	decrease
AlMed_G023633	chr16	13190695	13197069	13194120	13194525	405	increase
AlMed_G023633	chr16	13190695	13197069	13195287	13195858	571	decrease
AlMed_G024979	chr16	19827121	19829972	19828798	19828844	46	decrease
AlMed_G022761	chr16	2927541	2929438	2927241	2928189	649	decrease
AlMed_G023906	chr16	14687908	14691312	14688462	14688755	293	decrease
AlMed_G023600	chr16	12953196	12955862	12953493	12954408	915	increase
AlMed_G023600	chr16	12953196	12955862	12955183	12955307	124	decrease
AlMed_G022922	chr16	4743583	4746497	4743630	4744137	507	increase
AlMed_G023000	chr16	8699194	8703851	8699472	8700032	560	decrease
AlMed_G023471	chr16	12238177	12239889	12238296	12238832	536	decrease
AlMed_G023201	chr16	10450478	10457788	10451735	10452356	621	decrease
AlMed_G023201	chr16	10450478	10457788	10455352	10455736	384	increase
AlMed_G023201	chr16	10450478	10457788	10457221	10457434	213	increase
AlMed_G022815	chr16	3389495	3391883	3391007	3391282	275	decrease
AlMed_G022815	chr16	3389495	3391883	3391673	3391893	210	increase
AlMed_G023049	chr16	9228837	9231808	9229756	9230750	994	increase
AlMed_G023049	chr16	9228837	9231808	9231461	9231795	334	decrease
AlMed_G023178	chr16	10279443	10283435	10279376	10280720	1278	decrease
AlMed_G023178	chr16	10279443	10283435	10281623	10281938	315	decrease
AlMed_G023592	chr16	12911137	12914794	12912059	12912185	126	increase
AlMed_G023592	chr16	12911137	12914794	12913091	12913537	446	decrease
AlMed_G023427	chr16	11943881	11945962	11945369	11945593	224	increase
AlMed_G023376	chr16	11646419	11647749	11646011	11647471	1053	decrease
AlMed_G024778	chr16	18946848	18948631	18947727	18948108	381	decrease
AlMed_G024179	chr16	16028755	16033334	16031044	16031720	676	decrease
AlMed_G024048	chr16	15381777	15383539	15382475	15383013	538	decrease
AlMed_G024397	chr16	17119821	17124109	17121023	17122041	1018	decrease
AlMed_G024809	chr16	19090096	19092840	19092178	19092193	15	decrease
AlMed_G022664	chr16	2184319	2186169	2184721	2185176	455	decrease
AlMed_G022664	chr16	2184319	2186169	2185926	2186321	243	increase
AlMed_G022876	chr16	4119979	4127367	4122436	4122957	521	decrease
AlMed_G022876	chr16	4119979	4127367	4125120	4125216	96	decrease
AlMed_G022649	chr16	2078362	2079681	2078971	2079941	710	decrease
AlMed_G022566	chr16	1551739	1552635	1551793	1552846	842	decrease
AlMed_G023538	chr16	12619475	12622551	12619984	12620129	145	increase
AlMed_G023538	chr16	12619475	12622551	12621630	12621953	323	decrease
AlMed_G023664	chr16	13372261	13373879	13373405	13374008	474	increase
AlMed_G024266	chr16	16421737	16428806	16422776	16423059	283	decrease
AlMed_G024266	chr16	16421737	16428806	16423645	16424109	464	increase
AlMed_G024266	chr16	16421737	16428806	16426339	16428599	2260	decrease
AlMed_G024857	chr16	19303530	19304974	19304311	19304496	185	decrease
AlMed_G025001	chr16	19938526	19941280	19938229	19938702	177	decrease
AlMed_G025001	chr16	19938526	19941280	19939131	19939440	309	increase
AlMed_G024309	chr16	16657103	16660930	16659562	16660712	1150	decrease
AlMed_G022808	chr16	3275107	3276312	3275950	3276054	104	decrease
