geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G023966	chr16	14967146	14972178	14967796	14968527	731	decrease
AlMed_G023660	chr16	13353576	13358653	13358162	13358850	491	increase
AlMed_G023701	chr16	13577876	13578613	13578537	13578746	76	increase
AlMed_G024087	chr16	15588815	15591113	15589803	15590455	652	increase
AlMed_G024101	chr16	15659728	15663846	15660930	15661270	340	increase
AlMed_G024101	chr16	15659728	15663846	15662601	15663070	469	increase
AlMed_G024871	chr16	19388912	19394771	19393178	19393380	202	increase
AlMed_G024871	chr16	19388912	19394771	19393724	19394248	524	decrease
AlMed_G022673	chr16	2225795	2226339	2225321	2226154	360	decrease
AlMed_G022952	chr16	7969186	7972376	7970292	7971129	837	increase
AlMed_G023673	chr16	13422462	13423415	13422943	13423779	472	increase
AlMed_G024415	chr16	17247822	17250738	17249161	17250045	884	increase
AlMed_G024561	chr16	17965387	17971980	17967186	17967593	407	increase
AlMed_G022440	chr16	657941	660674	657583	658553	613	increase
AlMed_G022440	chr16	657941	660674	659312	660184	872	decrease
AlMed_G023938	chr16	14845803	14849220	14845466	14846657	855	increase
AlMed_G023938	chr16	14845803	14849220	14848142	14848938	796	increase
AlMed_G022660	chr16	2157688	2165428	2160736	2161611	875	increase
AlMed_G022660	chr16	2157688	2165428	2162696	2163114	418	increase
AlMed_G024371	chr16	16968216	16972650	16969827	16970055	228	increase
AlMed_G024371	chr16	16968216	16972650	16970592	16971141	549	decrease
AlMed_G022431	chr16	603670	608350	607055	607127	72	decrease
AlMed_G022431	chr16	603670	608350	605614	606503	889	increase
AlMed_G024579	chr16	18055533	18058459	18057089	18057441	352	increase
AlMed_G024579	chr16	18055533	18058459	18057960	18058055	95	decrease
AlMed_G023604	chr16	12975784	12984153	12977154	12978745	1591	increase
AlMed_G023604	chr16	12975784	12984153	12982163	12983603	1440	decrease
AlMed_G024206	chr16	16158414	16161511	16159365	16159822	457	increase
AlMed_G024206	chr16	16158414	16161511	16161000	16161195	195	increase
AlMed_G024185	chr16	16046374	16047210	16046109	16046399	26	increase
AlMed_G024185	chr16	16046374	16047210	16047172	16047395	38	decrease
AlMed_G024476	chr16	17539569	17541095	17540353	17540632	279	decrease
AlMed_G023166	chr16	10134138	10134499	10134035	10134451	314	increase
AlMed_G022336	chr16	97540	103822	99364	100017	653	decrease
AlMed_G022336	chr16	97540	103822	102313	102530	217	decrease
AlMed_G022336	chr16	97540	103822	97986	98558	572	increase
AlMed_G023368	chr16	11620773	11623482	11621787	11622500	713	increase
AlMed_G023368	chr16	11620773	11623482	11623084	11623407	323	increase
AlMed_G023004	chr16	8766685	8773854	8770302	8771241	939	increase
AlMed_G023004	chr16	8766685	8773854	8772625	8773435	810	increase
AlMed_G023004	chr16	8766685	8773854	8773815	8774294	39	decrease
AlMed_G023578	chr16	12831258	12833471	12831230	12831547	290	increase
AlMed_G023578	chr16	12831258	12833471	12833167	12833387	220	decrease
AlMed_G023152	chr16	9993842	9995186	9994508	9994813	305	decrease
AlMed_G023522	chr16	12529410	12532916	12530388	12530522	134	increase
AlMed_G023522	chr16	12529410	12532916	12531210	12531455	245	increase
AlMed_G023522	chr16	12529410	12532916	12532186	12532550	364	increase
AlMed_G025061	chr16	20235305	20236903	20235534	20236658	1124	increase
AlMed_G023836	chr16	14399497	14403372	14400627	14403130	2503	increase
AlMed_G024369	chr16	16956906	16963737	16958997	16959796	799	increase
AlMed_G024369	chr16	16956906	16963737	16960564	16960799	235	decrease
AlMed_G024369	chr16	16956906	16963737	16961345	16962539	1194	increase
AlMed_G022578	chr16	1625772	1627740	1627316	1627970	424	increase
