seqnames,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width
chr15,12029365,12037641,8277,*,551,364.928185276974,-1.69642386827409,-124.713441763986,1.51922580253103e-05,0.000436513968666539,4161465,4162015,551
chr13,14862850,14867685,4836,*,264,176.861015467925,-1.78703585337647,-93.245933112584,1.51922580253103e-05,0.000436513968666539,2565086,2565349,264
chr15,26602168,26609242,7075,*,427,260.315876514544,-1.63383807103498,-89.5917380788529,1.51922580253103e-05,0.000436513968666539,4575876,4576302,427
chr10,10635013,10641454,6442,*,385,225.903662378962,-1.60883598722354,-80.1711815617438,1.51922580253103e-05,0.000436513968666539,387145,387529,385
chr13,13270763,13278685,7923,*,452,279.286812778856,-1.65362443399959,-77.6325338205327,1.51922580253103e-05,0.000436513968666539,2515472,2515923,452
chr9,23613724,23618211,4488,*,210,154.313921585859,-1.8680795532635,-70.8946247975882,1.51922580253103e-05,0.000436513968666539,259687,259896,210
chr15,25948820,25954177,5358,*,336,111.222917954425,-1.03705167381606,-67.8670750820044,1.51922580253103e-05,0.000436513968666539,4553115,4553450,336
chr13,15344263,15346105,1843,*,151,78.8417055916913,-1.40504396805552,-64.552319255899,1.51922580253103e-05,0.000436513968666539,2580568,2580718,151
chr14,22145488,22147954,2467,*,217,85.2734799783775,-1.16339498284549,-64.3720322391288,1.51922580253103e-05,0.000436513968666539,3621102,3621318,217
chr12,19831604,19832898,1295,*,101,82.8409613095311,-2.1787488518403,-64.2029077062129,1.51922580253103e-05,0.000436513968666539,2012733,2012833,101
chr11,3381276,3382896,1621,*,98,77.3520036067394,-1.97780154459426,-63.4885451958232,1.51922580253103e-05,0.000436513968666539,803913,804010,98
chr14,13294717,13297776,3060,*,160,107.616833334275,-1.77453502697744,-63.2348413921774,1.51922580253103e-05,0.000436513968666539,3411155,3411314,160
chr16,13253421,13254942,1522,*,108,79.4177180041993,-1.87671999225674,-61.2403176877697,1.51922580253103e-05,0.000436513968666539,5052268,5052375,108
