seqnames,start,end,width,strand,dens,window_scores,coverage
chr9,1,100000,100000,*,29271,152743,5.21823647979229
chr9,100001,200000,100000,*,22384,112158,5.01063259471051
chr9,200001,300000,100000,*,33732,244200,7.23941657773034
chr9,300001,400000,100000,*,35030,263838,7.5317727662004
chr9,400001,500000,100000,*,33759,245586,7.27468230694037
chr9,500001,600000,100000,*,33368,241426,7.23525533445217
chr9,600001,700000,100000,*,32495,238626,7.3434682258809
chr9,700001,800000,100000,*,33795,237153,7.01739902352419
chr9,800001,900000,100000,*,34942,249827,7.14976246351096
chr9,900001,1000000,100000,*,33029,220296,6.66977504617155
chr9,1000001,1100000,100000,*,35387,237786,6.71958628875011
chr9,1100001,1200000,100000,*,29857,208893,6.99644974377868
chr9,1200001,1300000,100000,*,29066,190637,6.55876281566091
chr9,1300001,1400000,100000,*,35791,246747,6.89410745718197
chr9,1400001,1500000,100000,*,34206,245348,7.17265976729229
chr9,1500001,1600000,100000,*,27518,173675,6.31132349734719
chr9,1600001,1700000,100000,*,32991,195102,5.91379467127398
chr9,1700001,1800000,100000,*,32189,181582,5.64111963714312
chr9,1800001,1900000,100000,*,21900,119438,5.4537899543379
chr9,1900001,2000000,100000,*,28121,187276,6.65964937235518
chr9,2000001,2100000,100000,*,32726,214226,6.54604901301717
chr9,2100001,2200000,100000,*,33174,230603,6.95131729667812
chr9,2200001,2300000,100000,*,34346,237169,6.90528736970826
chr9,2300001,2400000,100000,*,34387,250369,7.2809201151598
chr9,2400001,2500000,100000,*,36632,241167,6.58350622406639
chr9,2500001,2600000,100000,*,36590,264079,7.2172451489478
chr9,2600001,2700000,100000,*,33232,218375,6.57122652864709
chr9,2700001,2800000,100000,*,35974,220039,6.11661199755379
chr9,2800001,2900000,100000,*,34353,231288,6.73268710156318
chr9,2900001,3000000,100000,*,35742,245862,6.8787980527111
chr9,3000001,3100000,100000,*,31625,245298,7.75645849802372
chr9,3100001,3200000,100000,*,24250,135140,5.57278350515464
