geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
augustus_masked-chr4-processed-gene-2.31	chr4	200817	202610	200801	201438	622	increase
maker-chr4-augustus-gene-171.18	chr4	17128049	17129976	17128701	17129084	383	decrease
maker-chr4-augustus-gene-208.8	chr4	20808318	20810020	20807937	20809062	745	increase
augustus_masked-chr4-processed-gene-251.35	chr4	25183596	25188000	25184824	25185074	250	increase
augustus_masked-chr4-processed-gene-251.35	chr4	25183596	25188000	25186722	25186949	227	increase
augustus_masked-chr4-processed-gene-15.15	chr4	1530203	1533191	1532182	1532635	453	decrease
augustus_masked-chr4-processed-gene-240.4	chr4	24079790	24083451	24082224	24082358	134	decrease
augustus_masked-chr4-processed-gene-217.11	chr4	21727687	21729325	21727996	21728264	268	increase
maker-chr4-augustus-gene-182.32	chr4	18245876	18247032	18245968	18247447	1064	decrease
maker-chr4-augustus-gene-224.11	chr4	22401243	22402593	22401119	22401866	624	increase
maker-chr4-augustus-gene-130.14	chr4	13061882	13067075	13063176	13064082	906	increase
maker-chr4-augustus-gene-130.14	chr4	13061882	13067075	13066248	13066495	247	decrease
maker-chr4-augustus-gene-242.5	chr4	24239144	24243077	24242663	24242937	274	increase
maker-chr4-augustus-gene-210.9	chr4	21013698	21016646	21014783	21016496	1713	increase
augustus_masked-chr4-processed-gene-210.37	chr4	21019890	21021287	21018397	21020236	347	increase
maker-chr4-augustus-gene-171.27	chr4	17120232	17123038	17120527	17122159	1632	increase
maker-chr4-augustus-gene-8.13	chr4	833479	834661	834001	834537	536	decrease
maker-chr4-augustus-gene-236.30	chr4	23623558	23625447	23625390	23625934	57	increase
augustus_masked-chr4-processed-gene-253.25	chr4	25341710	25343748	25342567	25342698	131	increase
augustus_masked-chr4-processed-gene-168.19	chr4	16851164	16852462	16851636	16852040	404	decrease
augustus_masked-chr4-processed-gene-191.12	chr4	19177319	19178297	19177709	19177781	72	decrease
maker-chr4-augustus-gene-252.37	chr4	25208610	25211327	25209294	25209670	376	decrease
maker-chr4-augustus-gene-220.1	chr4	21972900	21973821	21971020	21973130	231	decrease
maker-chr4-augustus-gene-44.6	chr4	4466613	4471248	4467416	4467777	361	increase
maker-chr4-augustus-gene-44.6	chr4	4466613	4471248	4468345	4468881	536	increase
maker-chr4-augustus-gene-185.11	chr4	18515462	18521866	18517959	18518068	109	decrease
maker-chr4-augustus-gene-185.11	chr4	18515462	18521866	18518600	18519248	648	increase
maker-chr4-augustus-gene-220.14	chr4	21999292	22002654	21999161	21999645	354	increase
maker-chr4-augustus-gene-220.14	chr4	21999292	22002654	22000815	22001114	299	increase
augustus_masked-chr4-processed-gene-233.12	chr4	23304813	23309526	23308532	23309239	707	increase
maker-chr4-augustus-gene-220.15	chr4	22002852	22005853	22003708	22004029	321	increase
maker-chr4-augustus-gene-32.6	chr4	3242121	3244584	3242789	3243443	654	decrease
maker-chr4-augustus-gene-142.10	chr4	14279446	14280219	14279518	14280533	701	increase
augustus_masked-chr4-processed-gene-200.14	chr4	20081353	20084855	20081484	20081756	272	increase
augustus_masked-chr4-processed-gene-200.14	chr4	20081353	20084855	20082413	20082799	386	decrease
augustus_masked-chr4-processed-gene-200.14	chr4	20081353	20084855	20084145	20084513	368	decrease
maker-chr4-augustus-gene-10.4	chr4	1032601	1033936	1033625	1034182	311	increase
maker-chr4-augustus-gene-199.33	chr4	19985657	19988919	19986364	19987543	1179	increase
maker-chr4-augustus-gene-139.12	chr4	13903439	13908978	13907608	13908129	521	increase
augustus_masked-chr4-processed-gene-198.19	chr4	19801696	19806893	19806299	19806643	344	decrease
maker-chr4-augustus-gene-127.0	chr4	12693219	12696604	12694404	12694814	410	decrease
maker-chr4-augustus-gene-127.0	chr4	12693219	12696604	12695566	12696193	627	increase
maker-chr4-augustus-gene-234.23	chr4	23430879	23437198	23432183	23432916	733	decrease
maker-chr4-augustus-gene-176.1	chr4	17656483	17659356	17657479	17657790	311	increase
maker-chr4-augustus-gene-176.1	chr4	17656483	17659356	17658207	17658800	593	decrease
augustus_masked-chr4-processed-gene-137.9	chr4	13746729	13748833	13746815	13747274	459	increase
maker-chr4-augustus-gene-22.15	chr4	2256044	2260957	2257264	2257565	301	decrease
maker-chr4-augustus-gene-22.15	chr4	2256044	2260957	2260635	2262249	322	increase
maker-chr4-augustus-gene-239.29	chr4	23911974	23912581	23912363	23913137	218	decrease
augustus_masked-chr4-processed-gene-249.44	chr4	24930386	24931008	24930624	24931050	384	decrease
augustus_masked-chr4-processed-gene-253.36	chr4	25365142	25369657	25366429	25367458	1029	increase
augustus_masked-chr4-processed-gene-137.8	chr4	13743643	13745581	13743725	13744918	1193	decrease
maker-chr4-augustus-gene-266.22	chr4	26674628	26676988	26676529	26676850	321	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222655	17226829	3012	decrease
maker-chr4-augustus-gene-230.45	chr4	23025198	23028208	23025856	23026263	407	decrease
maker-chr4-augustus-gene-230.45	chr4	23025198	23028208	23027028	23027480	452	increase
maker-chr4-augustus-gene-148.5	chr4	14816344	14820395	14816570	14816694	124	decrease
maker-chr4-augustus-gene-148.5	chr4	14816344	14820395	14819256	14819805	549	decrease
maker-chr4-augustus-gene-204.42	chr4	20407432	20412845	20409847	20410327	480	increase
maker-chr4-augustus-gene-204.42	chr4	20407432	20412845	20411820	20412134	314	increase
augustus_masked-chr4-processed-gene-91.13	chr4	9177973	9180619	9178506	9178967	461	decrease
augustus_masked-chr4-processed-gene-91.13	chr4	9177973	9180619	9179683	9179865	182	decrease
maker-chr4-augustus-gene-92.22	chr4	9243957	9248060	9245292	9246224	932	increase
maker-chr4-augustus-gene-15.3	chr4	1526935	1530026	1528618	1528671	53	decrease
maker-chr4-augustus-gene-260.2	chr4	26028946	26031184	26030073	26030727	654	decrease
maker-chr4-augustus-gene-162.21	chr4	16248595	16252005	16250728	16250988	260	increase
maker-chr4-augustus-gene-199.29	chr4	19972867	19980345	19974392	19974827	435	increase
maker-chr4-augustus-gene-199.29	chr4	19972867	19980345	19975549	19975858	309	decrease
maker-chr4-augustus-gene-199.29	chr4	19972867	19980345	19980114	19980660	231	increase
augustus_masked-chr4-processed-gene-148.22	chr4	14841779	14858488	14845247	14845449	202	increase
augustus_masked-chr4-processed-gene-148.22	chr4	14841779	14858488	14846145	14846467	322	increase
augustus_masked-chr4-processed-gene-148.22	chr4	14841779	14858488	14848647	14853182	4535	increase
augustus_masked-chr4-processed-gene-148.22	chr4	14841779	14858488	14853906	14854688	782	increase
augustus_masked-chr4-processed-gene-148.22	chr4	14841779	14858488	14857663	14858096	433	increase
augustus_masked-chr4-processed-gene-148.22	chr4	14841779	14858488	14843688	14844094	406	increase
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2873900	2874161	261	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2876141	2877451	1164	decrease
maker-chr4-augustus-gene-195.12	chr4	19500979	19502822	19501193	19501514	321	increase
maker-chr4-augustus-gene-257.39	chr4	25754088	25757076	25752820	25754451	364	increase
maker-chr4-augustus-gene-257.39	chr4	25754088	25757076	25756880	25757225	196	decrease
maker-chr4-augustus-gene-228.16	chr4	22881651	22884481	22881363	22882219	569	increase
maker-chr4-augustus-gene-228.16	chr4	22881651	22884481	22882919	22883358	439	increase
maker-chr4-augustus-gene-50.19	chr4	5014575	5015759	5014717	5016096	1042	decrease
maker-chr4-augustus-gene-242.11	chr4	24191568	24192174	24191215	24192126	559	decrease
maker-chr4-augustus-gene-43.6	chr4	4305311	4312793	4305975	4308263	2288	increase
maker-chr4-augustus-gene-39.16	chr4	3900818	3901919	3900918	3901626	708	decrease
maker-chr4-augustus-gene-153.12	chr4	15322133	15327895	15323124	15323401	277	decrease
maker-chr4-augustus-gene-153.12	chr4	15322133	15327895	15325800	15326758	958	decrease
maker-chr4-augustus-gene-176.9	chr4	17642936	17648471	17646691	17647323	632	decrease
maker-chr4-augustus-gene-176.9	chr4	17642936	17648471	17645193	17645818	625	increase
augustus_masked-chr4-processed-gene-141.23	chr4	14173498	14174305	14172988	14174893	808	increase
maker-chr4-augustus-gene-219.36	chr4	21977958	21980881	21979153	21979613	460	increase
maker-chr4-augustus-gene-232.28	chr4	23182433	23186280	23183592	23184118	526	decrease
maker-chr4-augustus-gene-232.28	chr4	23182433	23186280	23185416	23185845	429	increase
maker-chr4-augustus-gene-167.22	chr4	16704156	16705707	16704744	16704819	75	decrease
augustus_masked-chr4-processed-gene-163.0	chr4	16278297	16290475	16279829	16280931	1102	decrease
augustus_masked-chr4-processed-gene-163.0	chr4	16278297	16290475	16281417	16281805	388	increase
augustus_masked-chr4-processed-gene-163.0	chr4	16278297	16290475	16286882	16288527	1645	increase
maker-chr4-augustus-gene-210.11	chr4	21042483	21046761	21042917	21042939	22	increase
maker-chr4-augustus-gene-210.11	chr4	21042483	21046761	21044808	21045497	689	increase
maker-chr4-augustus-gene-148.9	chr4	14873967	14884396	14883249	14883442	193	decrease
maker-chr4-augustus-gene-28.35	chr4	2882822	2887045	2886195	2886628	433	decrease
maker-chr4-augustus-gene-210.1	chr4	20984529	20987066	20986002	20986047	45	decrease
maker-chr4-augustus-gene-149.11	chr4	14951164	14954215	14952715	14953406	691	increase
maker-chr4-augustus-gene-241.14	chr4	24151684	24155744	24153699	24154207	508	increase
maker-chr4-augustus-gene-166.7_maker-chr4-augustus-gene-166.8	chr4	16640486	16648243	16640675	16640692	17	decrease
augustus_masked-chr4-processed-gene-146.3	chr4	14664280	14666527	14664084	14664741	462	decrease
maker-chr4-augustus-gene-7.2	chr4	768921	772222	770544	770745	201	increase
maker-chr4-augustus-gene-7.2	chr4	768921	772222	771594	772266	628	decrease
augustus_masked-chr4-processed-gene-173.23	chr4	17371295	17374987	17371968	17372199	231	decrease
augustus_masked-chr4-processed-gene-173.23	chr4	17371295	17374987	17372764	17373351	587	increase
augustus_masked-chr4-processed-gene-205.10	chr4	20484859	20490139	20485966	20486837	871	increase
augustus_masked-chr4-processed-gene-205.10	chr4	20484859	20490139	20487940	20489191	1251	increase
augustus_masked-chr4-processed-gene-212.11	chr4	21260644	21263787	21261241	21262194	953	increase
augustus_masked-chr4-processed-gene-212.11	chr4	21260644	21263787	21263141	21264672	646	decrease
augustus_masked-chr4-processed-gene-232.25	chr4	23268296	23269207	23268009	23269713	912	decrease
maker-chr4-augustus-gene-262.16	chr4	26273151	26274921	26273382	26274134	752	increase
augustus_masked-chr4-processed-gene-189.8	chr4	18925540	18927578	18926614	18927008	394	decrease
maker-chr4-augustus-gene-176.3	chr4	17675512	17680596	17676877	17677412	535	increase
maker-chr4-augustus-gene-176.3	chr4	17675512	17680596	17679493	17680059	566	increase
