geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-182.32	chr4	18245876	18247032	18244921	18247546	1157	decrease
augustus_masked-chr4-processed-gene-210.37	chr4	21019890	21021287	21021252	21021939	35	decrease
augustus_masked-chr4-processed-gene-145.22	chr4	14550128	14553181	14551864	14552056	192	decrease
maker-chr4-augustus-gene-236.28	chr4	23609868	23612727	23612024	23612216	192	decrease
maker-chr4-augustus-gene-220.1	chr4	21972900	21973821	21972659	21972981	82	decrease
augustus_masked-chr4-processed-gene-254.16	chr4	25475197	25478146	25475195	25476037	841	decrease
maker-chr4-augustus-gene-23.13	chr4	2301122	2303202	2302613	2303018	405	decrease
augustus_masked-chr4-processed-gene-245.6	chr4	24509990	24511188	24511101	24511237	87	decrease
maker-chr4-augustus-gene-142.10	chr4	14279446	14280219	14278931	14279528	83	decrease
augustus_masked-chr4-processed-gene-249.44	chr4	24930386	24931008	24930649	24931088	359	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222339	17226867	3021	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2876128	2877345	1177	decrease
maker-chr4-augustus-gene-228.16	chr4	22881651	22884481	22882247	22883268	1021	increase
maker-chr4-augustus-gene-50.19	chr4	5014575	5015759	5014738	5016006	1021	decrease
maker-chr4-augustus-gene-242.11	chr4	24191568	24192174	24191230	24192180	607	decrease
maker-chr4-augustus-gene-39.16	chr4	3900818	3901919	3900908	3901910	1002	decrease
augustus_masked-chr4-processed-gene-141.23	chr4	14173498	14174305	14172953	14174854	808	increase
augustus_masked-chr4-processed-gene-163.0	chr4	16278297	16290475	16283900	16284148	248	decrease
augustus_masked-chr4-processed-gene-163.0	chr4	16278297	16290475	16287136	16288436	1300	increase
augustus_masked-chr4-processed-gene-146.3	chr4	14664280	14666527	14664083	14665697	1418	decrease
augustus_masked-chr4-processed-gene-232.25	chr4	23268296	23269207	23268060	23269199	904	decrease
augustus_masked-chr4-processed-gene-42.7	chr4	4260416	4264618	4262641	4264887	1977	decrease
augustus_masked-chr4-processed-gene-257.15	chr4	25714311	25717255	25716085	25716590	505	increase
maker-chr4-augustus-gene-26.13	chr4	2682140	2682675	2681631	2683335	536	decrease
maker-chr4-augustus-gene-220.3	chr4	21987364	21991446	21991170	21991445	275	decrease
augustus_masked-chr4-processed-gene-51.13	chr4	5098041	5098604	5098395	5098917	209	decrease
maker-chr4-augustus-gene-94.1	chr4	9388897	9393066	9389050	9389123	73	decrease
maker-chr4-augustus-gene-185.3_maker-chr4-augustus-gene-185.4	chr4	18506325	18511432	18508715	18509046	331	decrease
maker-chr4-augustus-gene-195.20	chr4	19572034	19572319	19571627	19572825	286	decrease
maker-chr4-augustus-gene-228.6	chr4	22866317	22868338	22866653	22867279	626	increase
augustus_masked-chr4-processed-gene-30.6	chr4	3024361	3024711	3024268	3024516	156	decrease
augustus_masked-chr4-processed-gene-32.24	chr4	3206840	3207805	3206468	3208312	966	decrease
maker-chr4-augustus-gene-28.25	chr4	2802584	2804514	2801822	2804629	1931	increase
maker-chr4-augustus-gene-4.31	chr4	412761	415084	413861	414361	500	decrease
augustus_masked-chr4-processed-gene-196.26	chr4	19668822	19673918	19673660	19673957	258	decrease
augustus_masked-chr4-processed-gene-84.3	chr4	8412577	8413849	8412365	8414155	1273	decrease
maker-chr4-augustus-gene-255.36	chr4	25488324	25489730	25486102	25489794	1407	decrease
augustus_masked-chr4-processed-gene-162.2	chr4	16193419	16197425	16192887	16194497	1079	increase
augustus_masked-chr4-processed-gene-15.16	chr4	1538345	1539474	1539327	1539536	147	decrease
