seqnames,start,end,width,strand,dens,window_scores,coverage
chr1,1,100000,100000,*,33103,298965,9.03135667462164
chr1,100001,200000,100000,*,28960,207864,7.17762430939227
chr1,200001,300000,100000,*,31606,307909,9.74210592925394
chr1,300001,400000,100000,*,32233,280192,8.69270623274284
chr1,400001,500000,100000,*,33063,278877,8.43471554305417
chr1,500001,600000,100000,*,30092,287214,9.54453010766981
chr1,600001,700000,100000,*,28019,264937,9.45561940112067
chr1,700001,800000,100000,*,33764,331328,9.81305532519844
chr1,800001,900000,100000,*,30916,255827,8.27490619743822
chr1,900001,1000000,100000,*,29140,246425,8.45658888126287
chr1,1000001,1100000,100000,*,33524,269508,8.0392554587758
chr1,1100001,1200000,100000,*,28850,247346,8.57351819757366
chr1,1200001,1300000,100000,*,29693,266713,8.98235274307076
chr1,1300001,1400000,100000,*,29631,256249,8.64800377982518
chr1,1400001,1500000,100000,*,30581,259675,8.4913835387986
chr1,1500001,1600000,100000,*,32740,294314,8.98943188759927
chr1,1600001,1700000,100000,*,31392,272076,8.66704892966361
chr1,1700001,1800000,100000,*,33459,313360,9.36549209480259
chr1,1800001,1900000,100000,*,36234,335087,9.2478611249103
chr1,1900001,2000000,100000,*,30914,385580,12.4726661059714
chr1,2000001,2100000,100000,*,34200,335387,9.80663742690058
chr1,2100001,2200000,100000,*,19333,188220,9.73568509801893
chr1,2200001,2300000,100000,*,31172,259783,8.33385730784037
chr1,2300001,2400000,100000,*,26254,221518,8.43749523882075
chr1,2400001,2500000,100000,*,36020,311324,8.64308717379234
chr1,2500001,2600000,100000,*,33913,278890,8.22369003037183
chr1,2600001,2700000,100000,*,34531,291937,8.45434537082621
chr1,2700001,2800000,100000,*,35154,289062,8.22273425499232
chr1,2800001,2900000,100000,*,16769,123521,7.3660325600811
chr1,2900001,3000000,100000,*,33899,282300,8.32767928257471
chr1,3000001,3100000,100000,*,29872,229767,7.69171799678629
chr1,3100001,3200000,100000,*,31119,281359,9.04138950480414
chr1,3200001,3300000,100000,*,32536,303472,9.32726825670027
chr1,3300001,3400000,100000,*,22072,203724,9.22997462848858
chr1,3400001,3500000,100000,*,29700,308243,10.3785521885522
chr1,3500001,3600000,100000,*,36484,357913,9.81013595000548
chr1,3600001,3700000,100000,*,31551,285820,9.05898386738931
chr1,3700001,3800000,100000,*,28918,255558,8.8373331489038
chr1,3800001,3900000,100000,*,32789,282021,8.60108572997042
chr1,3900001,4000000,100000,*,32618,277965,8.52182843828561
chr1,4000001,4100000,100000,*,35214,321264,9.1231896404839
chr1,4100001,4200000,100000,*,33298,287922,8.64682563517328
chr1,4200001,4300000,100000,*,31238,254683,8.15298674691081
chr1,4300001,4400000,100000,*,28432,271209,9.53886465953855
chr1,4400001,4500000,100000,*,34192,312355,9.13532405240992
chr1,4500001,4600000,100000,*,31474,284410,9.03634746139671
chr1,4600001,4700000,100000,*,29803,287429,9.64429755393752
chr1,4700001,4800000,100000,*,31076,292377,9.40845025099755
chr1,4800001,4900000,100000,*,34218,317545,9.28005727979426
chr1,4900001,5000000,100000,*,34373,300857,8.75271288511331
chr1,5000001,5100000,100000,*,27390,264572,9.65943775100402
chr1,5100001,5200000,100000,*,28132,254641,9.05164936726859
chr1,5200001,5300000,100000,*,32730,283341,8.65692025664528
chr1,5300001,5400000,100000,*,32401,306702,9.46581895620506
chr1,5400001,5500000,100000,*,32620,317236,9.72519926425506
chr1,5500001,5600000,100000,*,32534,329325,10.1224872441139
chr1,5600001,5700000,100000,*,27741,261497,9.42637251721279
chr1,5700001,5800000,100000,*,28978,321131,11.0818897094347
chr1,5800001,5900000,100000,*,31624,330360,10.4464963318998
chr1,5900001,6000000,100000,*,30926,293388,9.48677488197633
chr1,6000001,6100000,100000,*,27936,244923,8.76728951890034
chr1,6100001,6200000,100000,*,25600,245140,9.57578125
chr1,6200001,6300000,100000,*,33447,396304,11.8487158788531
chr1,6300001,6400000,100000,*,29555,298758,10.1085433936728
chr1,6400001,6500000,100000,*,32437,301659,9.29984277214292
chr1,6500001,6600000,100000,*,32884,313747,9.5410229899039
chr1,6600001,6700000,100000,*,21948,220277,10.0363131036997
chr1,6700001,6800000,100000,*,30278,290463,9.59320298566616
chr1,6800001,6900000,100000,*,29978,284076,9.47614917606245
chr1,6900001,7000000,100000,*,31800,300555,9.45141509433962
chr1,7000001,7100000,100000,*,32568,294176,9.03267010562515
chr1,7100001,7200000,100000,*,33686,266820,7.9207979576085
chr1,7200001,7300000,100000,*,35801,299656,8.37004552945448
chr1,7300001,7400000,100000,*,25869,243104,9.39750280258224
