geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-183.11	chr4	18290471	18292050	18291718	18291784	66	decrease
maker-chr4-augustus-gene-238.17	chr4	23858039	23861733	23858467	23858774	307	decrease
maker-chr4-augustus-gene-182.32	chr4	18245876	18247032	18245858	18247498	1157	decrease
augustus_masked-chr4-processed-gene-210.37	chr4	21019890	21021287	21021285	21021889	2	increase
augustus_masked-chr4-processed-gene-145.22	chr4	14550128	14553181	14551910	14552081	171	decrease
maker-chr4-augustus-gene-220.1	chr4	21972900	21973821	21972675	21973070	171	decrease
augustus_masked-chr4-processed-gene-198.24	chr4	19840010	19840786	19840100	19845219	686	increase
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222308	17225703	3021	decrease
maker-chr4-augustus-gene-242.11	chr4	24191568	24192174	24190854	24192260	607	decrease
maker-chr4-augustus-gene-39.16	chr4	3900818	3901919	3901270	3901662	392	decrease
maker-chr4-augustus-gene-167.22	chr4	16704156	16705707	16704868	16704919	51	decrease
augustus_masked-chr4-processed-gene-232.25	chr4	23268296	23269207	23267884	23269074	779	decrease
augustus_masked-chr4-processed-gene-257.15	chr4	25714311	25717255	25716054	25717211	1157	increase
maker-chr4-augustus-gene-26.13	chr4	2682140	2682675	2681757	2683246	536	decrease
maker-chr4-augustus-gene-220.3	chr4	21987364	21991446	21987275	21987394	31	decrease
augustus_masked-chr4-processed-gene-51.13	chr4	5098041	5098604	5098297	5098798	307	decrease
maker-chr4-augustus-gene-185.3_maker-chr4-augustus-gene-185.4	chr4	18506325	18511432	18508811	18509270	459	increase
maker-chr4-augustus-gene-206.25	chr4	20652001	20653900	20651825	20652010	10	decrease
maker-chr4-augustus-gene-199.27	chr4	19953789	19961151	19958438	19958740	302	increase
maker-chr4-augustus-gene-199.27	chr4	19953789	19961151	19960142	19960907	765	increase
maker-chr4-augustus-gene-28.41	chr4	2844805	2846487	2843968	2844948	144	decrease
augustus_masked-chr4-processed-gene-196.26	chr4	19668822	19673918	19673433	19673984	485	decrease
augustus_masked-chr4-processed-gene-34.0	chr4	3420616	3421415	3420119	3421451	800	decrease
maker-chr4-augustus-gene-255.36	chr4	25488324	25489730	25486229	25490306	1407	decrease
augustus_masked-chr4-processed-gene-199.19	chr4	19982066	19984724	19984653	19985293	71	decrease
augustus_masked-chr4-processed-gene-15.16	chr4	1538345	1539474	1539237	1539457	220	increase
maker-chr4-augustus-gene-182.27	chr4	18225547	18229549	18227619	18228007	388	decrease
maker-chr4-augustus-gene-151.0	chr4	15116477	15118001	15116792	15117368	576	decrease
