geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-238.17	chr4	23858039	23861733	23858504	23858787	283	decrease
maker-chr4-augustus-gene-182.32	chr4	18245876	18247032	18246046	18247606	986	decrease
maker-chr4-augustus-gene-220.1	chr4	21972900	21973821	21972659	21972981	82	decrease
augustus_masked-chr4-processed-gene-137.1	chr4	13689954	13690747	13690295	13690876	452	decrease
augustus_masked-chr4-processed-gene-198.24	chr4	19840010	19840786	19840042	19845248	744	increase
maker-chr4-augustus-gene-127.3	chr4	12781251	12784950	12783110	12784292	1182	increase
augustus_masked-chr4-processed-gene-245.6	chr4	24509990	24511188	24511046	24511237	142	decrease
maker-chr4-augustus-gene-142.10	chr4	14279446	14280219	14278997	14279597	152	decrease
augustus_masked-chr4-processed-gene-249.44	chr4	24930386	24931008	24930649	24930899	250	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222679	17226824	2988	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2876087	2877433	1218	decrease
maker-chr4-augustus-gene-242.11	chr4	24191568	24192174	24191230	24192150	583	decrease
maker-chr4-augustus-gene-39.16	chr4	3900818	3901919	3900010	3901931	1102	decrease
maker-chr4-augustus-gene-167.22	chr4	16704156	16705707	16704651	16704836	185	decrease
maker-chr4-augustus-gene-127.6	chr4	12779207	12779622	12779320	12780540	302	increase
augustus_masked-chr4-processed-gene-232.25	chr4	23268296	23269207	23267876	23269183	888	decrease
maker-chr4-augustus-gene-139.20	chr4	13931909	13933141	13931867	13938998	1233	increase
augustus_masked-chr4-processed-gene-42.7	chr4	4260416	4264618	4262641	4265982	1977	decrease
augustus_masked-chr4-processed-gene-257.15	chr4	25714311	25717255	25716006	25717146	1140	increase
maker-chr4-augustus-gene-26.13	chr4	2682140	2682675	2681695	2683220	536	decrease
maker-chr4-augustus-gene-220.3	chr4	21987364	21991446	21987278	21987561	198	decrease
augustus_masked-chr4-processed-gene-51.13	chr4	5098041	5098604	5098348	5098784	256	decrease
augustus_masked-chr4-processed-gene-203.2	chr4	20300174	20301312	20300263	20300758	495	increase
maker-chr4-augustus-gene-94.1	chr4	9388897	9393066	9388838	9389463	567	decrease
maker-chr4-augustus-gene-199.27	chr4	19953789	19961151	19960094	19960893	799	increase
maker-chr4-augustus-gene-28.41	chr4	2844805	2846487	2844252	2846985	1683	decrease
augustus_masked-chr4-processed-gene-223.2	chr4	22300823	22301451	22300638	22302933	629	decrease
augustus_masked-chr4-processed-gene-196.26	chr4	19668822	19673918	19673476	19674023	442	decrease
augustus_masked-chr4-processed-gene-84.3	chr4	8412577	8413849	8412714	8414138	1135	decrease
maker-chr4-augustus-gene-255.36	chr4	25488324	25489730	25486352	25490093	1407	decrease
augustus_masked-chr4-processed-gene-15.16	chr4	1538345	1539474	1539173	1539461	288	increase
augustus_masked-chr4-processed-gene-23.0	chr4	2291365	2291811	2290692	2291925	447	decrease
maker-chr4-augustus-gene-151.0	chr4	15116477	15118001	15116996	15117321	325	decrease
augustus_masked-chr4-processed-gene-263.21_maker-chr4-augustus-gene-263.40	chr4	26353322	26364504	26358608	26358925	317	increase
augustus_masked-chr4-processed-gene-51.16	chr4	5136246	5139120	5137548	5138376	828	decrease
maker-chr4-augustus-gene-77.7	chr4	7738017	7738906	7738194	7739463	712	decrease
maker-chr4-augustus-gene-31.12	chr4	3102476	3104648	3104005	3104129	124	decrease
maker-chr4-augustus-gene-163.17	chr4	16303913	16309136	16305009	16305254	245	decrease
maker-chr4-augustus-gene-125.8	chr4	12510320	12511032	12510300	12510858	539	increase
maker-chr4-augustus-gene-220.2	chr4	21984915	21985836	21984714	21984994	80	decrease
augustus_masked-chr4-processed-gene-27.8	chr4	2710225	2710708	2710175	2712634	484	decrease
augustus_masked-chr4-processed-gene-216.20	chr4	21628377	21629794	21628622	21629296	674	decrease
maker-chr4-augustus-gene-137.24	chr4	13749520	13751486	13751320	13751730	166	increase
augustus_masked-chr4-processed-gene-236.4	chr4	23603204	23603893	23603539	23603831	292	increase
maker-chr4-augustus-gene-252.39	chr4	25228389	25230164	25228598	25229383	785	decrease
augustus_masked-chr4-processed-gene-186.16	chr4	18600067	18603868	18602863	18604056	1005	increase
augustus_masked-chr4-processed-gene-7.14	chr4	749262	750395	750092	751992	303	decrease
maker-chr4-augustus-gene-236.31	chr4	23627868	23628534	23628378	23629004	156	decrease
augustus_masked-chr4-processed-gene-83.9	chr4	8319845	8320477	8319460	8320188	344	decrease
maker-chr4-augustus-gene-188.4	chr4	18870962	18872044	18871120	18871565	445	increase
maker-chr4-augustus-gene-9.4	chr4	977193	980716	978340	978527	187	decrease
augustus_masked-chr4-processed-gene-30.9	chr4	3041799	3043177	3042037	3043021	984	decrease
maker-chr4-augustus-gene-177.33	chr4	17758727	17759533	17759105	17759386	281	increase
augustus_masked-chr4-processed-gene-81.12	chr4	8166723	8166995	8166263	8167391	273	increase
maker-chr4-augustus-gene-33.26	chr4	3311093	3311857	3310093	3311607	515	decrease
augustus_masked-chr4-processed-gene-20.9	chr4	2035831	2036094	2035528	2036042	212	decrease
maker-chr4-augustus-gene-151.1	chr4	15131113	15132949	15131463	15132063	600	decrease
maker-chr4-augustus-gene-224.15	chr4	22425708	22433575	22425972	22426597	625	increase
maker-chr4-augustus-gene-2.3	chr4	206051	206934	206013	207108	884	decrease
maker-chr4-augustus-gene-192.34	chr4	19270700	19272824	19271256	19271890	634	decrease
maker-chr4-augustus-gene-126.12	chr4	12608219	12610330	12609784	12610695	546	increase
augustus_masked-chr4-processed-gene-86.17	chr4	8647957	8648490	8647461	8648256	300	decrease
maker-chr4-augustus-gene-33.27	chr4	3318849	3319529	3318683	3320000	681	decrease
maker-chr4-augustus-gene-234.16	chr4	23439191	23441330	23440579	23441767	751	increase
augustus_masked-chr4-processed-gene-30.13	chr4	3065208	3066332	3062209	3066203	996	decrease
maker-chr4-augustus-gene-200.46	chr4	20024080	20026989	20022923	20024208	129	decrease
maker-chr4-augustus-gene-212.26	chr4	21222092	21226305	21225049	21225648	599	increase
