seqnames,start,end,width,strand,dens,window_scores,coverage
chr1,1,100000,100000,*,24213,220341,9.10011151034568
chr1,100001,200000,100000,*,14262,80456,5.64128453232366
chr1,200001,300000,100000,*,31413,229477,7.30516028395887
chr1,300001,400000,100000,*,30666,242368,7.90347616252527
chr1,400001,500000,100000,*,33559,244929,7.29845942966119
chr1,500001,600000,100000,*,29339,271742,9.26214254064556
chr1,600001,700000,100000,*,24435,153944,6.30014323715981
chr1,700001,800000,100000,*,32698,270794,8.28166860358432
chr1,800001,900000,100000,*,31137,223980,7.19337123036901
chr1,900001,1000000,100000,*,28263,215198,7.61412447369352
chr1,1000001,1100000,100000,*,34296,246823,7.19684511313273
chr1,1100001,1200000,100000,*,28196,188694,6.69222584763796
chr1,1200001,1300000,100000,*,25027,199652,7.9774643385144
chr1,1300001,1400000,100000,*,9732,39022,4.00965885737772
chr1,1400001,1500000,100000,*,19875,97371,4.89916981132076
chr1,1500001,1600000,100000,*,31910,236877,7.42328423691633
chr1,1600001,1700000,100000,*,30811,231632,7.51783453961248
chr1,1700001,1800000,100000,*,32601,247012,7.57682279684672
chr1,1800001,1900000,100000,*,35451,252860,7.13266198414713
chr1,1900001,2000000,100000,*,30606,302762,9.89224335097693
chr1,2000001,2100000,100000,*,32964,254281,7.71390001213445
chr1,2100001,2200000,100000,*,17905,125255,6.99553197430885
chr1,2200001,2300000,100000,*,30092,188022,6.24823873454739
chr1,2300001,2400000,100000,*,30796,232117,7.53724509676581
chr1,2400001,2500000,100000,*,33497,198132,5.9149177538287
chr1,2500001,2600000,100000,*,33680,217861,6.46855700712589
chr1,2600001,2700000,100000,*,33723,240647,7.13599027370044
chr1,2700001,2800000,100000,*,36294,228430,6.29387777594093
chr1,2800001,2900000,100000,*,30293,248570,8.20552602911564
chr1,2900001,3000000,100000,*,34492,234901,6.81030383857126
chr1,3000001,3100000,100000,*,30900,202952,6.56802588996764
chr1,3100001,3200000,100000,*,30401,220756,7.26147166211638
chr1,3200001,3300000,100000,*,31328,235989,7.53284601634321
chr1,3300001,3400000,100000,*,26580,219405,8.25451467268623
chr1,3400001,3500000,100000,*,29879,275642,9.22527527695037
chr1,3500001,3600000,100000,*,35851,276793,7.72064935427185
chr1,3600001,3700000,100000,*,31330,218663,6.97934886690073
chr1,3700001,3800000,100000,*,28821,192732,6.68720724471739
chr1,3800001,3900000,100000,*,32490,233589,7.18956602031394
chr1,3900001,4000000,100000,*,32429,214781,6.62311511301613
chr1,4000001,4100000,100000,*,34359,237713,6.91850752350185
chr1,4100001,4200000,100000,*,32713,215543,6.58890960780118
chr1,4200001,4300000,100000,*,30686,188048,6.12813660952878
chr1,4300001,4400000,100000,*,28638,209021,7.29872896151966
chr1,4400001,4500000,100000,*,33546,242681,7.23427532343648
chr1,4500001,4600000,100000,*,31196,218315,6.99817284267214
chr1,4600001,4700000,100000,*,29551,209715,7.09671415518933
chr1,4700001,4800000,100000,*,31211,230771,7.39389958668418
chr1,4800001,4900000,100000,*,34181,255779,7.48307539276206
chr1,4900001,5000000,100000,*,33264,215127,6.46726190476191
chr1,5000001,5100000,100000,*,27983,211808,7.56916699424651
chr1,5100001,5200000,100000,*,25824,172799,6.69141109045849
chr1,5200001,5300000,100000,*,32237,257071,7.97440828861246
chr1,5300001,5400000,100000,*,31518,258317,8.19585633606193
chr1,5400001,5500000,100000,*,31885,226921,7.11685745648424
chr1,5500001,5600000,100000,*,31352,268995,8.57983541719826
chr1,5600001,5700000,100000,*,27267,185334,6.79700737154803
chr1,5700001,5800000,100000,*,28726,231076,8.04414119612894
chr1,5800001,5900000,100000,*,29778,230305,7.73406541742226
chr1,5900001,6000000,100000,*,30616,219475,7.16863731382284
chr1,6000001,6100000,100000,*,29510,207534,7.03266689257879
chr1,6100001,6200000,100000,*,25653,226076,8.81284839979729
chr1,6200001,6300000,100000,*,32640,287245,8.80039828431373
chr1,6300001,6400000,100000,*,29362,255798,8.71187248825012
chr1,6400001,6500000,100000,*,32487,239580,7.37464216455813
chr1,6500001,6600000,100000,*,32183,253746,7.88447316906441
chr1,6600001,6700000,100000,*,22521,148801,6.60721104746681
chr1,6700001,6800000,100000,*,29685,243739,8.21084722924036
chr1,6800001,6900000,100000,*,29404,241138,8.20085702625493
chr1,6900001,7000000,100000,*,31580,227656,7.20886637112096
chr1,7000001,7100000,100000,*,31757,250360,7.88361621059924
chr1,7100001,7200000,100000,*,33114,185600,5.60488011113124
chr1,7200001,7300000,100000,*,35577,238409,6.70121145684009
chr1,7300001,7400000,100000,*,25394,177598,6.99369929904702
chr1,7400001,7500000,100000,*,30409,209877,6.90180538656319
chr1,7500001,7600000,100000,*,36502,204774,5.60993918141472
chr1,7600001,7700000,100000,*,28502,173761,6.0964493719739
chr1,7700001,7800000,100000,*,35641,243015,6.81841138015207
chr1,7800001,7900000,100000,*,33434,260028,7.77735239576479
chr1,7900001,8000000,100000,*,32046,230032,7.17818136428884
chr1,8000001,8100000,100000,*,30766,3111236,101.125788207762
chr1,8100001,8200000,100000,*,19622,171549,8.74268678014474
chr1,8200001,8300000,100000,*,33367,212511,6.36889741361225
chr1,8300001,8400000,100000,*,33377,232318,6.96042184737993
chr1,8400001,8500000,100000,*,31580,198911,6.29863837872071
chr1,8500001,8600000,100000,*,33705,266367,7.9028927458834
chr1,8600001,8700000,100000,*,28470,183458,6.44390586582367
chr1,8700001,8800000,100000,*,31096,253853,8.16352585541549
chr1,8800001,8900000,100000,*,31574,276098,8.74447330081713
chr1,8900001,9000000,100000,*,31038,231274,7.45131773954507
chr1,9000001,9100000,100000,*,31086,236780,7.61693366788908
chr1,9100001,9200000,100000,*,33563,219957,6.55355599916575
chr1,9200001,9300000,100000,*,30954,203733,6.58179879821671
chr1,9300001,9400000,100000,*,21913,150027,6.84648382238854
chr1,9400001,9500000,100000,*,31397,218947,6.97350065292862
chr1,9500001,9600000,100000,*,30871,262549,8.50471316121927
chr1,9600001,9700000,100000,*,33571,226336,6.74200947246135
chr1,9700001,9800000,100000,*,31087,231486,7.446392382668
chr1,9800001,9900000,100000,*,31297,242632,7.75256414352813
chr1,9900001,10000000,100000,*,26004,214572,8.25149976926627
chr1,10000001,10100000,100000,*,26160,185994,7.1098623853211
chr1,10100001,10200000,100000,*,19447,118199,6.07800689052296
chr1,10200001,10300000,100000,*,27151,173033,6.37298810356893
chr1,10300001,10400000,100000,*,31163,217648,6.98417995700029
chr1,10400001,10500000,100000,*,31010,246558,7.95091905836827
chr1,10500001,10600000,100000,*,28617,227151,7.93762448894014
chr1,10600001,10700000,100000,*,28927,246393,8.51775158156739
chr1,10700001,10800000,100000,*,29486,245426,8.32347554771756
chr1,10800001,10900000,100000,*,29702,224542,7.55982762103562
chr1,10900001,11000000,100000,*,29980,213054,7.10653769179453
chr1,11000001,11100000,100000,*,32128,266902,8.30745766932271
chr1,11100001,11200000,100000,*,28806,319210,11.0813719364021
chr1,11200001,11300000,100000,*,26937,186054,6.90700523443591
chr1,11300001,11400000,100000,*,32425,242080,7.46584425597533
chr1,11400001,11500000,100000,*,29156,214869,7.36963232267801
chr1,11500001,11600000,100000,*,26510,169030,6.37608449641645
chr1,11600001,11700000,100000,*,30826,286753,9.30230973853241
chr1,11700001,11800000,100000,*,5565,40030,7.19317160826595
chr1,11800001,11900000,100000,*,19220,141749,7.37507804370447
chr1,11900001,12000000,100000,*,29589,240787,8.13772009868532
chr1,12000001,12100000,100000,*,25120,203887,8.11652070063694
chr1,12100001,12200000,100000,*,13984,87615,6.26537471395881
