geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-236.28	chr4	23609868	23612727	23611605	23612040	435	increase
maker-chr4-augustus-gene-32.6	chr4	3242121	3244584	3242257	3242277	20	decrease
maker-chr4-augustus-gene-142.10	chr4	14279446	14280219	14279269	14280454	774	increase
maker-chr4-augustus-gene-239.29	chr4	23911974	23912581	23912191	23912864	390	decrease
maker-chr4-augustus-gene-257.39	chr4	25754088	25757076	25754760	25754859	99	decrease
maker-chr4-augustus-gene-7.2	chr4	768921	772222	772134	772401	88	decrease
augustus_masked-chr4-processed-gene-232.12	chr4	23220942	23224141	23221587	23222007	420	increase
augustus_masked-chr4-processed-gene-196.26	chr4	19668822	19673918	19673200	19673580	380	decrease
maker-chr4-augustus-gene-125.8	chr4	12510320	12511032	12510924	12511079	108	increase
augustus_masked-chr4-processed-gene-216.20	chr4	21628377	21629794	21629004	21629543	539	increase
augustus_masked-chr4-processed-gene-26.7	chr4	2662943	2665173	2664076	2664487	411	increase
augustus_masked-chr4-processed-gene-208.32	chr4	20843110	20846807	20846214	20846946	593	increase
augustus_masked-chr4-processed-gene-83.9	chr4	8319845	8320477	8319333	8320351	507	increase
maker-chr4-augustus-gene-9.4	chr4	977193	980716	977997	978503	506	increase
augustus_masked-chr4-processed-gene-30.9	chr4	3041799	3043177	3042038	3043051	1013	increase
augustus_masked-chr4-processed-gene-76.3	chr4	7680213	7684086	7683201	7683453	252	decrease
maker-chr4-augustus-gene-34.15	chr4	3450402	3451523	3450890	3451411	521	increase
maker-chr4-augustus-gene-222.6	chr4	22243161	22244463	22243934	22244340	406	increase
augustus_masked-chr4-processed-gene-238.25	chr4	23796153	23799602	23798236	23798584	348	decrease
maker-chr4-augustus-gene-252.26	chr4	25233434	25242062	25236256	25237003	747	increase
maker-chr4-augustus-gene-37.3	chr4	3708889	3710270	3709562	3710102	540	decrease
maker-chr4-augustus-gene-266.26_maker-chr4-augustus-gene-266.27	chr4	26623823	26629934	26625499	26625760	261	decrease
maker-chr4-augustus-gene-18.9	chr4	1845947	1847645	1847404	1847597	193	increase
maker-chr4-augustus-gene-129.3	chr4	12958797	12959986	12959458	12959847	389	decrease
maker-chr4-augustus-gene-210.10	chr4	21021615	21024151	21021323	21022099	485	increase
maker-chr4-augustus-gene-227.29_maker-chr4-augustus-gene-227.30_maker-chr4-augustus-gene-227.31	chr4	22733831	22744798	22740997	22741212	215	decrease
maker-chr4-augustus-gene-6.12	chr4	634489	637295	636821	637113	292	increase
maker-chr4-augustus-gene-18.11	chr4	1798414	1799094	1797626	1798503	90	increase
augustus_masked-chr4-processed-gene-17.11	chr4	1743798	1749476	1748751	1749117	366	decrease
augustus_masked-chr4-processed-gene-125.2	chr4	12503450	12504822	12502684	12505263	1373	increase
maker-chr4-augustus-gene-252.36	chr4	25199430	25203543	25201174	25201495	321	increase
maker-chr4-augustus-gene-18.16	chr4	1884016	1886267	1883364	1885090	1075	increase
augustus_masked-chr4-processed-gene-51.20_maker-chr4-augustus-gene-51.4	chr4	5155483	5168928	5159889	5160539	650	increase
augustus_masked-chr4-processed-gene-181.18	chr4	18157318	18163054	18160259	18160535	276	increase
augustus_masked-chr4-processed-gene-26.8	chr4	2657754	2667532	2664076	2664487	411	increase
augustus_masked-chr4-processed-gene-142.14	chr4	14242452	14245347	14244247	14245017	770	decrease
maker-chr4-augustus-gene-88.0	chr4	8807715	8809855	8807176	8808307	593	increase
maker-chr4-augustus-gene-187.29	chr4	18755350	18757878	18755378	18755714	336	increase
maker-chr4-augustus-gene-187.29	chr4	18755350	18757878	18757011	18757754	743	increase
maker-chr4-augustus-gene-257.40	chr4	25760761	25761464	25760468	25761004	244	increase
augustus_masked-chr4-processed-gene-86.21	chr4	8672504	8680042	8679225	8679753	528	decrease
maker-chr4-augustus-gene-187.21	chr4	18764788	18767529	18767094	18767457	363	increase
augustus_masked-chr4-processed-gene-174.15	chr4	17465980	17466432	17466114	17466438	318	increase
maker-chr4-augustus-gene-206.34	chr4	20667563	20669792	20668815	20669222	407	increase
maker-chr4-augustus-gene-3.31	chr4	358327	367726	364006	364510	504	decrease
maker-chr4-augustus-gene-150.2	chr4	15078816	15081039	15078534	15079190	375	increase
maker-chr4-augustus-gene-93.3	chr4	9373285	9375676	9373452	9373799	347	decrease
maker-chr4-augustus-gene-187.28	chr4	18748456	18753026	18752899	18753236	127	increase
maker-chr4-augustus-gene-221.19	chr4	22153343	22158209	22156687	22157373	686	decrease
maker-chr4-augustus-gene-267.40	chr4	26763917	26766100	26764217	26764890	673	increase
maker-chr4-augustus-gene-134.17	chr4	13486701	13489607	13487309	13487887	578	decrease
maker-chr4-augustus-gene-134.17	chr4	13486701	13489607	13488921	13489767	686	increase
augustus_masked-chr4-processed-gene-36.12	chr4	3651176	3652385	3652090	3652212	122	increase
maker-chr4-augustus-gene-3.21	chr4	322868	327800	326040	327299	1259	decrease
augustus_masked-chr4-processed-gene-31.9	chr4	3149881	3150472	3150155	3150637	317	increase
maker-chr4-augustus-gene-257.36	chr4	25721791	25724491	25720652	25722561	771	decrease
maker-chr4-augustus-gene-235.35	chr4	23573958	23575923	23574376	23574677	301	increase
maker-chr4-augustus-gene-131.8	chr4	13110746	13125640	13125365	13125919	275	increase
maker-chr4-augustus-gene-95.1	chr4	9517318	9518638	9517638	9518123	485	decrease
augustus_masked-chr4-processed-gene-185.33	chr4	18550404	18553231	18551347	18552128	781	increase
maker-chr4-augustus-gene-79.1	chr4	7917847	7918540	7917138	7917975	129	increase
augustus_masked-chr4-processed-gene-39.2	chr4	3889137	3890273	3889670	3890577	603	increase
maker-chr4-augustus-gene-24.2	chr4	2420714	2422842	2422286	2422571	285	increase
maker-chr4-augustus-gene-243.15	chr4	24349374	24351269	24349487	24350008	521	decrease
maker-chr4-augustus-gene-214.26	chr4	21418575	21419786	21419168	21419762	594	decrease
augustus_masked-chr1-processed-gene-193.9	chr1	19352365	19354682	19352734	19353029	295	increase
augustus_masked-chr1-processed-gene-104.18	chr1	10444415	10448605	10447422	10448192	770	increase
maker-chr1-augustus-gene-105.3	chr1	10533767	10537696	10536658	10536909	251	increase
maker-chr1-augustus-gene-358.4	chr1	35867722	35870782	35867239	35867914	193	increase
maker-chr1-augustus-gene-358.4	chr1	35867722	35870782	35870500	35870886	282	increase
augustus_masked-chr1-processed-gene-368.1	chr1	36821719	36824509	36823913	36824725	596	increase
