seqnames,start,end,width,strand,dens,window_scores,coverage
chr1,1,100000,100000,*,33420,169927,5.08459006582884
chr1,100001,200000,100000,*,35603,183280,5.14788079656209
chr1,200001,300000,100000,*,35531,195437,5.50046438321466
chr1,300001,400000,100000,*,34113,205887,6.03544103420983
chr1,400001,500000,100000,*,35086,213500,6.0850481673602
chr1,500001,600000,100000,*,33797,220239,6.51652513536704
chr1,600001,700000,100000,*,33217,207710,6.25312340066833
chr1,700001,800000,100000,*,33939,222160,6.54586169303751
chr1,800001,900000,100000,*,34897,212969,6.10278820528985
chr1,900001,1000000,100000,*,33039,187778,5.68352553043373
chr1,1000001,1100000,100000,*,35126,207099,5.89588908500826
chr1,1100001,1200000,100000,*,35197,201606,5.72793135778617
chr1,1200001,1300000,100000,*,34278,211024,6.15625182332692
chr1,1300001,1400000,100000,*,33411,202372,6.05704708030289
chr1,1400001,1500000,100000,*,32644,170687,5.22874035044725
chr1,1500001,1600000,100000,*,33429,202865,6.06853330940202
chr1,1600001,1700000,100000,*,33820,197787,5.84822590183323
chr1,1700001,1800000,100000,*,34404,212883,6.18773979769794
chr1,1800001,1900000,100000,*,36324,214683,5.9102246448629
chr1,1900001,2000000,100000,*,33137,231055,6.97271931677581
chr1,2000001,2100000,100000,*,34491,218186,6.32588211417471
chr1,2100001,2200000,100000,*,26382,142697,5.40887726480176
chr1,2200001,2300000,100000,*,35538,203123,5.71565648038719
chr1,2300001,2400000,100000,*,34553,193338,5.59540416172257
chr1,2400001,2500000,100000,*,36182,203807,5.63282847824885
chr1,2500001,2600000,100000,*,35463,205818,5.80373910836647
chr1,2600001,2700000,100000,*,35389,208539,5.89276328802735
chr1,2700001,2800000,100000,*,36874,196845,5.33831425936975
chr1,2800001,2900000,100000,*,33681,173717,5.15771503221401
chr1,2900001,3000000,100000,*,36494,205509,5.63130925631611
chr1,3000001,3100000,100000,*,33371,182956,5.48248479218483
chr1,3100001,3200000,100000,*,34418,203444,5.91097681445755
chr1,3200001,3300000,100000,*,32290,184931,5.72719108082998
chr1,3300001,3400000,100000,*,27855,163796,5.88030874169808
chr1,3400001,3500000,100000,*,33756,188188,5.57494963858277
chr1,3500001,3600000,100000,*,35675,210810,5.90918009810792
chr1,3600001,3700000,100000,*,34684,191974,5.53494406642832
chr1,3700001,3800000,100000,*,31151,163779,5.25758402619499
chr1,3800001,3900000,100000,*,34459,203737,5.9124466757596
chr1,3900001,4000000,100000,*,34894,190383,5.45603828738465
chr1,4000001,4100000,100000,*,35167,203695,5.79221997895755
chr1,4100001,4200000,100000,*,34751,204420,5.88242064976547
chr1,4200001,4300000,100000,*,36097,198101,5.48801839488046
chr1,4300001,4400000,100000,*,32141,188760,5.8728726548645
chr1,4400001,4500000,100000,*,35100,204557,5.82783475783476
chr1,4500001,4600000,100000,*,32531,168327,5.1743567673911
chr1,4600001,4700000,100000,*,34348,195830,5.70135087923605
chr1,4700001,4800000,100000,*,33008,213906,6.48042898691226
chr1,4800001,4900000,100000,*,34866,208922,5.99214134113463
chr1,4900001,5000000,100000,*,36119,204275,5.65561062044907
chr1,5000001,5100000,100000,*,34324,198307,5.77750262207202
chr1,5100001,5200000,100000,*,31105,156258,5.02356534319241
chr1,5200001,5300000,100000,*,34003,193444,5.6890274387554
chr1,5300001,5400000,100000,*,33399,209178,6.26300188628402
chr1,5400001,5500000,100000,*,33405,202474,6.06118844484359
chr1,5500001,5600000,100000,*,33370,229223,6.86913395265208
chr1,5600001,5700000,100000,*,30710,176099,5.73425594268968
chr1,5700001,5800000,100000,*,33017,191290,5.79368204258412
chr1,5800001,5900000,100000,*,34454,214086,6.21367620595577
chr1,5900001,6000000,100000,*,32595,195357,5.99346525540727
chr1,6000001,6100000,100000,*,36125,196109,5.42862283737024
chr1,6100001,6200000,100000,*,28539,191214,6.70009460737938
chr1,6200001,6300000,100000,*,33077,223360,6.75272848202679
chr1,6300001,6400000,100000,*,31825,198672,6.24263943440691
chr1,6400001,6500000,100000,*,34371,219137,6.37563643769457
chr1,6500001,6600000,100000,*,33823,204919,6.05856961239393
chr1,6600001,6700000,100000,*,25687,147690,5.74960096546891
chr1,6700001,6800000,100000,*,32906,192604,5.85315747887923
chr1,6800001,6900000,100000,*,32790,207554,6.32979566941141
chr1,6900001,7000000,100000,*,34126,208049,6.09649534079587
chr1,7000001,7100000,100000,*,33399,198914,5.95568729602683
chr1,7100001,7200000,100000,*,37093,180206,4.85822122772491
chr1,7200001,7300000,100000,*,37154,201065,5.41166496204985
chr1,7300001,7400000,100000,*,30020,154638,5.15116588940706
chr1,7400001,7500000,100000,*,35347,203617,5.76051715845758
chr1,7500001,7600000,100000,*,37997,196083,5.16048635418586
chr1,7600001,7700000,100000,*,34191,177172,5.18183147611945
chr1,7700001,7800000,100000,*,36063,205125,5.68796273188587
chr1,7800001,7900000,100000,*,34709,201295,5.79950445129505
chr1,7900001,8000000,100000,*,34078,210254,6.1697869593286
chr1,8000001,8100000,100000,*,34281,1503228,43.8501793996675
chr1,8100001,8200000,100000,*,20058,113496,5.65839066706551
chr1,8200001,8300000,100000,*,36446,201239,5.52156615266422
chr1,8300001,8400000,100000,*,35279,207979,5.89526347118682
chr1,8400001,8500000,100000,*,36548,200524,5.48659297362373
chr1,8500001,8600000,100000,*,34886,216840,6.21567390930459
chr1,8600001,8700000,100000,*,35502,182518,5.1410624753535
chr1,8700001,8800000,100000,*,32934,215647,6.54785328232222
chr1,8800001,8900000,100000,*,33066,217739,6.58498155204742
chr1,8900001,9000000,100000,*,33434,205204,6.13758449482563
chr1,9000001,9100000,100000,*,34014,207963,6.11404127712119
chr1,9100001,9200000,100000,*,35293,210792,5.97262913325589
chr1,9200001,9300000,100000,*,33932,205958,6.06972769067547
chr1,9300001,9400000,100000,*,25091,171160,6.82156948706708
chr1,9400001,9500000,100000,*,33559,200107,5.96284156262106
chr1,9500001,9600000,100000,*,33057,207208,6.26820340623771
chr1,9600001,9700000,100000,*,35276,206297,5.84808368295725
chr1,9700001,9800000,100000,*,35050,211165,6.0246790299572
chr1,9800001,9900000,100000,*,33152,208553,6.29081201737452
chr1,9900001,10000000,100000,*,31858,204636,6.42337874317283
chr1,10000001,10100000,100000,*,33558,189641,5.65114130758686
chr1,10100001,10200000,100000,*,29654,191101,6.44435826532677
chr1,10200001,10300000,100000,*,31487,181077,5.75084955696002
chr1,10300001,10400000,100000,*,33750,204410,6.05659259259259
chr1,10400001,10500000,100000,*,33531,229808,6.85359816289404
chr1,10500001,10600000,100000,*,33908,199361,5.87946797215996
chr1,10600001,10700000,100000,*,33584,222098,6.61320867079562
chr1,10700001,10800000,100000,*,32038,199281,6.22014482801673
chr1,10800001,10900000,100000,*,33054,182610,5.52459611544745
chr1,10900001,11000000,100000,*,33068,162239,4.90622353937341
chr1,11000001,11100000,100000,*,34383,191582,5.57199778960533
chr1,11100001,11200000,100000,*,30077,196074,6.5190677261695
chr1,11200001,11300000,100000,*,34876,200842,5.75874526895286
chr1,11300001,11400000,100000,*,33738,212644,6.30280395992649
chr1,11400001,11500000,100000,*,35200,207831,5.90428977272727
chr1,11500001,11600000,100000,*,33582,176830,5.26561848609374
chr1,11600001,11700000,100000,*,33197,212116,6.38961351929391
chr1,11700001,11800000,100000,*,9739,48439,4.97371393366875
chr1,11800001,11900000,100000,*,25462,137299,5.39231010918231
chr1,11900001,12000000,100000,*,33464,175847,5.25481114032991
chr1,12000001,12100000,100000,*,30845,174580,5.65991246555357
chr1,12100001,12200000,100000,*,29533,182668,6.1852165374327
chr1,12200001,12300000,100000,*,33418,211555,6.33057035130768
chr1,12300001,12400000,100000,*,33013,203156,6.15381819283313
chr1,12400001,12500000,100000,*,34143,197303,5.77872477521015
chr1,12500001,12600000,100000,*,34087,198155,5.81321324845249
chr1,12600001,12700000,100000,*,32698,196898,6.02171386629152
chr1,12700001,12800000,100000,*,33657,196282,5.83183290251656
chr1,12800001,12900000,100000,*,32951,190680,5.78677430123517
chr1,12900001,13000000,100000,*,26704,150038,5.61855901737567
chr1,13000001,13100000,100000,*,9412,19869,2.11102847428814
chr1,13100001,13200000,100000,*,32828,160375,4.88531131960521
chr1,13200001,13300000,100000,*,35092,190971,5.44200957483187
chr1,13300001,13400000,100000,*,35548,164919,4.63933273320581
chr1,13400001,13500000,100000,*,32287,171261,5.30433301328708
chr1,13500001,13600000,100000,*,35113,200756,5.71742659413892
chr1,13600001,13700000,100000,*,34169,220444,6.4515789165618
chr1,13700001,13800000,100000,*,36464,203955,5.59332492321194
chr1,13800001,13900000,100000,*,32644,229916,7.04313196912143
chr1,13900001,14000000,100000,*,31682,188411,5.94694148096711
chr1,14000001,14100000,100000,*,34416,216897,6.30221408647141
chr1,14100001,14200000,100000,*,26909,166873,6.20138243710283
chr1,14200001,14300000,100000,*,34382,210380,6.11889942411727
chr1,14300001,14400000,100000,*,32726,208754,6.37884251054208
chr1,14400001,14500000,100000,*,33048,223340,6.75804889857177
