geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-182.32	chr4	18245876	18247032	18246150	18247548	882	decrease
augustus_masked-chr4-processed-gene-145.22	chr4	14550128	14553181	14551864	14551914	50	decrease
maker-chr4-augustus-gene-161.7	chr4	16120756	16122041	16120763	16121264	501	decrease
maker-chr4-augustus-gene-220.1	chr4	21972900	21973821	21972500	21972981	82	decrease
maker-chr4-augustus-gene-44.6	chr4	4466613	4471248	4466289	4466623	11	decrease
augustus_masked-chr4-processed-gene-137.1	chr4	13689954	13690747	13690297	13690876	450	decrease
augustus_masked-chr4-processed-gene-198.24	chr4	19840010	19840786	19839979	19845259	777	increase
augustus_masked-chr4-processed-gene-245.6	chr4	24509990	24511188	24510868	24511237	320	decrease
maker-chr4-augustus-gene-142.10	chr4	14279446	14280219	14279886	14280327	333	increase
maker-chr4-augustus-gene-239.29	chr4	23911974	23912581	23912223	23912663	358	decrease
augustus_masked-chr4-processed-gene-249.44	chr4	24930386	24931008	24930651	24931088	357	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222558	17226827	3021	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2873756	2874040	284	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2876174	2877433	1131	decrease
maker-chr4-augustus-gene-242.11	chr4	24191568	24192174	24191230	24192240	607	decrease
maker-chr4-augustus-gene-39.16	chr4	3900818	3901919	3899184	3902800	1102	decrease
maker-chr4-augustus-gene-166.7_maker-chr4-augustus-gene-166.8	chr4	16640486	16648243	16644781	16644900	119	decrease
augustus_masked-chr4-processed-gene-232.25	chr4	23268296	23269207	23267837	23269272	912	decrease
maker-chr4-augustus-gene-139.20	chr4	13931909	13933141	13928148	13933460	1233	increase
augustus_masked-chr4-processed-gene-42.7	chr4	4260416	4264618	4262641	4268078	1977	decrease
augustus_masked-chr4-processed-gene-257.15	chr4	25714311	25717255	25716083	25716747	664	increase
maker-chr4-augustus-gene-172.28	chr4	17282761	17284394	17283836	17284309	473	decrease
maker-chr4-augustus-gene-26.13	chr4	2682140	2682675	2681695	2683420	536	decrease
maker-chr4-augustus-gene-220.3	chr4	21987364	21991446	21987309	21987773	410	decrease
augustus_masked-chr4-processed-gene-51.13	chr4	5098041	5098604	5098348	5098643	256	decrease
maker-chr4-augustus-gene-94.1	chr4	9388897	9393066	9389421	9390007	586	decrease
maker-chr4-augustus-gene-178.38	chr4	17857008	17861451	17858658	17859015	357	decrease
maker-chr4-augustus-gene-199.27	chr4	19953789	19961151	19960262	19960937	675	increase
augustus_masked-chr4-processed-gene-30.6	chr4	3024361	3024711	3023742	3024516	156	decrease
maker-chr4-augustus-gene-28.41	chr4	2844805	2846487	2844216	2847073	1683	decrease
augustus_masked-chr4-processed-gene-155.12	chr4	15506962	15507327	15507198	15507944	129	decrease
augustus_masked-chr4-processed-gene-196.26	chr4	19668822	19673918	19673254	19674103	664	decrease
augustus_masked-chr4-processed-gene-84.3	chr4	8412577	8413849	8412681	8414064	1168	decrease
maker-chr4-augustus-gene-255.36	chr4	25488324	25489730	25486075	25490130	1407	decrease
maker-chr4-augustus-gene-182.27	chr4	18225547	18229549	18227882	18227976	94	decrease
augustus_masked-chr4-processed-gene-23.0	chr4	2291365	2291811	2290856	2291817	447	decrease
maker-chr4-augustus-gene-151.0	chr4	15116477	15118001	15116844	15117321	477	decrease
maker-chr4-augustus-gene-77.7	chr4	7738017	7738906	7738301	7739359	605	decrease
