geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-182.32	chr4	18245876	18247032	18244921	18247546	1157	decrease
augustus_masked-chr4-processed-gene-145.22	chr4	14550128	14553181	14551864	14552074	210	decrease
maker-chr4-augustus-gene-220.1	chr4	21972900	21973821	21972659	21973117	218	decrease
augustus_masked-chr4-processed-gene-254.16	chr4	25475197	25478146	25474820	25476338	1142	decrease
maker-chr4-augustus-gene-23.13	chr4	2301122	2303202	2302317	2302788	471	decrease
augustus_masked-chr4-processed-gene-245.6	chr4	24509990	24511188	24510868	24511237	320	decrease
maker-chr4-augustus-gene-239.29	chr4	23911974	23912581	23912223	23913658	358	decrease
augustus_masked-chr4-processed-gene-249.44	chr4	24930386	24931008	24930482	24931022	526	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222548	17226867	3021	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2873686	2874146	460	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2876174	2877512	1131	decrease
maker-chr4-augustus-gene-228.16	chr4	22881651	22884481	22882196	22883184	988	increase
maker-chr4-augustus-gene-50.19	chr4	5014575	5015759	5014721	5016044	1038	decrease
maker-chr4-augustus-gene-242.11	chr4	24191568	24192174	24191230	24192240	607	decrease
maker-chr4-augustus-gene-39.16	chr4	3900818	3901919	3900926	3901931	993	decrease
augustus_masked-chr4-processed-gene-141.23	chr4	14173498	14174305	14172953	14174852	808	increase
augustus_masked-chr4-processed-gene-163.0	chr4	16278297	16290475	16283821	16284148	327	decrease
augustus_masked-chr4-processed-gene-163.0	chr4	16278297	16290475	16287136	16288436	1300	increase
augustus_masked-chr4-processed-gene-146.3	chr4	14664280	14666527	14664274	14665697	1418	decrease
augustus_masked-chr4-processed-gene-232.25	chr4	23268296	23269207	23268060	23269199	904	decrease
augustus_masked-chr4-processed-gene-42.7	chr4	4260416	4264618	4262641	4263690	1049	decrease
augustus_masked-chr4-processed-gene-84.9	chr4	8454898	8456865	8456328	8458055	537	increase
augustus_masked-chr4-processed-gene-257.15	chr4	25714311	25717255	25716083	25716655	572	increase
maker-chr4-augustus-gene-172.28	chr4	17282761	17284394	17283836	17284508	558	decrease
maker-chr4-augustus-gene-26.13	chr4	2682140	2682675	2681695	2683458	536	decrease
augustus_masked-chr4-processed-gene-51.13	chr4	5098041	5098604	5097991	5098755	564	decrease
maker-chr4-augustus-gene-94.1	chr4	9388897	9393066	9389265	9390095	830	decrease
maker-chr4-augustus-gene-185.3_maker-chr4-augustus-gene-185.4	chr4	18506325	18511432	18508715	18509046	331	decrease
maker-chr4-augustus-gene-178.38	chr4	17857008	17861451	17858658	17859096	438	decrease
maker-chr4-augustus-gene-199.27	chr4	19953789	19961151	19960025	19960141	116	decrease
maker-chr4-augustus-gene-199.27	chr4	19953789	19961151	19955623	19955926	303	decrease
maker-chr4-augustus-gene-195.20	chr4	19572034	19572319	19571627	19572681	286	decrease
maker-chr4-augustus-gene-228.6	chr4	22866317	22868338	22866693	22867279	586	increase
augustus_masked-chr4-processed-gene-30.6	chr4	3024361	3024711	3023807	3024516	156	decrease
augustus_masked-chr4-processed-gene-32.24	chr4	3206840	3207805	3206468	3208360	966	decrease
maker-chr4-augustus-gene-28.25	chr4	2802584	2804514	2801730	2804629	1931	increase
maker-chr4-augustus-gene-4.31	chr4	412761	415084	413861	414361	500	decrease
augustus_masked-chr4-processed-gene-196.26	chr4	19668822	19673918	19673199	19673957	719	decrease
augustus_masked-chr4-processed-gene-84.3	chr4	8412577	8413849	8412276	8414099	1273	decrease
augustus_masked-chr4-processed-gene-34.0	chr4	3420616	3421415	3420925	3421206	281	decrease
maker-chr4-augustus-gene-255.36	chr4	25488324	25489730	25486077	25490130	1407	decrease
augustus_masked-chr4-processed-gene-162.2	chr4	16193419	16197425	16192887	16194497	1079	increase
augustus_masked-chr4-processed-gene-15.16	chr4	1538345	1539474	1539327	1539536	147	decrease
maker-chr4-augustus-gene-4.33	chr4	459483	462435	461775	462524	660	increase
maker-chr4-augustus-gene-182.27	chr4	18225547	18229549	18227854	18228195	341	decrease
augustus_masked-chr4-processed-gene-23.0	chr4	2291365	2291811	2290856	2293372	447	decrease
maker-chr4-augustus-gene-151.0	chr4	15116477	15118001	15117162	15117525	363	decrease
maker-chr4-augustus-gene-222.5	chr4	22238941	22243013	22239754	22239812	58	increase
