geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-210.9	chr4	21013698	21016646	21015500	21015983	483	increase
maker-chr4-augustus-gene-8.13	chr4	833479	834661	834371	834890	290	decrease
maker-chr4-augustus-gene-236.28	chr4	23609868	23612727	23611604	23612215	611	increase
augustus_masked-chr4-processed-gene-245.6	chr4	24509990	24511188	24511016	24511429	172	increase
maker-chr4-augustus-gene-142.10	chr4	14279446	14280219	14279032	14280533	774	increase
maker-chr4-augustus-gene-239.29	chr4	23911974	23912581	23912312	23912863	269	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222374	17222860	214	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2873374	2874046	672	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2876215	2877646	1090	decrease
maker-chr4-augustus-gene-214.31	chr4	21481804	21482746	21482687	21483030	59	increase
augustus_masked-chr4-processed-gene-232.25	chr4	23268296	23269207	23268843	23269505	364	decrease
maker-chr4-augustus-gene-178.38	chr4	17857008	17861451	17856431	17857009	2	decrease
maker-chr4-augustus-gene-200.43	chr4	20002628	20004714	20003554	20003790	236	increase
maker-chr4-augustus-gene-163.17	chr4	16303913	16309136	16303729	16303957	45	decrease
augustus_masked-chr4-processed-gene-76.6	chr4	7620393	7622156	7621051	7621588	537	increase
maker-chr4-augustus-gene-155.3	chr4	15560889	15562472	15560673	15561010	122	decrease
augustus_masked-chr4-processed-gene-143.14	chr4	14369549	14370942	14369941	14370388	447	increase
augustus_masked-chr4-processed-gene-27.8	chr4	2710225	2710708	2709995	2710553	329	decrease
augustus_masked-chr4-processed-gene-208.32	chr4	20843110	20846807	20846287	20846946	520	increase
maker-chr4-augustus-gene-253.1	chr4	25317301	25317709	25316846	25318399	409	decrease
augustus_masked-chr4-processed-gene-7.14	chr4	749262	750395	749440	749989	549	decrease
augustus_masked-chr4-processed-gene-83.9	chr4	8319845	8320477	8319399	8320438	594	increase
augustus_masked-chr4-processed-gene-30.9	chr4	3041799	3043177	3042038	3043051	1013	increase
augustus_masked-chr4-processed-gene-81.12	chr4	8166723	8166995	8166360	8166741	19	increase
maker-chr4-augustus-gene-189.37	chr4	18934598	18936961	18936472	18936890	418	decrease
maker-chr4-augustus-gene-216.5	chr4	21609214	21611671	21609943	21610380	437	increase
augustus_masked-chr4-processed-gene-250.50	chr4	25013920	25015755	25014809	25015333	524	decrease
maker-chr4-augustus-gene-224.15	chr4	22425708	22433575	22427468	22427693	225	decrease
maker-chr4-augustus-gene-126.12	chr4	12608219	12610330	12610171	12610643	159	increase
maker-chr4-augustus-gene-270.29	chr4	26997041	26999593	26997231	26997326	95	increase
augustus_masked-chr4-processed-gene-200.3	chr4	20018709	20021686	20020018	20020494	476	decrease
maker-chr4-augustus-gene-34.15	chr4	3450402	3451523	3450770	3451480	710	increase
maker-chr4-augustus-gene-141.7	chr4	14163483	14164789	14163982	14164154	172	decrease
augustus_masked-chr4-processed-gene-143.10	chr4	14354046	14362408	14360084	14360675	591	decrease
augustus_masked-chr4-processed-gene-173.30	chr4	17321275	17321487	17320803	17321473	199	decrease
maker-chr4-augustus-gene-19.8	chr4	1954625	1958037	1957124	1958054	913	decrease
maker-chr4-augustus-gene-84.12	chr4	8404714	8408250	8408237	8409013	13	decrease
maker-chr4-augustus-gene-44.7	chr4	4481281	4483316	4481496	4482125	629	decrease
maker-chr4-augustus-gene-257.29	chr4	25766145	25767563	25765833	25766303	159	decrease
maker-chr4-augustus-gene-257.29	chr4	25766145	25767563	25766984	25767354	370	decrease
maker-chr4-augustus-gene-187.22	chr4	18767928	18770508	18768284	18769074	790	increase
maker-chr4-augustus-gene-168.0	chr4	16821906	16823255	16821266	16821910	5	decrease
maker-chr4-augustus-gene-18.9	chr4	1845947	1847645	1847438	1847597	159	increase
maker-chr4-augustus-gene-129.3	chr4	12958797	12959986	12959386	12959913	527	decrease
maker-chr4-augustus-gene-210.10	chr4	21021615	21024151	21021323	21022150	536	increase
maker-chr4-augustus-gene-31.14	chr4	3109115	3113456	3111969	3112823	854	decrease
maker-chr4-augustus-gene-207.15	chr4	20756500	20757038	20756118	20756702	203	increase
augustus_masked-chr4-processed-gene-70.7	chr4	7054147	7059665	7057475	7057763	288	decrease
maker-chr4-augustus-gene-168.11	chr4	16862536	16864792	16863608	16863994	386	decrease
maker-chr4-augustus-gene-212.35	chr4	21249281	21252065	21251775	21251839	64	decrease
maker-chr4-augustus-gene-227.29_maker-chr4-augustus-gene-227.30_maker-chr4-augustus-gene-227.31	chr4	22733831	22744798	22740997	22741070	73	decrease
augustus_masked-chr4-processed-gene-41.10	chr4	4131189	4132096	4131477	4132027	550	decrease
maker-chr4-augustus-gene-6.12	chr4	634489	637295	636952	637249	297	increase
maker-chr4-augustus-gene-28.42_maker-chr4-augustus-gene-28.43	chr4	2857230	2868318	2862636	2862814	178	decrease
