geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G022518	chr16	1201039	1209830	1201408	1201840	432	increase
AlMed_G024349	chr16	16856919	16857858	16856820	16856963	45	increase
AlMed_G022693	chr16	2355233	2361105	2356426	2356520	94	increase
AlMed_G022712	chr16	2500600	2557378	2534212	2534394	182	increase
AlMed_G003715	chr9	22923869	22926585	22925373	22925493	120	increase
AlMed_G002520_AlMed_G002521	chr9	10806438	10818281	10811041	10811355	314	increase
AlMed_G003384_AlMed_G003385	chr9	16752369	16763341	16761369	16762039	670	increase
AlMed_G003556	chr9	21240461	21242077	21242056	21242683	21	increase
AlMed_G008904	chr14	800075	800278	800038	800565	204	increase
AlMed_G009781	chr14	4489981	4493784	4492119	4492842	723	increase
AlMed_G011043	chr14	10487046	10498517	10497342	10497674	332	increase
AlMed_G015123	chr11	11885194	11889631	11886446	11886799	353	increase
AlMed_G015247_AlMed_G015246	chr11	13195006	13209589	13199843	13200250	407	increase
AlMed_G016117	chr11	26239284	26241355	26238849	26239302	19	increase
AlMed_G016378	chr12	909058	913671	910670	910943	273	increase
AlMed_G017654	chr12	16355838	16358597	16357284	16357560	276	increase
AlMed_G017397	chr12	14889344	14892434	14889370	14889862	492	increase
AlMed_G007753	chr15	15896856	15898205	15896819	15897057	202	increase
AlMed_G004845	chr15	1264977	1267923	1264883	1265072	96	increase
AlMed_G005300	chr15	3309639	3313506	3312337	3312815	478	increase
AlMed_G008291	chr15	24938872	24943935	24943899	24944335	36	increase
AlMed_G007515	chr15	13833287	13844534	13842020	13842234	214	increase
AlMed_G026836_AlMed_G026837	chr10	16013025	16019899	16013935	16014168	233	increase
AlMed_G026123	chr10	7163422	7168235	7167446	7167674	228	increase
AlMed_G025176	chr10	332264	357208	354069	354630	561	increase
AlMed_G026533	chr10	14058365	14083470	14083072	14083377	305	increase
