geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G022440	chr16	657941	660674	657631	658733	793	increase
AlMed_G023938	chr16	14845803	14849220	14846417	14847142	725	increase
AlMed_G024344	chr16	16837130	16837647	16836908	16838728	518	decrease
AlMed_G022620_AlMed_G022621	chr16	1940503	1943200	1943070	1943492	130	decrease
AlMed_G023483_AlMed_G023484	chr16	12277818	12280877	12278128	12279855	1727	decrease
AlMed_G023336	chr16	11419422	11420027	11420019	11420120	8	decrease
AlMed_G023145	chr16	9959964	9965479	9962711	9962775	64	increase
AlMed_G023033	chr16	9099311	9103210	9102973	9103261	237	decrease
AlMed_G023000	chr16	8699194	8703851	8702085	8702464	379	increase
AlMed_G024266	chr16	16421737	16428806	16427708	16428421	713	decrease
AlMed_G022654	chr16	2110280	2111618	2110528	2111699	1090	decrease
AlMed_G023714	chr16	13636458	13642728	13637301	13637430	129	decrease
AlMed_G022737	chr16	2761565	2763181	2761731	2762370	639	increase
AlMed_G024137	chr16	15872604	15876785	15872199	15872712	109	increase
AlMed_G023615	chr16	13041241	13050108	13043198	13048345	5147	increase
AlMed_G023615	chr16	13041241	13050108	13041037	13042069	829	increase
AlMed_G022676	chr16	2232554	2236436	2235626	2235898	272	decrease
AlMed_G022970	chr16	8241589	8243639	8241280	8241678	90	increase
AlMed_G023986	chr16	15091747	15093754	15093523	15094283	231	decrease
AlMed_G023523	chr16	12533537	12536756	12534671	12534924	253	increase
AlMed_G024555	chr16	17936992	17937802	17937189	17937728	539	decrease
AlMed_G023668	chr16	13397689	13398144	13397732	13398322	412	increase
AlMed_G023304	chr16	11207060	11210075	11207970	11208254	284	increase
AlMed_G024234	chr16	16273428	16276245	16274534	16275002	468	decrease
AlMed_G023658	chr16	13342413	13343972	13342435	13344461	1537	increase
AlMed_G024454	chr16	17410699	17414357	17409976	17410751	53	increase
AlMed_G024007	chr16	15196861	15198297	15197840	15198144	304	decrease
AlMed_G022917_AlMed_G022918	chr16	4624488	4633279	4624746	4625467	721	decrease
AlMed_G024723	chr16	18719343	18720173	18719822	18719926	104	increase
AlMed_G023123	chr16	9776322	9777708	9776912	9777564	652	increase
AlMed_G022518	chr16	1201039	1209830	1201914	1202012	98	increase
AlMed_G022518	chr16	1201039	1209830	1206608	1208291	1683	increase
AlMed_G023581	chr16	12855847	12859343	12856495	12857162	667	decrease
AlMed_G023581	chr16	12855847	12859343	12858328	12858870	542	decrease
AlMed_G024475	chr16	17535430	17536892	17536788	17537046	104	increase
AlMed_G022460	chr16	787595	789829	789788	790207	41	increase
AlMed_G023657	chr16	13339122	13340634	13338746	13340650	1513	increase
AlMed_G024008	chr16	15200371	15204198	15200239	15200891	521	decrease
AlMed_G022697	chr16	2391123	2392829	2391509	2392490	981	increase
AlMed_G022719	chr16	2613278	2618345	2613544	2613824	280	increase
AlMed_G023293	chr16	11098369	11098725	11098267	11099794	357	decrease
AlMed_G023420	chr16	11896826	11899219	11893894	11897106	281	increase
AlMed_G022741	chr16	2786925	2792775	2790425	2791418	993	decrease
AlMed_G023669	chr16	13398397	13399206	13399015	13399183	168	increase
AlMed_G022774	chr16	3043301	3044622	3043179	3043303	3	decrease
AlMed_G024804	chr16	19051793	19054433	19054001	19054454	432	increase
AlMed_G022546	chr16	1422911	1426917	1426908	1427128	9	increase
AlMed_G022449	chr16	694972	697901	694362	695203	232	decrease
AlMed_G023921	chr16	14766885	14767884	14766601	14767236	352	increase
AlMed_G023616	chr16	13050617	13051363	13050959	13052026	404	increase
AlMed_G022371	chr16	281422	282621	282603	283158	18	increase
AlMed_G023871	chr16	14564600	14568635	14566327	14567355	1028	decrease
AlMed_G023939	chr16	14849303	14849972	14849240	14850117	670	increase
AlMed_G023844	chr16	14448006	14450882	14448632	14449324	692	decrease
AlMed_G022827	chr16	3507868	3508378	3508099	3508203	104	increase
AlMed_G023137	chr16	9918529	9919728	9918602	9918788	186	decrease
AlMed_G024033	chr16	15296494	15297949	15297447	15297922	475	increase
AlMed_G025052	chr16	20198036	20201011	20200001	20200174	173	decrease
AlMed_G022778	chr16	3084590	3084855	3084831	3085029	24	decrease
AlMed_G023292	chr16	11098026	11099624	11098267	11099794	1357	decrease
AlMed_G023132	chr16	9886722	9895186	9890965	9891037	72	decrease
AlMed_G022451	chr16	711485	712282	712270	712399	12	increase
AlMed_G023407_AlMed_G023411	chr16	11814074	11851384	11825142	11826069	927	increase
AlMed_G023491	chr16	12345331	12349768	12345712	12345990	278	increase
AlMed_G022461	chr16	789855	790091	789788	790207	237	increase
AlMed_G024339	chr16	16799246	16803463	16802257	16802640	383	decrease
AlMed_G024462	chr16	17476960	17479727	17477013	17477915	902	decrease
AlMed_G023128	chr16	9855533	9859604	9850074	9860578	4072	increase
AlMed_G023299	chr16	11140714	11143505	11142262	11143219	957	increase
AlMed_G023653	chr16	13323804	13326070	13324324	13324912	588	increase
AlMed_G024527	chr16	17788979	17789923	17789630	17790079	293	decrease
AlMed_G023568	chr16	12802019	12804768	12801313	12802960	942	decrease
AlMed_G023915	chr16	14733343	14735370	14733525	14735014	1489	decrease
AlMed_G024754	chr16	18844335	18846225	18845089	18845766	677	increase
AlMed_G023550	chr16	12681727	12690021	12682950	12683342	392	decrease
AlMed_G022425	chr16	556538	558090	557918	558262	172	increase
AlMed_G023990	chr16	15116742	15121178	15117746	15118215	469	decrease
AlMed_G023656	chr16	13334499	13336013	13334217	13335146	648	increase
AlMed_G022656	chr16	2118160	2120041	2118713	2119292	579	increase
AlMed_G023716	chr16	13653796	13654920	13654895	13655635	25	increase
AlMed_G022588	chr16	1671397	1672233	1672195	1672462	38	decrease
AlMed_G023495	chr16	12368782	12373653	12372584	12373017	433	increase
AlMed_G024200	chr16	16123995	16130018	16127859	16128309	450	increase
AlMed_G024200	chr16	16123995	16130018	16129552	16129990	438	increase
AlMed_G023104	chr16	9652473	9654859	9652816	9653355	539	decrease
AlMed_G022712	chr16	2500600	2557378	2527654	2527756	102	increase
AlMed_G022446	chr16	676803	681750	679589	680724	1135	decrease
AlMed_G023403	chr16	11791264	11794020	11792411	11792617	206	increase
AlMed_G024370	chr16	16966242	16967480	16966129	16966692	451	decrease
AlMed_G023989	chr16	15110673	15115639	15115306	15115357	51	increase
AlMed_G023419	chr16	11893492	11896459	11893894	11897106	2565	increase
AlMed_G024194	chr16	16099490	16101392	16099600	16100179	579	decrease
AlMed_G023135	chr16	9903604	9904803	9903612	9904105	493	decrease
AlMed_G022711	chr16	2490515	2495995	2492482	2495519	3037	increase
AlMed_G022724	chr16	2643527	2645426	2644061	2644143	82	increase
AlMed_G024296_AlMed_G024297	chr16	16609038	16613164	16612096	16612598	502	decrease
AlMed_G024235	chr16	16277627	16284042	16277848	16279610	1762	decrease
AlMed_G022736	chr16	2751554	2752210	2751494	2752119	566	increase
AlMed_G023144	chr16	9953697	9956451	9953717	9954184	467	increase
AlMed_G023567	chr16	12801067	12801443	12801313	12802960	130	decrease
AlMed_G024345	chr16	16837970	16838884	16836908	16838728	759	decrease
AlMed_G022624_AlMed_G022625_AlMed_G022626	chr16	1965408	1982049	1973607	1974051	444	decrease
AlMed_G022624_AlMed_G022625_AlMed_G022626	chr16	1965408	1982049	1977327	1977692	365	decrease
AlMed_G023244_AlMed_G023245	chr16	10789330	10797655	10789615	10792972	3357	decrease
AlMed_G023244_AlMed_G023245	chr16	10789330	10797655	10794240	10797250	3010	decrease
AlMed_G022646	chr16	2064223	2065322	2064380	2064581	201	increase
AlMed_G022569	chr16	1563595	1571416	1571351	1571941	65	increase
AlMed_G022931	chr16	5332600	5333258	5332875	5333160	285	increase
AlMed_G024128	chr16	15843665	15845460	15844351	15844730	379	increase
AlMed_G024128	chr16	15843665	15845460	15842953	15843838	174	increase
AlMed_G022462	chr16	790165	791704	789788	790207	43	increase
AlMed_G003870	chr9	24253342	24260986	24257712	24258099	387	increase
AlMed_G002370	chr9	10021752	10023610	10021665	10021832	81	increase
AlMed_G004403	chr9	27595736	27596086	27595409	27595862	127	increase
AlMed_G003560	chr9	21262436	21263462	21263073	21263358	285	increase
AlMed_G002817	chr9	12619238	12620819	12620398	12620806	408	increase
AlMed_G002834	chr9	12706568	12707803	12707702	12709078	101	increase
AlMed_G000001	chr9	3449	7736	3233	4899	1451	decrease
AlMed_G000305	chr9	1212996	1213661	1211831	1213809	666	decrease
AlMed_G003154	chr9	14790643	14794144	14793723	14793870	147	decrease
AlMed_G003002	chr9	13758933	13759825	13759269	13759779	510	increase
AlMed_G004014	chr9	25291118	25296121	25292881	25292988	107	decrease
AlMed_G004014	chr9	25291118	25296121	25294724	25295104	380	decrease
AlMed_G003547	chr9	21149794	21152044	21150359	21150939	580	decrease
AlMed_G001013	chr9	4074545	4075713	4075372	4075519	147	decrease
AlMed_G004365	chr9	27349043	27352317	27351905	27352726	412	increase
AlMed_G003025_AlMed_G003028	chr9	13869052	13895195	13880842	13885082	4240	increase
AlMed_G000881	chr9	3611402	3611962	3611386	3611826	425	increase
AlMed_G003188	chr9	15018678	15021239	15018280	15019080	403	decrease
AlMed_G003853	chr9	24140650	24142540	24140525	24141655	1006	increase
AlMed_G002694_AlMed_G002695	chr9	11838051	11847630	11840066	11840139	73	decrease
AlMed_G002330	chr9	9778957	9782326	9779165	9782180	3015	decrease
AlMed_G003787	chr9	23745074	23745725	23744920	23745322	249	decrease
AlMed_G004001	chr9	25206817	25208117	25207650	25208222	467	decrease
