seqnames,start,end,width,strand,dens,window_scores,coverage
chr9,1,100000,100000,*,20632,108265,5.24743117487398
chr9,100001,200000,100000,*,18775,115691,6.1619707057257
chr9,200001,300000,100000,*,28926,140455,4.85566618267303
chr9,300001,400000,100000,*,28874,138596,4.80002770658724
chr9,400001,500000,100000,*,26030,110030,4.22704571648098
chr9,500001,600000,100000,*,27075,150167,5.54633425669437
chr9,600001,700000,100000,*,25649,112660,4.3923739716948
chr9,700001,800000,100000,*,25510,114376,4.48357506860055
chr9,800001,900000,100000,*,29380,135306,4.60537780803268
chr9,900001,1000000,100000,*,27017,110917,4.10545212273754
chr9,1000001,1100000,100000,*,31021,150956,4.86625189387834
chr9,1100001,1200000,100000,*,21276,127029,5.9705301748449
chr9,1200001,1300000,100000,*,26820,210801,7.85984340044743
chr9,1300001,1400000,100000,*,31392,155034,4.93864678899083
chr9,1400001,1500000,100000,*,29117,148899,5.11381667067349
chr9,1500001,1600000,100000,*,29580,162299,5.4867816091954
chr9,1600001,1700000,100000,*,31187,143770,4.6099336261904
chr9,1700001,1800000,100000,*,30296,134903,4.45283205703723
chr9,1800001,1900000,100000,*,20918,90469,4.32493546228129
chr9,1900001,2000000,100000,*,27069,151110,5.58240053197384
chr9,2000001,2100000,100000,*,31013,176248,5.68303614613227
chr9,2100001,2200000,100000,*,31281,175458,5.60909178095329
chr9,2200001,2300000,100000,*,32131,164760,5.1277582397062
chr9,2300001,2400000,100000,*,29560,152365,5.15443166441137
chr9,2400001,2500000,100000,*,31392,139130,4.43202089704383
chr9,2500001,2600000,100000,*,32389,151377,4.6737163851925
chr9,2600001,2700000,100000,*,23725,108187,4.56004214963119
chr9,2700001,2800000,100000,*,29868,144255,4.8297509039775
chr9,2800001,2900000,100000,*,29200,142488,4.87972602739726
chr9,2900001,3000000,100000,*,32192,162912,5.06063618290258
chr9,3000001,3100000,100000,*,25461,119969,4.71187306075959
chr9,3100001,3200000,100000,*,23056,108239,4.69461311589174
chr9,3200001,3300000,100000,*,30682,162045,5.28143536927189
chr9,3300001,3400000,100000,*,32620,208488,6.39141630901288
chr9,3400001,3500000,100000,*,33698,176559,5.23945041248739
chr9,3500001,3600000,100000,*,30752,151271,4.9190621748179
chr9,3600001,3700000,100000,*,34966,181393,5.1876966195733
