geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G023938	chr16	14845803	14849220	14847892	14848326	434	increase
AlMed_G023166	chr16	10134138	10134499	10134035	10134451	314	increase
AlMed_G023152	chr16	9993842	9995186	9995135	9995489	51	increase
AlMed_G022777	chr16	3079728	3081250	3080034	3080830	796	increase
AlMed_G023962	chr16	14948880	14952386	14948643	14948973	94	increase
AlMed_G024110	chr16	15714608	15715421	15714846	15715073	227	increase
AlMed_G024979	chr16	19827121	19829972	19828775	19828948	173	increase
AlMed_G023000	chr16	8699194	8703851	8699086	8699816	623	increase
AlMed_G022365_AlMed_G022367	chr16	259506	264536	259934	260436	502	decrease
AlMed_G024266	chr16	16421737	16428806	16425998	16426095	97	decrease
AlMed_G023106	chr16	9658846	9660599	9658194	9658900	55	increase
AlMed_G022779	chr16	3085772	3086921	3085368	3086227	456	increase
AlMed_G022427	chr16	562631	565843	562523	562905	275	decrease
AlMed_G022654	chr16	2110280	2111618	2110675	2111992	943	increase
AlMed_G023714	chr16	13636458	13642728	13639765	13640280	515	increase
AlMed_G022828	chr16	3522101	3525784	3524684	3525013	329	increase
AlMed_G023102	chr16	9648367	9649418	9649162	9649612	256	increase
AlMed_G022596	chr16	1772696	1774604	1772774	1773755	981	increase
AlMed_G022459	chr16	784204	786960	784349	785172	823	increase
AlMed_G023795	chr16	14213179	14214073	14212763	14213271	93	increase
AlMed_G023615	chr16	13041241	13050108	13043905	13044709	804	decrease
AlMed_G023615	chr16	13041241	13050108	13045342	13045546	204	increase
AlMed_G023615	chr16	13041241	13050108	13046169	13047021	852	increase
AlMed_G023615	chr16	13041241	13050108	13041286	13041847	561	decrease
AlMed_G022676	chr16	2232554	2236436	2232276	2234863	2310	increase
AlMed_G023986	chr16	15091747	15093754	15093585	15093913	169	decrease
AlMed_G023072	chr16	9389881	9390502	9389635	9390026	146	increase
AlMed_G023028	chr16	9069012	9071312	9070704	9071297	593	increase
AlMed_G023894	chr16	14632444	14637040	14635494	14635962	468	increase
AlMed_G022742	chr16	2798393	2799394	2799172	2799818	222	decrease
AlMed_G022388	chr16	372509	373643	373096	373730	547	increase
AlMed_G023725	chr16	13694416	13694871	13694167	13694686	271	decrease
AlMed_G024044	chr16	15372313	15373106	15372693	15373431	413	decrease
AlMed_G023804	chr16	14246042	14246347	14245067	14246259	218	decrease
AlMed_G024118	chr16	15762817	15765537	15763876	15763899	23	increase
AlMed_G024007	chr16	15196861	15198297	15198044	15198275	231	increase
AlMed_G024316	chr16	16696741	16699737	16698090	16698395	305	decrease
AlMed_G022917_AlMed_G022918	chr16	4624488	4633279	4624357	4624833	346	increase
AlMed_G023667	chr16	13384321	13385849	13385636	13385909	213	decrease
AlMed_G023581	chr16	12855847	12859343	12857058	12857229	171	increase
AlMed_G023490	chr16	12325242	12327529	12325847	12326368	521	increase
AlMed_G022753	chr16	2855839	2856279	2855772	2856537	441	increase
AlMed_G022786	chr16	3118261	3121926	3121759	3122249	167	decrease
AlMed_G022640	chr16	2038103	2039580	2038092	2038213	111	decrease
AlMed_G023274	chr16	10999582	11003920	10999442	11000120	539	increase
AlMed_G024347	chr16	16843839	16847362	16846880	16847167	287	decrease
AlMed_G023375	chr16	11644707	11646264	11645497	11645889	392	increase
AlMed_G024350	chr16	16864562	16867507	16865262	16865499	237	increase
AlMed_G023105	chr16	9658135	9658682	9658194	9658900	488	increase
AlMed_G023723	chr16	13682914	13684975	13682998	13683215	217	increase
AlMed_G022555	chr16	1471137	1473161	1472201	1472775	574	increase
AlMed_G022925	chr16	5028134	5030337	5029525	5030050	525	increase
AlMed_G022910	chr16	4572089	4576236	4575963	4576517	273	increase
AlMed_G024156	chr16	15947437	15950281	15947865	15948685	820	increase
AlMed_G024196	chr16	16109511	16110287	16109959	16110050	91	decrease
AlMed_G022899	chr16	4444293	4446220	4445267	4445583	316	decrease
AlMed_G023783	chr16	14129548	14131624	14130521	14130894	373	increase
AlMed_G024660	chr16	18425053	18426576	18425058	18425170	112	increase
AlMed_G022939	chr16	5478104	5478898	5477767	5478201	98	decrease
AlMed_G023371	chr16	11629827	11630879	11630757	11631003	122	decrease
AlMed_G022408	chr16	480077	482696	480095	480750	655	decrease
AlMed_G023139	chr16	9933826	9937808	9936199	9936358	159	decrease
AlMed_G023869	chr16	14553051	14558121	14553997	14554584	587	increase
AlMed_G023829	chr16	14380145	14381565	14381495	14381796	70	increase
AlMed_G022635	chr16	2018747	2019127	2018849	2019377	278	increase
AlMed_G023937	chr16	14844272	14845736	14845466	14845697	231	increase
AlMed_G022543	chr16	1406243	1409584	1406742	1407143	401	increase
AlMed_G024922	chr16	19576288	19579145	19578838	19578869	31	increase
AlMed_G023840	chr16	14421737	14425940	14421781	14422400	619	increase
AlMed_G024201	chr16	16132661	16135439	16135214	16135806	225	decrease
AlMed_G022585	chr16	1651165	1652803	1650777	1651334	170	decrease
AlMed_G023472_AlMed_G023473	chr16	12242299	12246931	12243592	12243701	109	decrease
AlMed_G023132	chr16	9886722	9895186	9889900	9890016	116	decrease
AlMed_G023229	chr16	10666285	10667286	10667270	10668231	16	increase
AlMed_G022572	chr16	1583890	1584843	1584028	1584420	392	increase
AlMed_G023619	chr16	13087081	13088372	13087368	13088296	928	increase
AlMed_G023998	chr16	15152192	15157061	15153914	15154100	186	decrease
AlMed_G023932	chr16	14829968	14832505	14830758	14830954	196	increase
AlMed_G022998	chr16	8697191	8698113	8697426	8698079	653	increase
AlMed_G024971	chr16	19782916	19783537	19783320	19783406	86	increase
AlMed_G023136	chr16	9910722	9911348	9911094	9912166	254	increase
AlMed_G023729	chr16	13721096	13723845	13721710	13722028	318	decrease
AlMed_G022558	chr16	1480366	1482557	1481748	1482237	489	increase
AlMed_G024483	chr16	17562861	17564418	17564326	17564693	92	increase
AlMed_G023299	chr16	11140714	11143505	11141488	11141651	163	decrease
AlMed_G023299	chr16	11140714	11143505	11142682	11143188	506	decrease
AlMed_G023980	chr16	15065954	15072590	15065213	15065973	20	decrease
AlMed_G023980	chr16	15065954	15072590	15068635	15068909	274	decrease
AlMed_G023584	chr16	12863074	12863806	12863121	12863582	461	increase
AlMed_G023976	chr16	15048766	15051041	15050354	15051032	678	increase
AlMed_G022976	chr16	8436125	8443753	8437533	8437821	288	decrease
AlMed_G024361	chr16	16924827	16935497	16925082	16925582	500	decrease
AlMed_G022682	chr16	2282098	2285020	2283755	2284267	512	increase
AlMed_G023634	chr16	13197062	13201937	13197659	13197913	254	increase
AlMed_G023485	chr16	12283311	12287549	12285566	12285736	170	decrease
AlMed_G023617	chr16	13052802	13053239	13052999	13053277	240	decrease
AlMed_G022634	chr16	2017409	2017684	2017251	2017647	239	increase
AlMed_G022602	chr16	1807907	1808425	1807571	1808720	519	decrease
AlMed_G022911	chr16	4576204	4579026	4575963	4576517	314	increase
AlMed_G023524	chr16	12537699	12538921	12538410	12539089	511	increase
AlMed_G022405	chr16	468587	472648	469599	470098	499	increase
AlMed_G023393	chr16	11720998	11737380	11721450	11722237	787	increase
AlMed_G024273	chr16	16486340	16489489	16489033	16489508	456	decrease
AlMed_G023363	chr16	11583697	11588789	11587523	11587966	443	increase
AlMed_G023212	chr16	10544296	10546371	10546181	10546644	190	decrease
AlMed_G023606	chr16	12993749	12995698	12995253	12995619	366	increase
AlMed_G022622	chr16	1954913	1956902	1955841	1956243	402	increase
AlMed_G023656	chr16	13334499	13336013	13334560	13335079	519	decrease
AlMed_G024077	chr16	15553438	15557637	15553681	15554378	697	increase
AlMed_G022832_AlMed_G022833	chr16	3573324	3589981	3574980	3575216	236	decrease
AlMed_G022832_AlMed_G022833	chr16	3573324	3589981	3581177	3581853	676	increase
AlMed_G022832_AlMed_G022833	chr16	3573324	3589981	3583083	3583699	616	increase
AlMed_G023124	chr16	9780488	9782739	9782298	9782601	303	increase
AlMed_G023495	chr16	12368782	12373653	12373553	12373762	100	increase
AlMed_G023787	chr16	14153412	14154533	14154282	14154620	251	increase
AlMed_G024912	chr16	19555273	19556297	19556013	19556543	284	increase
AlMed_G023330	chr16	11369327	11369844	11369271	11370148	518	increase
AlMed_G024773	chr16	18918085	18924337	18920218	18920238	20	increase
AlMed_G022712	chr16	2500600	2557378	2510460	2510757	297	decrease
AlMed_G022712	chr16	2500600	2557378	2544217	2544442	225	decrease
AlMed_G022712	chr16	2500600	2557378	2546688	2547363	675	decrease
AlMed_G022692	chr16	2352808	2354744	2353995	2354085	90	decrease
AlMed_G024112	chr16	15722168	15723025	15722077	15722484	317	increase
AlMed_G024370	chr16	16966242	16967480	16966386	16966603	217	increase
AlMed_G022895	chr16	4412625	4420437	4420310	4420930	127	increase
AlMed_G022587	chr16	1658150	1660545	1658816	1659113	297	decrease
AlMed_G024334	chr16	16774374	16775711	16775027	16775521	494	increase
AlMed_G024789	chr16	18996229	19001025	18996851	18997107	256	increase
AlMed_G023325	chr16	11317112	11319951	11317804	11318391	587	increase
AlMed_G023790	chr16	14161227	14165629	14162160	14162482	322	increase
AlMed_G023790	chr16	14161227	14165629	14164514	14165009	495	increase
AlMed_G024235	chr16	16277627	16284042	16277529	16277663	37	decrease
AlMed_G024235	chr16	16277627	16284042	16283259	16283368	109	decrease
AlMed_G025054	chr16	20204108	20210476	20204753	20204941	188	increase
AlMed_G023220	chr16	10587055	10589082	10586151	10588167	1113	decrease
AlMed_G022927	chr16	5156020	5157613	5156687	5157257	570	increase
AlMed_G024856	chr16	19302597	19303221	19302921	19303059	138	increase
AlMed_G022784	chr16	3109087	3111083	3110741	3111243	342	decrease
AlMed_G023513	chr16	12471829	12476560	12474646	12474784	138	decrease
AlMed_G022909	chr16	4521148	4522674	4522489	4522968	185	increase
AlMed_G022776	chr16	3065045	3066680	3065056	3065814	758	increase
AlMed_G022527	chr16	1288138	1290942	1287808	1288287	150	increase
AlMed_G023728	chr16	13714821	13715238	13714905	13715386	333	increase
AlMed_G023559	chr16	12714919	12717978	12716254	12716688	434	decrease
AlMed_G022507	chr16	1154847	1158584	1156282	1157329	1047	increase
AlMed_G024086	chr16	15584922	15588355	15585737	15585920	183	increase
AlMed_G023967	chr16	14983066	14987562	14983781	14984152	371	decrease
AlMed_G022891	chr16	4354639	4355523	4355031	4355365	334	increase
