geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
AlMed_G022917_AlMed_G022918	chr16	4624488	4633279	4629360	4630222	862	decrease
AlMed_G022547	chr16	1429477	1432417	1431782	1432039	257	decrease
AlMed_G022504	chr16	1121719	1125834	1124587	1124904	317	decrease
AlMed_G023104	chr16	9652473	9654859	9652625	9653172	547	decrease
AlMed_G001746	chr9	7143154	7147637	7145773	7146041	268	decrease
AlMed_G000026_AlMed_G000027	chr9	100718	125058	118607	119007	400	decrease
AlMed_G009541	chr14	3460214	3462912	3461754	3461967	213	decrease
AlMed_G011527	chr14	19813862	19815829	19815723	19816212	106	decrease
AlMed_G012295	chr14	25253011	25255899	25255041	25255241	200	decrease
AlMed_G010195	chr14	6277662	6281501	6279145	6279334	189	decrease
AlMed_G015370_AlMed_G015371	chr11	14310370	14328490	14317069	14317928	859	decrease
AlMed_G015935	chr11	24865208	24874253	24871161	24871598	437	decrease
AlMed_G015123	chr11	11885194	11889631	11886036	11886551	515	decrease
AlMed_G015247_AlMed_G015246	chr11	13195006	13209589	13199714	13200226	512	decrease
AlMed_G016117	chr11	26239284	26241355	26238962	26239303	20	decrease
AlMed_G014211	chr11	7016594	7023625	7022773	7023024	251	decrease
AlMed_G017797	chr12	17086738	17089127	17087891	17088292	401	decrease
AlMed_G019191	chr12	23872776	23876715	23874016	23874499	483	decrease
AlMed_G018167	chr12	19041638	19046306	19043738	19044029	291	decrease
AlMed_G017654	chr12	16355838	16358597	16357396	16357592	196	decrease
AlMed_G017582	chr12	15933754	15937993	15934219	15934674	455	decrease
AlMed_G016675	chr12	3065563	3065745	3064251	3065746	183	decrease
AlMed_G016251	chr12	251083	253866	251376	251510	134	decrease
AlMed_G017157_AlMed_G017158	chr12	12949239	12954378	12950754	12951086	332	decrease
AlMed_G020949_AlMed_G020950	chr13	16675283	16683961	16676974	16677375	401	decrease
AlMed_G020853_AlMed_G020854	chr13	16233966	16240570	16236891	16237175	284	decrease
AlMed_G019925_AlMed_G019927	chr13	2945404	2950364	2947204	2947661	457	decrease
AlMed_G020143	chr13	4679971	4682446	4680931	4681505	574	decrease
AlMed_G005181	chr15	2766599	2768877	2768624	2768941	253	decrease
AlMed_G008596	chr15	26961954	26963845	26961612	26962437	484	decrease
AlMed_G006515	chr15	8466236	8467574	8466868	8466957	89	decrease
AlMed_G006693	chr15	9304555	9307513	9305720	9306131	411	decrease
AlMed_G026035_AlMed_G026038	chr10	6118350	6189270	6122172	6122402	230	decrease
AlMed_G026123	chr10	7163422	7168235	7167533	7167677	144	decrease
AlMed_G026473_AlMed_G026474	chr10	13528462	13537709	13533426	13533782	356	decrease
AlMed_G026306	chr10	11934034	11935732	11933708	11934037	4	decrease
AlMed_G027567	chr10	19595843	19599107	19595813	19596019	177	decrease
AlMed_G025414_AlMed_G025417	chr10	1565386	1603305	1587092	1587307	215	decrease
