geneID	seqname	start	end	region_start	region_end	overlap_length	methylation_status
maker-chr4-augustus-gene-182.32	chr4	18245876	18247032	18246048	18247548	984	decrease
augustus_masked-chr4-processed-gene-145.22	chr4	14550128	14553181	14551864	14552072	208	decrease
maker-chr4-augustus-gene-220.1	chr4	21972900	21973821	21972659	21973115	216	decrease
augustus_masked-chr4-processed-gene-254.16	chr4	25475197	25478146	25475235	25475852	617	decrease
augustus_masked-chr4-processed-gene-254.16	chr4	25475197	25478146	25476514	25477461	947	decrease
maker-chr4-augustus-gene-23.13	chr4	2301122	2303202	2302403	2302788	385	decrease
augustus_masked-chr4-processed-gene-245.6	chr4	24509990	24511188	24510848	24511237	340	decrease
maker-chr4-augustus-gene-239.29	chr4	23911974	23912581	23912049	23915454	532	decrease
augustus_masked-chr4-processed-gene-249.44	chr4	24930386	24931008	24930579	24931022	429	decrease
augustus_masked-chr4-processed-gene-172.5	chr4	17222647	17225667	17222627	17226867	3021	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2873756	2874146	390	decrease
maker-chr4-augustus-gene-28.33	chr4	2872531	2877305	2876328	2877431	977	decrease
maker-chr4-augustus-gene-228.16	chr4	22881651	22884481	22882011	22883135	1124	increase
maker-chr4-augustus-gene-50.19	chr4	5014575	5015759	5014698	5016129	1061	decrease
maker-chr4-augustus-gene-242.11	chr4	24191568	24192174	24191230	24192242	607	decrease
maker-chr4-augustus-gene-39.16	chr4	3900818	3901919	3900926	3901889	963	decrease
augustus_masked-chr4-processed-gene-141.23	chr4	14173498	14174305	14172914	14174852	808	increase
maker-chr4-augustus-gene-167.22	chr4	16704156	16705707	16704662	16704836	174	decrease
augustus_masked-chr4-processed-gene-163.0	chr4	16278297	16290475	16284117	16284148	31	decrease
augustus_masked-chr4-processed-gene-163.0	chr4	16278297	16290475	16286870	16288414	1544	increase
augustus_masked-chr4-processed-gene-146.3	chr4	14664280	14666527	14664408	14665722	1314	decrease
augustus_masked-chr4-processed-gene-232.25	chr4	23268296	23269207	23268010	23269199	904	decrease
augustus_masked-chr4-processed-gene-42.7	chr4	4260416	4264618	4262641	4263912	1271	decrease
augustus_masked-chr4-processed-gene-84.9	chr4	8454898	8456865	8456469	8458055	396	increase
augustus_masked-chr4-processed-gene-257.15	chr4	25714311	25717255	25716085	25716536	451	increase
maker-chr4-augustus-gene-172.28	chr4	17282761	17284394	17283953	17285171	441	decrease
maker-chr4-augustus-gene-26.13	chr4	2682140	2682675	2681631	2683420	536	decrease
maker-chr4-augustus-gene-220.3	chr4	21987364	21991446	21991183	21991596	263	decrease
augustus_masked-chr4-processed-gene-51.13	chr4	5098041	5098604	5097991	5098630	564	decrease
maker-chr4-augustus-gene-94.1	chr4	9388897	9393066	9389121	9389758	637	decrease
maker-chr4-augustus-gene-178.38	chr4	17857008	17861451	17858559	17859132	573	decrease
maker-chr4-augustus-gene-199.27	chr4	19953789	19961151	19959976	19960173	197	decrease
maker-chr4-augustus-gene-199.27	chr4	19953789	19961151	19955309	19955836	527	decrease
maker-chr4-augustus-gene-195.20	chr4	19572034	19572319	19571782	19572287	254	decrease
maker-chr4-augustus-gene-228.6	chr4	22866317	22868338	22866693	22867279	586	increase
augustus_masked-chr4-processed-gene-30.6	chr4	3024361	3024711	3024425	3024740	286	decrease
augustus_masked-chr4-processed-gene-32.24	chr4	3206840	3207805	3206468	3208362	966	decrease
maker-chr4-augustus-gene-28.25	chr4	2802584	2804514	2801728	2804527	1931	increase
augustus_masked-chr4-processed-gene-223.2	chr4	22300823	22301451	22300399	22302933	629	decrease
augustus_masked-chr4-processed-gene-155.12	chr4	15506962	15507327	15507116	15507896	211	decrease
augustus_masked-chr4-processed-gene-219.9	chr4	21942128	21943402	21942279	21943005	726	increase
maker-chr4-augustus-gene-4.31	chr4	412761	415084	413861	414659	798	decrease
augustus_masked-chr4-processed-gene-196.26	chr4	19668822	19673918	19673199	19673872	673	decrease
augustus_masked-chr4-processed-gene-84.3	chr4	8412577	8413849	8412588	8414138	1261	decrease
maker-chr4-augustus-gene-255.36	chr4	25488324	25489730	25486143	25489955	1407	decrease
augustus_masked-chr4-processed-gene-162.2	chr4	16193419	16197425	16193068	16194497	1079	increase
augustus_masked-chr4-processed-gene-199.19	chr4	19982066	19984724	19984643	19985240	81	decrease
augustus_masked-chr4-processed-gene-15.16	chr4	1538345	1539474	1539288	1539591	186	decrease
maker-chr4-augustus-gene-4.33	chr4	459483	462435	462013	462333	320	increase
maker-chr4-augustus-gene-182.27	chr4	18225547	18229549	18227859	18227976	117	decrease
augustus_masked-chr4-processed-gene-23.0	chr4	2291365	2291811	2291046	2293330	447	decrease
maker-chr4-augustus-gene-151.0	chr4	15116477	15118001	15116983	15117274	291	decrease
maker-chr4-augustus-gene-222.5	chr4	22238941	22243013	22239754	22239812	58	increase
augustus_masked-chr4-processed-gene-161.19	chr4	16099873	16100656	16099242	16101203	784	increase
augustus_masked-chr4-processed-gene-72.10	chr4	7279810	7280718	7279871	7280696	825	increase
maker-chr4-augustus-gene-84.16	chr4	8442146	8442415	8442398	8443731	17	increase
augustus_masked-chr4-processed-gene-50.4	chr4	5060660	5062673	5061795	5062533	738	decrease
maker-chr4-augustus-gene-77.7	chr4	7738017	7738906	7738102	7739463	804	decrease
maker-chr4-augustus-gene-163.17	chr4	16303913	16309136	16303875	16304012	100	decrease
maker-chr4-augustus-gene-163.17	chr4	16303913	16309136	16305077	16305317	240	decrease
maker-chr4-augustus-gene-69.7	chr4	6918518	6919356	6919241	6919952	115	decrease
maker-chr4-augustus-gene-190.15	chr4	19028192	19029233	19027962	19029183	992	increase
augustus_masked-chr4-processed-gene-200.10	chr4	20049761	20051430	20049323	20049790	30	decrease
maker-chr4-augustus-gene-125.8	chr4	12510320	12511032	12510271	12513860	713	increase
augustus_masked-chr4-processed-gene-32.14	chr4	3178026	3179175	3177184	3178053	28	decrease
maker-chr4-augustus-gene-215.10	chr4	21531631	21534270	21533105	21533656	551	decrease
augustus_masked-chr4-processed-gene-27.8	chr4	2710225	2710708	2709986	2712761	484	decrease
maker-chr4-augustus-gene-163.22	chr4	16317686	16320393	16320118	16320512	275	decrease
augustus_masked-chr4-processed-gene-236.4	chr4	23603204	23603893	23602566	23603330	127	decrease
augustus_masked-chr4-processed-gene-236.4	chr4	23603204	23603893	23603635	23603904	258	increase
maker-chr4-augustus-gene-253.1	chr4	25317301	25317709	25316955	25317568	268	decrease
maker-chr4-augustus-gene-252.39	chr4	25228389	25230164	25228581	25229272	691	decrease
augustus_masked-chr4-processed-gene-186.16	chr4	18600067	18603868	18602664	18603085	421	increase
augustus_masked-chr4-processed-gene-186.16	chr4	18600067	18603868	18603819	18604312	49	decrease
maker-chr4-augustus-gene-191.31	chr4	19125169	19130333	19126667	19127277	610	decrease
augustus_masked-chr4-processed-gene-7.14	chr4	749262	750395	749740	751899	655	decrease
maker-chr4-augustus-gene-151.7	chr4	15171136	15171829	15171532	15173245	297	decrease
maker-chr4-augustus-gene-236.31	chr4	23627868	23628534	23628378	23629004	156	decrease
maker-chr4-augustus-gene-9.4	chr4	977193	980716	978340	978483	143	decrease
maker-chr4-augustus-gene-218.40	chr4	21852361	21854316	21853946	21854529	370	decrease
augustus_masked-chr4-processed-gene-270.16	chr4	27074318	27075971	27075576	27076118	395	increase
augustus_masked-chr4-processed-gene-81.12	chr4	8166723	8166995	8166444	8167367	273	increase
maker-chr4-augustus-gene-33.26	chr4	3311093	3311857	3309627	3314075	765	decrease
augustus_masked-chr4-processed-gene-242.62	chr4	24287140	24287298	24286960	24287397	159	decrease
augustus_masked-chr4-processed-gene-20.9	chr4	2035831	2036094	2035528	2036098	264	decrease
maker-chr4-augustus-gene-151.1	chr4	15131113	15132949	15131604	15131740	136	decrease
augustus_masked-chr4-processed-gene-229.19	chr4	22932103	22933782	22932441	22932714	273	increase
maker-chr4-augustus-gene-224.15	chr4	22425708	22433575	22428169	22428313	144	decrease
maker-chr4-augustus-gene-2.3	chr4	206051	206934	205798	206091	41	decrease
maker-chr4-augustus-gene-192.34	chr4	19270700	19272824	19271169	19271761	592	decrease
maker-chr4-augustus-gene-126.12	chr4	12608219	12610330	12609882	12610406	448	increase
maker-chr4-augustus-gene-33.27	chr4	3318849	3319529	3315835	3320299	681	decrease
maker-chr4-augustus-gene-79.3	chr4	7924513	7925309	7924537	7926436	772	increase
augustus_masked-chr4-processed-gene-76.3	chr4	7680213	7684086	7682692	7683220	528	decrease
augustus_masked-chr4-processed-gene-30.13	chr4	3065208	3066332	3065550	3066078	528	decrease
maker-chr4-augustus-gene-200.46	chr4	20024080	20026989	20022728	20024261	182	decrease
augustus_masked-chr4-processed-gene-200.3	chr4	20018709	20021686	20019884	20020322	438	decrease
augustus_masked-chr4-processed-gene-94.15	chr4	9466511	9466985	9466980	9468757	5	decrease
maker-chr4-augustus-gene-30.16	chr4	3006205	3007628	3005002	3006530	326	decrease
maker-chr4-augustus-gene-44.4	chr4	4422493	4425014	4422743	4422828	85	increase
maker-chr4-augustus-gene-34.15	chr4	3450402	3451523	3450821	3451552	702	increase
maker-chr4-augustus-gene-93.1	chr4	9387745	9388047	9387465	9388111	303	increase
maker-chr4-augustus-gene-231.2	chr4	23121939	23128165	23125050	23125178	128	decrease
maker-chr4-augustus-gene-141.7	chr4	14163483	14164789	14163983	14164388	405	decrease
maker-chr4-augustus-gene-252.41	chr4	25244557	25248530	25244221	25244701	145	decrease
augustus_masked-chr4-processed-gene-143.10	chr4	14354046	14362408	14360041	14361564	1523	decrease
augustus_masked-chr4-processed-gene-34.10	chr4	3461256	3462614	3461578	3461716	138	increase
maker-chr4-augustus-gene-172.31	chr4	17226736	17228343	17222627	17226867	132	decrease
maker-chr4-augustus-gene-176.0	chr4	17617507	17617916	17616658	17617970	410	decrease
augustus_masked-chr4-processed-gene-173.30	chr4	17321275	17321487	17320837	17321573	213	decrease
augustus_masked-chr4-processed-gene-145.13	chr4	14528394	14530152	14528153	14530686	1759	decrease
augustus_masked-chr4-processed-gene-126.6	chr4	12673823	12674341	12673818	12674233	411	decrease
maker-chr4-augustus-gene-36.2	chr4	3609631	3614335	3610478	3611167	689	decrease
augustus_masked-chr4-processed-gene-15.17	chr4	1582421	1583550	1583518	1583669	32	decrease
maker-chr4-augustus-gene-144.9	chr4	14396708	14400404	14399762	14400497	642	decrease
augustus_masked-chr4-processed-gene-16.6	chr4	1618612	1619094	1618864	1619571	230	decrease
maker-chr4-augustus-gene-44.7	chr4	4481281	4483316	4481961	4482132	171	decrease
augustus_masked-chr4-processed-gene-6.33	chr4	651361	653888	652429	652875	446	increase
maker-chr4-augustus-gene-128.7	chr4	12881810	12882477	12881701	12882454	645	decrease
augustus_masked-chr4-processed-gene-82.11	chr4	8257199	8259511	8259386	8259904	125	increase
maker-chr4-augustus-gene-76.10	chr4	7610078	7616768	7616711	7617684	57	decrease
augustus_masked-chr4-processed-gene-238.25	chr4	23796153	23799602	23798444	23799439	995	decrease
maker-chr4-augustus-gene-252.26	chr4	25233434	25242062	25235077	25235958	881	decrease
maker-chr4-augustus-gene-252.26	chr4	25233434	25242062	25239728	25240105	377	increase
